team,year,link
Fla. Atlantic Owls,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=229&stats_player_seq=-100
Fla. Atlantic Owls,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=229&stats_player_seq=-100
Fla. Atlantic Owls,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=229&stats_player_seq=-100
Florida Gators,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=235&stats_player_seq=-100
Florida Gators,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=235&stats_player_seq=-100
Florida Gators,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=235&stats_player_seq=-100
Florida St. Seminoles,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=234&stats_player_seq=-100
Florida St. Seminoles,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=234&stats_player_seq=-100
Florida St. Seminoles,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=234&stats_player_seq=-100
Florida St. Seminoles,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=234&stats_player_seq=-100
Fresno St. Bulldogs,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=96&stats_player_seq=-100
Fresno St. Bulldogs,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=96&stats_player_seq=-100
Fresno St. Bulldogs,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=96&stats_player_seq=-100
Fresno St. Bulldogs,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=96&stats_player_seq=-100
Ga. Southern Eagles,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=253&stats_player_seq=-100
Ga. Southern Eagles,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=253&stats_player_seq=-100
Ga. Southern Eagles,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=253&stats_player_seq=-100
Ga. Southern Eagles,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=253&stats_player_seq=-100
Georgia Bulldogs,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=257&stats_player_seq=-100
Georgia Bulldogs,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=257&stats_player_seq=-100
Georgia Bulldogs,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=257&stats_player_seq=-100
Georgia Bulldogs,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=257&stats_player_seq=-100
Georgia St. Panthers,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=254&stats_player_seq=-100
Georgia St. Panthers,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=254&stats_player_seq=-100
Georgia St. Panthers,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=254&stats_player_seq=-100
Georgia Tech Yellow Jackets,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=255&stats_player_seq=-100
Georgia Tech Yellow Jackets,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=255&stats_player_seq=-100
Georgia Tech Yellow Jackets,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=255&stats_player_seq=-100
Georgia St. Panthers,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=254&stats_player_seq=-100
Hawaii Rainbow Warriors,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=277&stats_player_seq=-100
Hawaii Rainbow Warriors,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=277&stats_player_seq=-100
Hawaii Rainbow Warriors,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=277&stats_player_seq=-100
Hawaii Rainbow Warriors,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=277&stats_player_seq=-100
