key,link,team,txt,year
stats,http://stats.ncaa.org/team/518/stats/11980,Ohio St. Buckeyes,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/522,Oklahoma Sooners,Team History,2015
people,http://stats.ncaa.org/people/358?sport_code=MFB,Oklahoma Sooners,Bob Stoops,2015
roster,http://stats.ncaa.org/team/522/roster/11980,Oklahoma Sooners,Roster,2015
stats,http://stats.ncaa.org/team/522/stats/11980,Oklahoma Sooners,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/521,Oklahoma St. Cowboys,Team History,2015
people,http://stats.ncaa.org/people/25077?sport_code=MFB,Oklahoma St. Cowboys,Mike Gundy,2015
roster,http://stats.ncaa.org/team/521/roster/11980,Oklahoma St. Cowboys,Roster,2015
stats,http://stats.ncaa.org/team/521/stats/11980,Oklahoma St. Cowboys,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/523,Old Dominion Monarchs,Team History,2015
people,http://stats.ncaa.org/people/31380?sport_code=MFB,Old Dominion Monarchs,Bobby Wilder,2015
roster,http://stats.ncaa.org/team/523/roster/11980,Old Dominion Monarchs,Roster,2015
stats,http://stats.ncaa.org/team/523/stats/11980,Old Dominion Monarchs,Team Statistics,2015
