team,link,txt,key,year
Indiana  Hoosiers,http://stats.ncaa.org/team/306/stats/11520,Team Statistics,stats,2014
Iowa  Hawkeyes,http://stats.ncaa.org/teams/history/MFB/312,Team History,history,2014
Iowa  Hawkeyes,http://stats.ncaa.org/people/2233?sport_code=MFB,Kirk Ferentz,people,2014
Iowa  Hawkeyes,http://stats.ncaa.org/team/312/roster/11520,Roster,roster,2014
Iowa  Hawkeyes,http://stats.ncaa.org/team/312/stats/11520,Team Statistics,stats,2014
Iowa St. Cyclones,http://stats.ncaa.org/teams/history/MFB/311,Team History,history,2014
Iowa St. Cyclones,http://stats.ncaa.org/people/35865?sport_code=MFB,Paul Rhoads,people,2014
Iowa St. Cyclones,http://stats.ncaa.org/team/311/roster/11520,Roster,roster,2014
Iowa St. Cyclones,http://stats.ncaa.org/team/311/stats/11520,Team Statistics,stats,2014
Kansas  Jayhawks,http://stats.ncaa.org/teams/history/MFB/328,Team History,history,2014
Kansas  Jayhawks,http://stats.ncaa.org/people/25046?sport_code=MFB,Charlie Weis,people,2014
Kansas  Jayhawks,http://stats.ncaa.org/team/328/roster/11520,Roster,roster,2014
Kansas  Jayhawks,http://stats.ncaa.org/team/328/stats/11520,Team Statistics,stats,2014
Kansas St. Wildcats,http://stats.ncaa.org/teams/history/MFB/327,Team History,history,2014
Kansas St. Wildcats,http://stats.ncaa.org/people/253?sport_code=MFB,Bill Snyder,people,2014
Kansas St. Wildcats,http://stats.ncaa.org/team/327/roster/11520,Roster,roster,2014
Kansas St. Wildcats,http://stats.ncaa.org/team/327/stats/11520,Team Statistics,stats,2014
Kent St. Golden Flashes,http://stats.ncaa.org/teams/history/MFB/331,Team History,history,2014
Kent St. Golden Flashes,http://stats.ncaa.org/people/41500?sport_code=MFB,Paul Haynes,people,2014
Kent St. Golden Flashes,http://stats.ncaa.org/team/331/roster/11520,Roster,roster,2014
Kent St. Golden Flashes,http://stats.ncaa.org/team/331/stats/11520,Team Statistics,stats,2014
Kentucky  Wildcats,http://stats.ncaa.org/teams/history/MFB/334,Team History,history,2014
Kentucky  Wildcats,http://stats.ncaa.org/people/41710?sport_code=MFB,Mark Stoops,people,2014
Kentucky  Wildcats,http://stats.ncaa.org/team/334/roster/11520,Roster,roster,2014
Kentucky  Wildcats,http://stats.ncaa.org/team/334/stats/11520,Team Statistics,stats,2014
LSU Fighting Tigers,http://stats.ncaa.org/teams/history/MFB/365,Team History,history,2014
LSU Fighting Tigers,http://stats.ncaa.org/people/2361?sport_code=MFB,Les Miles,people,2014
LSU Fighting Tigers,http://stats.ncaa.org/team/365/roster/11520,Roster,roster,2014
LSU Fighting Tigers,http://stats.ncaa.org/team/365/stats/11520,Team Statistics,stats,2014
La.-Monroe Warhawks,http://stats.ncaa.org/teams/history/MFB/498,Team History,history,2014
La.-Monroe Warhawks,http://stats.ncaa.org/people/3710?sport_code=MFB,Todd Berry,people,2014
La.-Monroe Warhawks,http://stats.ncaa.org/team/498/roster/11520,Roster,roster,2014
La.-Monroe Warhawks,http://stats.ncaa.org/team/498/stats/11520,Team Statistics,stats,2014
Louisiana Ragin' Cajuns,http://stats.ncaa.org/teams/history/MFB/671,Team History,history,2014
Louisiana Ragin' Cajuns,http://stats.ncaa.org/people/20684?sport_code=MFB,Mark Hudspeth,people,2014
Louisiana Ragin' Cajuns,http://stats.ncaa.org/team/671/roster/11520,Roster,roster,2014
Louisiana Ragin' Cajuns,http://stats.ncaa.org/team/671/stats/11520,Team Statistics,stats,2014
Louisiana Tech Bulldogs,http://stats.ncaa.org/teams/history/MFB/366,Team History,history,2014
Louisiana Tech Bulldogs,http://stats.ncaa.org/people/25072?sport_code=MFB,Skip Holtz,people,2014
Louisiana Tech Bulldogs,http://stats.ncaa.org/team/366/roster/11520,Roster,roster,2014
Louisiana Tech Bulldogs,http://stats.ncaa.org/team/366/stats/11520,Team Statistics,stats,2014
"Maryland  Terrapins, Terps",http://stats.ncaa.org/teams/history/MFB/392,Team History,history,2014
"Maryland  Terrapins, Terps",http://stats.ncaa.org/people/3032?sport_code=MFB,Randy Edsall,people,2014
"Maryland  Terrapins, Terps",http://stats.ncaa.org/team/392/roster/11520,Roster,roster,2014
"Maryland  Terrapins, Terps",http://stats.ncaa.org/team/392/stats/11520,Team Statistics,stats,2014
Massachusetts  Minutemen,http://stats.ncaa.org/teams/history/MFB/400,Team History,history,2014
Massachusetts  Minutemen,http://stats.ncaa.org/people/40966?sport_code=MFB,Charley Molnar,people,2014
Massachusetts  Minutemen,http://stats.ncaa.org/team/400/roster/11520,Roster,roster,2014
Massachusetts  Minutemen,http://stats.ncaa.org/team/400/stats/11520,Team Statistics,stats,2014
Memphis  Tigers,http://stats.ncaa.org/teams/history/MFB/404,Team History,history,2014
Memphis  Tigers,http://stats.ncaa.org/people/40881?sport_code=MFB,Justin Fuente,people,2014
Memphis  Tigers,http://stats.ncaa.org/team/404/roster/11520,Roster,roster,2014
Memphis  Tigers,http://stats.ncaa.org/team/404/stats/11520,Team Statistics,stats,2014
Miami (FL) Hurricanes,http://stats.ncaa.org/teams/history/MFB/415,Team History,history,2014
Miami (FL) Hurricanes,http://stats.ncaa.org/people/28007?sport_code=MFB,Al Golden,people,2014
Miami (FL) Hurricanes,http://stats.ncaa.org/team/415/roster/11520,Roster,roster,2014
Miami (FL) Hurricanes,http://stats.ncaa.org/team/415/stats/11520,Team Statistics,stats,2014
Miami (OH) RedHawks,http://stats.ncaa.org/teams/history/MFB/414,Team History,history,2014
Miami (OH) RedHawks,http://stats.ncaa.org/people/38536?sport_code=MFB,Don Treadwell,people,2014
Miami (OH) RedHawks,http://stats.ncaa.org/people/42321?sport_code=MFB,Mike Bath,people,2014
Miami (OH) RedHawks,http://stats.ncaa.org/team/414/roster/11520,Roster,roster,2014
Miami (OH) RedHawks,http://stats.ncaa.org/team/414/stats/11520,Team Statistics,stats,2014
Michigan  Wolverines,http://stats.ncaa.org/teams/history/MFB/418,Team History,history,2014
Michigan  Wolverines,http://stats.ncaa.org/people/21342?sport_code=MFB,Brady Hoke,people,2014
Michigan  Wolverines,http://stats.ncaa.org/team/418/roster/11520,Roster,roster,2014
Michigan  Wolverines,http://stats.ncaa.org/team/418/stats/11520,Team Statistics,stats,2014
Michigan St. Spartans,http://stats.ncaa.org/teams/history/MFB/416,Team History,history,2014
Michigan St. Spartans,http://stats.ncaa.org/people/24978?sport_code=MFB,Mark Dantonio,people,2014
Michigan St. Spartans,http://stats.ncaa.org/team/416/roster/11520,Roster,roster,2014
Michigan St. Spartans,http://stats.ncaa.org/team/416/stats/11520,Team Statistics,stats,2014
Middle Tenn. Blue Raiders,http://stats.ncaa.org/teams/history/MFB/419,Team History,history,2014
Middle Tenn. Blue Raiders,http://stats.ncaa.org/people/28004?sport_code=MFB,Rick Stockstill,people,2014
Middle Tenn. Blue Raiders,http://stats.ncaa.org/team/419/roster/11520,Roster,roster,2014
Middle Tenn. Blue Raiders,http://stats.ncaa.org/team/419/stats/11520,Team Statistics,stats,2014
Minnesota  Golden Gophers,http://stats.ncaa.org/teams/history/MFB/428,Team History,history,2014
Minnesota  Golden Gophers,http://stats.ncaa.org/people/1673?sport_code=MFB,Jerry Kill,people,2014
Minnesota  Golden Gophers,http://stats.ncaa.org/team/428/roster/11520,Roster,roster,2014
Minnesota  Golden Gophers,http://stats.ncaa.org/team/428/stats/11520,Team Statistics,stats,2014
Mississippi St. Bulldogs,http://stats.ncaa.org/teams/history/MFB/430,Team History,history,2014
Mississippi St. Bulldogs,http://stats.ncaa.org/people/35867?sport_code=MFB,Dan Mullen,people,2014
Mississippi St. Bulldogs,http://stats.ncaa.org/team/430/roster/11520,Roster,roster,2014
Mississippi St. Bulldogs,http://stats.ncaa.org/team/430/stats/11520,Team Statistics,stats,2014
Missouri  Tigers,http://stats.ncaa.org/teams/history/MFB/434,Team History,history,2014
Missouri  Tigers,http://stats.ncaa.org/people/1271?sport_code=MFB,Gary Pinkel,people,2014
Missouri  Tigers,http://stats.ncaa.org/team/434/roster/11520,Roster,roster,2014
Missouri  Tigers,http://stats.ncaa.org/team/434/stats/11520,Team Statistics,stats,2014
NC State Wolfpack,http://stats.ncaa.org/teams/history/MFB/490,Team History,history,2014
NC State Wolfpack,http://stats.ncaa.org/people/38542?sport_code=MFB,Dave Doeren,people,2014
NC State Wolfpack,http://stats.ncaa.org/team/490/roster/11520,Roster,roster,2014
NC State Wolfpack,http://stats.ncaa.org/team/490/stats/11520,Team Statistics,stats,2014
Navy Midshipmen,http://stats.ncaa.org/teams/history/MFB/726,Team History,history,2014
Navy Midshipmen,http://stats.ncaa.org/people/33422?sport_code=MFB,Ken Niumatalolo,people,2014
Navy Midshipmen,http://stats.ncaa.org/team/726/roster/11520,Roster,roster,2014
Navy Midshipmen,http://stats.ncaa.org/team/726/stats/11520,Team Statistics,stats,2014
"Nebraska  Cornhuskers, Huskers",http://stats.ncaa.org/teams/history/MFB/463,Team History,history,2014
"Nebraska  Cornhuskers, Huskers",http://stats.ncaa.org/people/25400?sport_code=MFB,Bo Pelini,people,2014
"Nebraska  Cornhuskers, Huskers",http://stats.ncaa.org/team/463/roster/11520,Roster,roster,2014
"Nebraska  Cornhuskers, Huskers",http://stats.ncaa.org/team/463/stats/11520,Team Statistics,stats,2014
Nevada  Wolf Pack,http://stats.ncaa.org/teams/history/MFB/466,Team History,history,2014
Nevada  Wolf Pack,http://stats.ncaa.org/people/41711?sport_code=MFB,Brian Polian,people,2014
Nevada  Wolf Pack,http://stats.ncaa.org/team/466/roster/11520,Roster,roster,2014
Nevada  Wolf Pack,http://stats.ncaa.org/team/466/stats/11520,Team Statistics,stats,2014
New Mexico  Lobos,http://stats.ncaa.org/teams/history/MFB/473,Team History,history,2014
New Mexico  Lobos,http://stats.ncaa.org/people/304?sport_code=MFB,Bob Davie,people,2014
New Mexico  Lobos,http://stats.ncaa.org/team/473/roster/11520,Roster,roster,2014
New Mexico  Lobos,http://stats.ncaa.org/team/473/stats/11520,Team Statistics,stats,2014
New Mexico St. Aggies,http://stats.ncaa.org/teams/history/MFB/472,Team History,history,2014
New Mexico St. Aggies,http://stats.ncaa.org/people/1061?sport_code=MFB,Doug Martin,people,2014
New Mexico St. Aggies,http://stats.ncaa.org/team/472/roster/11520,Roster,roster,2014
New Mexico St. Aggies,http://stats.ncaa.org/team/472/stats/11520,Team Statistics,stats,2014
North Carolina  Tar Heels,http://stats.ncaa.org/teams/history/MFB/457,Team History,history,2014
