shortName,longName
@ Fla. Atlantic ,Fla. Atlantic Owls
 Eastern Ky. ,Eastern Ky. Colonels
@ Indiana  ,Indiana  Hoosiers
@ Northern Ill. ,Northern Ill. Huskies
@ Northwestern ,Northwestern Wildcats
 VMI ,VMI Keydets
 Indiana St. ,Indiana St. Sycamores
@ Iowa  ,Iowa  Hawkeyes
 Colgate ,Colgate Raiders
Ball St. ,Ball St. Cardinals
Ball St. ,Ball St. Cardinals
 Cincinnati  ,Cincinnati  Bearcats
@ Michigan  ,Michigan  Wolverines
@ Nebraska  ,"Nebraska  Cornhuskers, Huskers"
 Southern Utah ,Southern Utah Thunderbirds
@ Cincinnati  ,Cincinnati  Bearcats
@ Michigan St. ,Michigan St. Spartans
" West Virginia  @ Landover, Md.",West Virginia  Mountaineers
 Fresno St. ,Fresno St. Bulldogs
@ UNLV ,UNLV Rebels
" Oregon St. @ Honolulu, O'ahu",Oregon St. Beavers
 UNLV ,UNLV Rebels
" Maryland  @ Detroit, MI","Maryland  Terrapins, Terps"
@ Syracuse  ,Syracuse  Orange
@ Syracuse  ,Syracuse  Orange
" Notre Dame @ Boston, Mass.",Notre Dame Fighting Irish
 Syracuse  ,Syracuse  Orange
" Pittsburgh  @ Detroit, Mich.",Pittsburgh  Panthers
 Murray St. ,Murray St. Racers
@ Indiana  ,Indiana  Hoosiers
 Tulsa  ,Tulsa  Golden Hurricane
Bowling Green  ,Bowling Green  Falcons
@ Florida St. ,Florida St. Seminoles
 Indiana  ,Indiana  Hoosiers
 VMI ,VMI Keydets
@ Virginia Tech ,Virginia Tech Hokies
 Clemson ,Clemson Tigers
@ NC State ,NC State Wolfpack
 Maine  ,Maine  Black Bears
 NC State ,NC State Wolfpack
 Virginia Tech ,Virginia Tech Hokies
 Florida St. ,Florida St. Seminoles
 Maine  ,Maine  Black Bears
@ Maryland  ,"Maryland  Terrapins, Terps"
 NC State ,NC State Wolfpack
@ New Mexico St. ,New Mexico St. Aggies
@ North Carolina  ,North Carolina  Tar Heels
@ Clemson ,Clemson Tigers
 Villanova ,Villanova Wildcats
 UConn ,"UConn Huskies, UConn"
@ Florida St. ,Florida St. Seminoles
 Louisville  ,Louisville  Cardinals
@ NC State ,NC State Wolfpack
 Syracuse  ,Syracuse  Orange
 Wagner ,Wagner Seahawks
" Georgia Tech @ Dublin, Ireland",Georgia Tech Yellow Jackets
Boston College ,Boston College Eagles
Boston College ,Boston College Eagles
Boston College ,Boston College Eagles
Boston College ,Boston College Eagles
@ Fresno St. ,Fresno St. Bulldogs
 UT Martin ,UT Martin Skyhawks
@ Virginia  ,Virginia  Cavaliers
 Idaho St. ,Idaho St. Bengals
Boise St. ,Boise St. Broncos
@ Memphis  ,Memphis  Tigers
@ Purdue ,Purdue Boilermakers
 UConn ,"UConn Huskies, UConn"
@ Fla. Atlantic ,Fla. Atlantic Owls
@ Nevada  ,Nevada  Wolf Pack
 Norfolk St. ,Norfolk St. Spartans
@ San Diego St. ,San Diego St. Aztecs
California  ,California  Golden Bears
" Tulsa  @ Miami, Fla.",Tulsa  Golden Hurricane
@ Southern Miss.  ,Southern Miss.  Golden Eagles
@ FIU ,FIU Panthers
 Morehead St. ,Morehead St. Eagles
 East Carolina ,East Carolina Pirates
 South Fla. ,South Fla. Bulls
@ South Fla. ,South Fla. Bulls
 Tulsa  ,Tulsa  Golden Hurricane
@ Houston  ,Houston  Cougars
 UCF ,UCF Knights
 Miami (FL) ,Miami (FL) Hurricanes
 Alabama A&M ,Alabama A&M Bulldogs
 SMU ,SMU Mustangs
@ Memphis  ,Memphis  Tigers
 Northwestern St.  ,Northwestern St.  Demons
@ Illinois  ,Illinois  Fighting Illini
 Houston  ,Houston  Cougars
@ Purdue ,Purdue Boilermakers
 UT Martin ,UT Martin Skyhawks
Cincinnati  ,Cincinnati  Bearcats
Cincinnati  ,Cincinnati  Bearcats
Cincinnati  ,Cincinnati  Bearcats
 Wesley ,Wesley Wolverines
 Coastal Caro. ,Coastal Caro. Chanticleers
