Date,Opponent,Result,G,FGM,FGA,FGBlocksAllowed,LongFGM,Team,OffenseDefense
09/03/2016,"Southern California @ Arlington, Texas",W 52 - 6,1/,1,1,nan,29,Alabama Crimson Tide,Offense
09/03/2016,"Southern California @ Arlington, Texas",W 52 - 6,1/,2,2,nan,47,Alabama Crimson Tide,Defense
09/10/2016,Western Ky.,W 38 - 10,1/,1,2,nan,36,Alabama Crimson Tide,Offense
09/10/2016,Western Ky.,W 38 - 10,1/,1,2,1/,25,Alabama Crimson Tide,Defense
09/17/2016,@ Ole Miss,W 48 - 43,1/,2,3,nan,32,Alabama Crimson Tide,Offense
09/17/2016,@ Ole Miss,W 48 - 43,1/,3,3,nan,38,Alabama Crimson Tide,Defense
09/24/2016,Kent St.,W 48 - 0,1/,2,2,nan,48,Alabama Crimson Tide,Offense
09/24/2016,Kent St.,W 48 - 0,1/,nan,1,nan,nan,Alabama Crimson Tide,Defense
10/01/2016,Kentucky,W 34 - 6,1/,2,3,nan,44,Alabama Crimson Tide,Offense
10/01/2016,Kentucky,W 34 - 6,1/,2,2,nan,45,Alabama Crimson Tide,Defense
10/08/2016,@ Arkansas,W 49 - 30,1/,nan,nan,nan,nan,Alabama Crimson Tide,Offense
10/08/2016,@ Arkansas,W 49 - 30,1/,1,1,nan,25,Alabama Crimson Tide,Defense
10/15/2016,@ Tennessee,W 49 - 10,1/,nan,1,nan,nan,Alabama Crimson Tide,Offense
10/15/2016,@ Tennessee,W 49 - 10,1/,1,1,nan,37,Alabama Crimson Tide,Defense
10/22/2016,Texas A&M,W 33 - 14,1/,2,3,nan,32,Alabama Crimson Tide,Offense
10/22/2016,Texas A&M,W 33 - 14,1/,nan,nan,nan,nan,Alabama Crimson Tide,Defense
11/05/2016,@ LSU,W 10 - 0,1/,1,2,nan,25,Alabama Crimson Tide,Offense
11/05/2016,@ LSU,W 10 - 0,1/,nan,1,1/,nan,Alabama Crimson Tide,Defense
11/12/2016,Mississippi St.,W 51 - 3,1/,3,3,nan,39,Alabama Crimson Tide,Offense
11/12/2016,Mississippi St.,W 51 - 3,1/,1,2,nan,47,Alabama Crimson Tide,Defense
11/19/2016,Chattanooga,W 31 - 3,1/,1,1,nan,33,Alabama Crimson Tide,Offense
11/19/2016,Chattanooga,W 31 - 3,1/,1,1,nan,47,Alabama Crimson Tide,Defense
11/26/2016,Auburn,W 30 - 12,1/,3,3,nan,34,Alabama Crimson Tide,Offense
11/26/2016,Auburn,W 30 - 12,1/,4,5,nan,52,Alabama Crimson Tide,Defense
12/03/2016,"Florida @ Atlanta, Ga.",W 54 - 16,1/,2,3,nan,31,Alabama Crimson Tide,Offense
