Date,Opponent,Result,G,PuntRet,PuntRetTDs,PuntRetYds,Team,OffenseDefense
09/19/2015,@ New Mexico St.,W 50 - 47 (1OT),1/,2,nan,30,UTEP Miners,Defense
09/26/2015,Incarnate Word,W 27 - 17,1/,nan,nan,nan,UTEP Miners,Offense
09/26/2015,Incarnate Word,W 27 - 17,1/,3,nan,20,UTEP Miners,Defense
10/03/2015,UTSA,L 6 - 25,1/,3,nan,26,UTEP Miners,Offense
10/03/2015,UTSA,L 6 - 25,1/,3,nan,40,UTEP Miners,Defense
10/10/2015,@ FIU,L 12 - 52,1/,1,nan,10,UTEP Miners,Offense
10/10/2015,@ FIU,L 12 - 52,1/,2,nan,55,UTEP Miners,Defense
10/24/2015,Fla. Atlantic,W 27 - 17,1/,3,nan,-5,UTEP Miners,Offense
10/24/2015,Fla. Atlantic,W 27 - 17,1/,1,nan,-1,UTEP Miners,Defense
10/31/2015,@ Southern Miss.,L 13 - 34,1/,nan,nan,nan,UTEP Miners,Offense
10/31/2015,@ Southern Miss.,L 13 - 34,1/,2,nan,5,UTEP Miners,Defense
11/06/2015,Rice,W 24 - 21,1/,3,nan,-2,UTEP Miners,Offense
11/06/2015,Rice,W 24 - 21,1/,2,nan,8,UTEP Miners,Defense
11/14/2015,@ Old Dominion,L 21 - 31,1/,3,nan,22,UTEP Miners,Offense
11/14/2015,@ Old Dominion,L 21 - 31,1/,3,nan,10,UTEP Miners,Defense
11/21/2015,Louisiana Tech,L 15 - 17,1/,nan,nan,nan,UTEP Miners,Offense
11/21/2015,Louisiana Tech,L 15 - 17,1/,nan,nan,nan,UTEP Miners,Defense
11/28/2015,@ North Texas,W 20 - 17,1/,1,nan,2,UTEP Miners,Offense
11/28/2015,@ North Texas,W 20 - 17,1/,5,1/,52,UTEP Miners,Defense
