Year,Team,GP,G,TDs,KickPAT,PATAtt,RushPAT,Ru2PTAtt,ReceivingPAT,Pass2PtConv,Pass2PTAtt,KickReturnPAT,FumbRetPAT,FG,Safeties,Points,OffenseDefense
2014-15,Air Force,13,13,50,46,47,nan,1,2,2,2,nan,nan,19,1,409,Offense
2014-15,Air Force,0,13,39,38,39,nan,nan,nan,nan,nan,nan,nan,14,nan,314,Defensive
2015-16,Air Force,14,14,62,58,60,2,2,nan,nan,nan,nan,nan,13,nan,473,Offense
2015-16,Air Force,0,14,45,42,44,nan,1,nan,nan,nan,nan,nan,15,nan,357,Defensive
2016-17,Air Force,13,13,56,51,51,1,3,1,1,2,nan,nan,22,nan,457,Offense
2016-17,Air Force,0,13,45,40,42,1,1,1,1,2,nan,nan,9,nan,341,Defensive
2017-18,Air Force,12,12,50,45,46,nan,1,1,1,3,nan,nan,10,nan,377,Offense
2017-18,Air Force,0,12,49,48,48,nan,nan,1,1,1,nan,nan,15,nan,389,Defensive
2011-12,Auburn,1,1,2,2,2,nan,nan,nan,,nan,nan,nan,2,1,22,Offense
2011-12,Auburn,0,1,2,nan,nan,1,1,1,,1,nan,nan,1,nan,19,Defensive
2013-14,Auburn,14,14,73,66,67,1,2,1,,3,nan,nan,15,nan,553,Offense
2013-14,Auburn,0,14,41,38,38,1,2,nan,,1,nan,nan,20,nan,346,Defensive
2014-15,Auburn,13,13,58,57,57,1,1,nan,,nan,nan,nan,18,nan,461,Offense
2014-15,Auburn,0,13,45,42,43,nan,1,1,,1,nan,nan,11,nan,347,Defensive
2015-16,Auburn,13,13,41,40,40,nan,nan,1,,1,nan,nan,23,nan,357,Offense
2015-16,Auburn,0,13,39,37,37,nan,nan,2,,2,nan,nan,21,nan,338,Defensive
2016-17,Auburn,13,13,46,44,44,nan,nan,nan,,1,nan,nan,28,1,406,Offense
2016-17,Auburn,0,13,23,21,23,nan,nan,nan,,nan,nan,nan,21,nan,222,Defensive
2017-18,Auburn,13,13,55,54,54,nan,nan,nan,,1,nan,nan,21,nan,447,Offense
2017-18,Auburn,0,13,27,25,25,nan,nan,1,,2,nan,nan,12,nan,225,Defensive
2013-14,Army West Point,12,12,38,37,37,1,1,nan,nan,nan,nan,nan,8,1,293,Offense
2013-14,Army West Point,0,12,49,40,44,nan,1,3,3,4,nan,nan,13,nan,379,Defensive
2014-15,Army West Point,12,12,40,36,38,nan,nan,1,1,2,nan,nan,7,nan,299,Offense
2014-15,Army West Point,0,12,50,46,47,nan,nan,2,2,2,nan,nan,15,nan,395,Defensive
2015-16,Army West Point,12,12,35,31,31,2,3,1,1,1,nan,nan,6,nan,265,Offense
2015-16,Army West Point,0,12,40,34,36,1,1,1,1,2,nan,nan,18,1,334,Defensive
2016-17,Army West Point,13,13,54,41,45,3,6,nan,nan,3,nan,nan,6,nan,389,Offense
2016-17,Army West Point,0,13,33,30,32,nan,1,nan,nan,nan,nan,nan,10,nan,258,Defensive
2017-18,Army West Point,12,12,50,46,48,1,1,nan,nan,1,nan,nan,3,nan,357,Offense
2017-18,Army West Point,0,12,34,29,31,nan,3,nan,nan,1,nan,nan,6,nan,251,Defensive
2013-14,Army West Point,12,12,38,37,37,1,1,nan,,nan,nan,nan,8,1,293,Offense
2013-14,Army West Point,0,12,49,40,44,nan,1,3,,4,nan,nan,13,nan,379,Defensive
2014-15,Army West Point,12,12,40,36,38,nan,nan,1,,2,nan,nan,7,nan,299,Offense
2014-15,Army West Point,0,12,50,46,47,nan,nan,2,,2,nan,nan,15,nan,395,Defensive
2015-16,Army West Point,12,12,35,31,31,2,3,1,,1,nan,nan,6,nan,265,Offense
2015-16,Army West Point,0,12,40,34,36,1,1,1,,2,nan,nan,18,1,334,Defensive
2016-17,Army West Point,13,13,54,41,45,3,6,nan,,3,nan,nan,6,nan,389,Offense
2016-17,Army West Point,0,13,33,30,32,nan,1,nan,,nan,nan,nan,10,nan,258,Defensive
2017-18,Army West Point,12,12,50,46,48,1,1,nan,,1,nan,nan,3,nan,357,Offense
2017-18,Army West Point,0,12,34,29,31,nan,3,nan,,1,nan,nan,6,nan,251,Defensive
2013-14,Army West Point,12,12,38,37,37,1,1,nan,nan,nan,nan,nan,8,1,293,Offense
2013-14,Army West Point,0,12,49,40,44,nan,1,3,3,4,nan,nan,13,nan,379,Defensive
2014-15,Army West Point,12,12,40,36,38,nan,nan,1,1,2,nan,nan,7,nan,299,Offense
2014-15,Army West Point,0,12,50,46,47,nan,nan,2,2,2,nan,nan,15,nan,395,Defensive
2015-16,Army West Point,12,12,35,31,31,2,3,1,1,1,nan,nan,6,nan,265,Offense
2015-16,Army West Point,0,12,40,34,36,1,1,1,1,2,nan,nan,18,1,334,Defensive
2016-17,Army West Point,13,13,54,41,45,3,6,nan,nan,3,nan,nan,6,nan,389,Offense
2016-17,Army West Point,0,13,33,30,32,nan,1,nan,nan,nan,nan,nan,10,nan,258,Defensive
2017-18,Army West Point,12,12,50,46,48,1,1,nan,nan,1,nan,nan,3,nan,357,Offense
2017-18,Army West Point,0,12,34,29,31,nan,3,nan,nan,1,nan,nan,6,nan,251,Defensive
2013-14,Army West Point,12,12,38,37,37,1,1,nan,,nan,nan,nan,8,1,293,Offense
2013-14,Army West Point,0,12,49,40,44,nan,1,3,,4,nan,nan,13,nan,379,Defensive
2014-15,Army West Point,12,12,40,36,38,nan,nan,1,,2,nan,nan,7,nan,299,Offense
2014-15,Army West Point,0,12,50,46,47,nan,nan,2,,2,nan,nan,15,nan,395,Defensive
2015-16,Army West Point,12,12,35,31,31,2,3,1,,1,nan,nan,6,nan,265,Offense
2015-16,Army West Point,0,12,40,34,36,1,1,1,,2,nan,nan,18,1,334,Defensive
2016-17,Army West Point,13,13,54,41,45,3,6,nan,,3,nan,nan,6,nan,389,Offense
2016-17,Army West Point,0,13,33,30,32,nan,1,nan,,nan,nan,nan,10,nan,258,Defensive
2017-18,Army West Point,12,12,50,46,48,1,1,nan,,1,nan,nan,3,nan,357,Offense
2017-18,Army West Point,0,12,34,29,31,nan,3,nan,,1,nan,nan,6,nan,251,Defensive
2013-14,Arkansas St.,13,13,48,46,47,nan,nan,nan,,1,nan,nan,15,nan,379,Offense
2013-14,Arkansas St.,0,13,43,38,40,1,1,nan,,2,nan,nan,14,nan,340,Defensive
2014-15,Arkansas St.,13,13,65,52,60,nan,nan,1,,5,nan,nan,11,nan,477,Offense
2014-15,Arkansas St.,0,13,54,51,54,nan,nan,nan,,nan,nan,nan,7,nan,396,Defensive
2015-16,Arkansas St.,13,13,69,63,66,nan,nan,2,,3,nan,nan,13,nan,520,Offense
2015-16,Arkansas St.,0,13,52,48,50,nan,1,nan,,1,nan,nan,11,nan,393,Defensive
2016-17,Arkansas St.,13,13,46,40,45,nan,nan,nan,,1,nan,nan,13,nan,355,Offense
2016-17,Arkansas St.,0,13,31,28,30,nan,nan,nan,,1,nan,nan,21,1,279,Defensive
2017-18,Arkansas St.,11,11,55,45,51,nan,1,1,,3,nan,nan,15,1,424,Offense
2017-18,Arkansas St.,0,11,35,29,32,1,1,2,,2,nan,nan,9,1,274,Defensive
2013-14,Arkansas St.,13,13,48,46,47,nan,nan,nan,nan,1,nan,nan,15,nan,379,Offense
2013-14,Arkansas St.,0,13,43,38,40,1,1,nan,nan,2,nan,nan,14,nan,340,Defensive
2014-15,Arkansas St.,13,13,65,52,60,nan,nan,1,1,5,nan,nan,11,nan,477,Offense
2014-15,Arkansas St.,0,13,54,51,54,nan,nan,nan,nan,nan,nan,nan,7,nan,396,Defensive
2015-16,Arkansas St.,13,13,69,63,66,nan,nan,2,2,3,nan,nan,13,nan,520,Offense
2015-16,Arkansas St.,0,13,52,48,50,nan,1,nan,nan,1,nan,nan,11,nan,393,Defensive
2016-17,Arkansas St.,13,13,46,40,45,nan,nan,nan,nan,1,nan,nan,13,nan,355,Offense
2016-17,Arkansas St.,0,13,31,28,30,nan,nan,nan,nan,1,nan,nan,21,1,279,Defensive
2017-18,Arkansas St.,11,11,55,45,51,nan,1,1,1,3,nan,nan,15,1,424,Offense
2017-18,Arkansas St.,0,11,35,29,32,1,1,2,2,2,nan,nan,9,1,274,Defensive
2013-14,Arkansas,12,12,30,29,29,nan,nan,nan,nan,1,nan,nan,13,nan,248,Offense
2013-14,Arkansas,0,12,49,48,49,nan,nan,nan,nan,nan,nan,nan,9,nan,369,Defensive
2014-15,Arkansas,13,13,56,52,54,nan,2,nan,nan,nan,nan,nan,9,nan,415,Offense
2014-15,Arkansas,0,13,33,32,32,nan,nan,1,1,1,nan,nan,6,nan,250,Defensive
2015-16,Arkansas,13,13,62,58,58,1,1,3,3,3,nan,nan,9,1,467,Offense
2015-16,Arkansas,0,13,44,40,41,nan,nan,2,2,3,nan,nan,16,nan,356,Defensive
2016-17,Arkansas,13,13,51,45,46,1,1,1,1,3,nan,nan,13,nan,394,Offense
2016-17,Arkansas,0,13,54,51,52,nan,nan,1,1,2,nan,nan,9,nan,404,Defensive
2017-18,Arkansas,12,12,46,41,42,nan,nan,2,2,4,nan,nan,8,nan,345,Offense
2017-18,Arkansas,0,12,56,53,55,nan,nan,nan,nan,1,nan,nan,15,nan,434,Defensive
2013-14,Arkansas,12,12,30,29,29,nan,nan,nan,nan,1,nan,nan,13,nan,248,Offense
2013-14,Arkansas,0,12,49,48,49,nan,nan,nan,nan,nan,nan,nan,9,nan,369,Defensive
2014-15,Arkansas,13,13,56,52,54,nan,2,nan,nan,nan,nan,nan,9,nan,415,Offense
2014-15,Arkansas,0,13,33,32,32,nan,nan,1,1,1,nan,nan,6,nan,250,Defensive
2015-16,Arkansas,13,13,62,58,58,1,1,3,3,3,nan,nan,9,1,467,Offense
2015-16,Arkansas,0,13,44,40,41,nan,nan,2,2,3,nan,nan,16,nan,356,Defensive
2016-17,Arkansas,13,13,51,45,46,1,1,1,1,3,nan,nan,13,nan,394,Offense
2016-17,Arkansas,0,13,54,51,52,nan,nan,1,1,2,nan,nan,9,nan,404,Defensive
2017-18,Arkansas,12,12,46,41,42,nan,nan,2,2,4,nan,nan,8,nan,345,Offense
2017-18,Arkansas,0,12,56,53,55,nan,nan,nan,nan,1,nan,nan,15,nan,434,Defensive
2013-14,Arkansas,12,12,30,29,29,nan,nan,nan,,1,nan,nan,13,nan,248,Offense
2013-14,Arkansas,0,12,49,48,49,nan,nan,nan,,nan,nan,nan,9,nan,369,Defensive
2014-15,Arkansas,13,13,56,52,54,nan,2,nan,,nan,nan,nan,9,nan,415,Offense
2014-15,Arkansas,0,13,33,32,32,nan,nan,1,,1,nan,nan,6,nan,250,Defensive
2015-16,Arkansas,13,13,62,58,58,1,1,3,,3,nan,nan,9,1,467,Offense
2015-16,Arkansas,0,13,44,40,41,nan,nan,2,,3,nan,nan,16,nan,356,Defensive
