Year,Team,GP,G,PuntRet,PuntRetTDs,PuntRetYds,OffenseDefense
2016-17,Arkansas,0,13,18,nan,101,Defensive
2017-18,Arkansas,12,12,4,nan,51,Offense
2017-18,Arkansas,0,12,11,nan,40,Defensive
2013-14,Arkansas,12,12,9,nan,67,Offense
2013-14,Arkansas,0,12,19,1,250,Defensive
2014-15,Arkansas,13,13,22,nan,206,Offense
2014-15,Arkansas,0,13,16,nan,49,Defensive
2015-16,Arkansas,13,13,14,nan,186,Offense
2015-16,Arkansas,0,13,18,nan,125,Defensive
2016-17,Arkansas,13,13,17,nan,143,Offense
2016-17,Arkansas,0,13,18,nan,101,Defensive
2017-18,Arkansas,12,12,4,nan,51,Offense
2017-18,Arkansas,0,12,11,nan,40,Defensive
2013-14,Arkansas,12,12,9,nan,67,Offense
2013-14,Arkansas,0,12,19,1,250,Defensive
2014-15,Arkansas,13,13,22,nan,206,Offense
2014-15,Arkansas,0,13,16,nan,49,Defensive
2015-16,Arkansas,13,13,14,nan,186,Offense
2015-16,Arkansas,0,13,18,nan,125,Defensive
2016-17,Arkansas,13,13,17,nan,143,Offense
2016-17,Arkansas,0,13,18,nan,101,Defensive
2017-18,Arkansas,12,12,4,nan,51,Offense
2017-18,Arkansas,0,12,11,nan,40,Defensive
2013-14,Arizona,13,13,23,nan,166,Offense
2013-14,Arizona,0,13,15,nan,50,Defensive
2014-15,Arizona,14,14,17,1,174,Offense
2014-15,Arizona,0,14,32,nan,268,Defensive
2015-16,Arizona,13,13,9,1,144,Offense
2015-16,Arizona,0,13,23,nan,79,Defensive
2016-17,Arizona,12,12,12,nan,56,Offense
2016-17,Arizona,0,12,21,nan,241,Defensive
2017-18,Arizona,12,12,16,2,198,Offense
2017-18,Arizona,0,12,17,1,205,Defensive
2013-14,Arizona,13,13,23,nan,166,Offense
2013-14,Arizona,0,13,15,nan,50,Defensive
2014-15,Arizona,14,14,17,1,174,Offense
2014-15,Arizona,0,14,32,nan,268,Defensive
2015-16,Arizona,13,13,9,1,144,Offense
2015-16,Arizona,0,13,23,nan,79,Defensive
2016-17,Arizona,12,12,12,nan,56,Offense
2016-17,Arizona,0,12,21,nan,241,Defensive
2017-18,Arizona,12,12,16,2,198,Offense
2017-18,Arizona,0,12,17,1,205,Defensive
2013-14,Arizona,13,13,23,nan,166,Offense
2013-14,Arizona,0,13,15,nan,50,Defensive
2014-15,Arizona,14,14,17,1,174,Offense
2014-15,Arizona,0,14,32,nan,268,Defensive
2015-16,Arizona,13,13,9,1,144,Offense
2015-16,Arizona,0,13,23,nan,79,Defensive
2016-17,Arizona,12,12,12,nan,56,Offense
2016-17,Arizona,0,12,21,nan,241,Defensive
2017-18,Arizona,12,12,16,2,198,Offense
2017-18,Arizona,0,12,17,1,205,Defensive
2013-14,Arizona,13,13,23,nan,166,Offense
2013-14,Arizona,0,13,15,nan,50,Defensive
2014-15,Arizona,14,14,17,1,174,Offense
2014-15,Arizona,0,14,32,nan,268,Defensive
2015-16,Arizona,13,13,9,1,144,Offense
2015-16,Arizona,0,13,23,nan,79,Defensive
2016-17,Arizona,12,12,12,nan,56,Offense
2016-17,Arizona,0,12,21,nan,241,Defensive
2017-18,Arizona,12,12,16,2,198,Offense
2017-18,Arizona,0,12,17,1,205,Defensive
2013-14,Arizona St.,14,14,36,nan,206,Offense
2013-14,Arizona St.,0,14,19,nan,191,Defensive
2014-15,Arizona St.,13,13,15,nan,55,Offense
2014-15,Arizona St.,0,13,15,2,196,Defensive
2015-16,Arizona St.,13,13,27,nan,189,Offense
2015-16,Arizona St.,0,13,22,1,267,Defensive
2016-17,Arizona St.,12,12,23,1,236,Offense
2016-17,Arizona St.,0,12,19,nan,65,Defensive
2017-18,Arizona St.,12,12,19,1,115,Offense
2017-18,Arizona St.,0,12,27,nan,162,Defensive
2013-14,Arizona St.,14,14,36,nan,206,Offense
2013-14,Arizona St.,0,14,19,nan,191,Defensive
2014-15,Arizona St.,13,13,15,nan,55,Offense
