Year,Team,GP,G,RZScores,RZPts,RZRushTD,RZPassTD,RZFGMade,RZEndFGA,RZEndFumble,RZEndINT,RZEndDowns,RZEndHalf,RZEndGame,OffenseDefense
2015-16,Army West Point,12,12,24,154,15,5,4,1,1,2,2,1,nan,Offense
2015-16,Army West Point,0,12,40,228,21,6,13,1,1,nan,1,nan,nan,Defensive
2016-17,Army West Point,13,13,42,272,35,3,4,4,nan,4,1,nan,nan,Offense
2016-17,Army West Point,0,13,29,164,12,8,9,1,nan,3,nan,nan,nan,Defensive
2017-18,Army West Point,12,12,40,271,37,1,2,3,nan,1,nan,2,nan,Offense
2017-18,Army West Point,0,12,23,138,10,8,5,3,1,1,2,2,nan,Defensive
2013-14,Army West Point,12,12,36,228,27,3,6,1,1,nan,2,1,nan,Offense
2013-14,Army West Point,0,12,44,267,22,12,10,1,1,3,2,nan,nan,Defensive
2014-15,Army West Point,12,12,28,186,24,2,2,2,1,nan,3,3,nan,Offense
2014-15,Army West Point,0,12,50,306,17,22,11,2,1,1,nan,2,nan,Defensive
2015-16,Army West Point,12,12,24,154,15,5,4,1,1,2,2,1,nan,Offense
2015-16,Army West Point,0,12,40,228,21,6,13,1,1,nan,1,nan,nan,Defensive
2016-17,Army West Point,13,13,42,272,35,3,4,4,nan,4,1,nan,nan,Offense
2016-17,Army West Point,0,13,29,164,12,8,9,1,nan,3,nan,nan,nan,Defensive
2017-18,Army West Point,12,12,40,271,37,1,2,3,nan,1,nan,2,nan,Offense
2017-18,Army West Point,0,12,23,138,10,8,5,3,1,1,2,2,nan,Defensive
2013-14,Arkansas St.,13,13,46,276,26,9,11,2,nan,1,3,2,nan,Offense
2013-14,Arkansas St.,0,13,44,259,21,11,12,3,3,1,3,2,nan,Defensive
2014-15,Arkansas St.,13,13,47,281,24,13,10,4,1,nan,5,1,nan,Offense
2014-15,Arkansas St.,0,13,35,219,21,8,6,2,3,2,2,nan,nan,Defensive
2015-16,Arkansas St.,13,13,47,278,23,12,12,3,1,2,4,1,nan,Offense
2015-16,Arkansas St.,0,13,36,222,16,13,7,1,nan,3,2,nan,nan,Defensive
2016-17,Arkansas St.,13,13,40,227,16,12,12,5,1,1,4,nan,nan,Offense
2016-17,Arkansas St.,0,13,33,173,8,11,14,2,nan,nan,3,3,nan,Defensive
2017-18,Arkansas St.,11,11,42,249,12,20,10,5,2,3,5,1,nan,Offense
2017-18,Arkansas St.,0,11,24,144,13,5,6,2,nan,2,1,1,nan,Defensive
2013-14,Arkansas St.,13,13,46,276,26,9,11,2,nan,1,3,2,nan,Offense
2013-14,Arkansas St.,0,13,44,259,21,11,12,3,3,1,3,2,nan,Defensive
2014-15,Arkansas St.,13,13,47,281,24,13,10,4,1,nan,5,1,nan,Offense
2014-15,Arkansas St.,0,13,35,219,21,8,6,2,3,2,2,nan,nan,Defensive
2015-16,Arkansas St.,13,13,47,278,23,12,12,3,1,2,4,1,nan,Offense
2015-16,Arkansas St.,0,13,36,222,16,13,7,1,nan,3,2,nan,nan,Defensive
2016-17,Arkansas St.,13,13,40,227,16,12,12,5,1,1,4,nan,nan,Offense
2016-17,Arkansas St.,0,13,33,173,8,11,14,2,nan,nan,3,3,nan,Defensive
2017-18,Arkansas St.,11,11,42,249,12,20,10,5,2,3,5,1,nan,Offense
2017-18,Arkansas St.,0,11,24,144,13,5,6,2,nan,2,1,1,nan,Defensive
2013-14,Arkansas,12,12,30,181,11,12,7,1,1,1,4,1,nan,Offense
2013-14,Arkansas,0,12,37,226,14,15,8,4,3,nan,1,nan,nan,Defensive
2014-15,Arkansas,13,13,44,272,24,12,8,3,2,3,2,2,nan,Offense
2014-15,Arkansas,0,13,23,150,10,10,3,6,nan,2,1,1,nan,Defensive
2015-16,Arkansas,13,13,49,314,25,16,8,4,nan,1,3,2,nan,Offense
2015-16,Arkansas,0,13,46,270,22,11,13,4,1,1,1,nan,nan,Defensive
2016-17,Arkansas,13,13,46,276,14,21,11,1,2,5,4,nan,nan,Offense
2016-17,Arkansas,0,13,41,262,28,7,6,3,3,nan,1,nan,nan,Defensive
2017-18,Arkansas,12,12,35,224,21,9,5,2,nan,1,nan,2,nan,Offense
2017-18,Arkansas,0,12,48,279,21,13,14,1,1,1,1,nan,nan,Defensive
2013-14,Arkansas,12,12,30,181,11,12,7,1,1,1,4,1,nan,Offense
2013-14,Arkansas,0,12,37,226,14,15,8,4,3,nan,1,nan,nan,Defensive
2014-15,Arkansas,13,13,44,272,24,12,8,3,2,3,2,2,nan,Offense
