Year,Team,GP,G,FGM,FGA,FGBlocksAllowed,FGM1-19,FGA1-19,FGM20-29,FGA20-29,FGM30-39,FGA30-39,FGM40-49,FGA40-49,FGM50-59,FGA50-59,FGM60+,FGA60+,LongFGM,OffenseDefense
2013-14,Florida,12,12,12,22,2,nan,nan,8,8,3,6,1,7,0,1,nan,nan,nan,Offense
2013-14,Florida,0,12,22,23,nan,1,1,6,6,7,8,8,8,nan,nan,nan,nan,nan,Defensive
2014-15,Florida,12,12,19,24,1,1,1,5,5,8,10,4,5,1,3,nan,nan,nan,Offense
2014-15,Florida,0,12,15,20,nan,nan,nan,4,4,7,8,1,5,3,3,nan,nan,nan,Defensive
2015-16,Florida,14,14,7,17,3,nan,nan,1,1,5,12,1,3,0,1,nan,nan,nan,Offense
2015-16,Florida,0,14,15,20,nan,nan,nan,8,10,4,4,2,3,1,3,nan,nan,nan,Defensive
2016-17,Florida,13,13,21,25,nan,nan,nan,5,5,5,7,8,10,3,3,nan,nan,nan,Offense
2016-17,Florida,0,13,10,15,1,nan,nan,6,6,4,6,0,3,nan,nan,nan,nan,nan,Defensive
2017-18,Florida,11,11,17,18,nan,nan,nan,7,7,4,4,4,5,2,2,nan,nan,nan,Offense
2017-18,Florida,0,11,16,24,nan,nan,nan,4,4,3,4,5,9,4,7,nan,nan,nan,Defensive
2013-14,Florida,12,12,12,22,2,nan,nan,8,8,3,6,1,7,0,1,nan,nan,nan,Offense
2013-14,Florida,0,12,22,23,nan,1,1,6,6,7,8,8,8,nan,nan,nan,nan,nan,Defensive
2014-15,Florida,12,12,19,24,1,1,1,5,5,8,10,4,5,1,3,nan,nan,nan,Offense
2014-15,Florida,0,12,15,20,nan,nan,nan,4,4,7,8,1,5,3,3,nan,nan,nan,Defensive
2015-16,Florida,14,14,7,17,3,nan,nan,1,1,5,12,1,3,0,1,nan,nan,nan,Offense
2015-16,Florida,0,14,15,20,nan,nan,nan,8,10,4,4,2,3,1,3,nan,nan,nan,Defensive
2016-17,Florida,13,13,21,25,nan,nan,nan,5,5,5,7,8,10,3,3,nan,nan,nan,Offense
2016-17,Florida,0,13,10,15,1,nan,nan,6,6,4,6,0,3,nan,nan,nan,nan,nan,Defensive
2017-18,Florida,11,11,17,18,nan,nan,nan,7,7,4,4,4,5,2,2,nan,nan,nan,Offense
2017-18,Florida,0,11,16,24,nan,nan,nan,4,4,3,4,5,9,4,7,nan,nan,nan,Defensive
2013-14,Fla. Atlantic,12,12,11,17,1,nan,nan,5,5,2,5,4,7,nan,nan,nan,nan,nan,Offense
2013-14,Fla. Atlantic,0,12,15,16,nan,nan,nan,3,3,5,5,6,7,1,1,nan,nan,nan,Defensive
2014-15,Fla. Atlantic,12,12,14,20,1,1,1,4,5,5,7,4,7,nan,nan,nan,nan,nan,Offense
2014-15,Fla. Atlantic,0,12,14,16,nan,2,2,6,7,1,2,3,3,2,2,nan,nan,nan,Defensive
2015-16,Fla. Atlantic,12,12,18,27,nan,nan,nan,11,12,2,4,5,10,0,1,nan,nan,nan,Offense
2015-16,Fla. Atlantic,0,12,12,20,nan,1,1,3,5,4,9,4,5,nan,nan,nan,nan,nan,Defensive
2016-17,Fla. Atlantic,12,12,10,14,nan,1,1,2,3,3,5,3,3,1,2,nan,nan,nan,Offense
2016-17,Fla. Atlantic,0,12,12,17,3,1,1,3,5,6,7,2,3,0,1,nan,nan,nan,Defensive
2017-18,Fla. Atlantic,13,13,15,19,1,nan,nan,7,7,3,4,4,5,1,3,nan,nan,nan,Offense
2017-18,Fla. Atlantic,0,13,12,19,1,nan,nan,7,11,2,4,3,4,nan,nan,nan,nan,nan,Defensive
2013-14,Fla. Atlantic,12,12,11,17,1,nan,nan,5,5,2,5,4,7,nan,nan,nan,nan,nan,Offense
2013-14,Fla. Atlantic,0,12,15,16,nan,nan,nan,3,3,5,5,6,7,1,1,nan,nan,nan,Defensive
2014-15,Fla. Atlantic,12,12,14,20,1,1,1,4,5,5,7,4,7,nan,nan,nan,nan,nan,Offense
2014-15,Fla. Atlantic,0,12,14,16,nan,2,2,6,7,1,2,3,3,2,2,nan,nan,nan,Defensive
2015-16,Fla. Atlantic,12,12,18,27,nan,nan,nan,11,12,2,4,5,10,0,1,nan,nan,nan,Offense
2015-16,Fla. Atlantic,0,12,12,20,nan,1,1,3,5,4,9,4,5,nan,nan,nan,nan,nan,Defensive
2016-17,Fla. Atlantic,12,12,10,14,nan,1,1,2,3,3,5,3,3,1,2,nan,nan,nan,Offense
