Year,Team,GP,SackUA,G,SackA,SackYds,Sacks,OffenseDefense
2015-16,Army West Point,12,nan,12,nan,73,nan,Offense
2015-16,Army West Point,0,nan,12,nan,107,nan,Defensive
2016-17,Army West Point,13,nan,13,nan,171,nan,Offense
2016-17,Army West Point,0,nan,13,nan,68,nan,Defensive
2017-18,Army West Point,12,nan,12,nan,191,nan,Offense
2017-18,Army West Point,0,nan,12,nan,5,nan,Defensive
2013-14,Army West Point,12,nan,12,nan,101,nan,Offense
2013-14,Army West Point,0,nan,12,nan,69,nan,Defensive
2014-15,Army West Point,12,nan,12,nan,63,nan,Offense
2014-15,Army West Point,0,nan,12,nan,88,nan,Defensive
2015-16,Army West Point,12,nan,12,nan,73,nan,Offense
2015-16,Army West Point,0,nan,12,nan,107,nan,Defensive
2016-17,Army West Point,13,nan,13,nan,171,nan,Offense
2016-17,Army West Point,0,nan,13,nan,68,nan,Defensive
2017-18,Army West Point,12,nan,12,nan,191,nan,Offense
2017-18,Army West Point,0,nan,12,nan,5,nan,Defensive
2013-14,Arkansas St.,13,nan,13,nan,180,nan,Offense
2013-14,Arkansas St.,0,nan,13,nan,155,nan,Defensive
2014-15,Arkansas St.,13,nan,13,nan,183,nan,Offense
2014-15,Arkansas St.,0,nan,13,nan,193,nan,Defensive
2015-16,Arkansas St.,13,nan,13,nan,201,nan,Offense
2015-16,Arkansas St.,0,nan,13,nan,217,nan,Defensive
2016-17,Arkansas St.,13,nan,13,nan,265,nan,Offense
2016-17,Arkansas St.,0,nan,13,nan,187,nan,Defensive
2017-18,Arkansas St.,11,nan,11,nan,210,nan,Offense
2017-18,Arkansas St.,0,nan,11,nan,152,nan,Defensive
2013-14,Arkansas St.,13,nan,13,nan,180,nan,Offense
2013-14,Arkansas St.,0,nan,13,nan,155,nan,Defensive
2014-15,Arkansas St.,13,nan,13,nan,183,nan,Offense
2014-15,Arkansas St.,0,nan,13,nan,193,nan,Defensive
2015-16,Arkansas St.,13,nan,13,nan,201,nan,Offense
2015-16,Arkansas St.,0,nan,13,nan,217,nan,Defensive
2016-17,Arkansas St.,13,nan,13,nan,265,nan,Offense
2016-17,Arkansas St.,0,nan,13,nan,187,nan,Defensive
2017-18,Arkansas St.,11,nan,11,nan,210,nan,Offense
2017-18,Arkansas St.,0,nan,11,nan,152,nan,Defensive
2013-14,Arkansas,12,nan,12,nan,211,nan,Offense
2013-14,Arkansas,0,nan,12,nan,75,nan,Defensive
2014-15,Arkansas,13,nan,13,nan,215,nan,Offense
2014-15,Arkansas,0,nan,13,nan,104,nan,Defensive
2015-16,Arkansas,13,nan,13,nan,125,nan,Offense
2015-16,Arkansas,0,nan,13,nan,92,nan,Defensive
2016-17,Arkansas,13,nan,13,nan,186,nan,Offense
2016-17,Arkansas,0,nan,13,nan,264,nan,Defensive
2017-18,Arkansas,12,nan,12,nan,128,nan,Offense
2017-18,Arkansas,0,nan,12,nan,197,nan,Defensive
2013-14,Arkansas,12,nan,12,nan,211,nan,Offense
2013-14,Arkansas,0,nan,12,nan,75,nan,Defensive
2014-15,Arkansas,13,nan,13,nan,215,nan,Offense
2014-15,Arkansas,0,nan,13,nan,104,nan,Defensive
2015-16,Arkansas,13,nan,13,nan,125,nan,Offense
2015-16,Arkansas,0,nan,13,nan,92,nan,Defensive
2016-17,Arkansas,13,nan,13,nan,186,nan,Offense
2016-17,Arkansas,0,nan,13,nan,264,nan,Defensive
2017-18,Arkansas,12,nan,12,nan,128,nan,Offense
2017-18,Arkansas,0,nan,12,nan,197,nan,Defensive
2013-14,Arkansas,12,nan,12,nan,211,nan,Offense
2013-14,Arkansas,0,nan,12,nan,75,nan,Defensive
2014-15,Arkansas,13,nan,13,nan,215,nan,Offense
2014-15,Arkansas,0,nan,13,nan,104,nan,Defensive
2015-16,Arkansas,13,nan,13,nan,125,nan,Offense
2015-16,Arkansas,0,nan,13,nan,92,nan,Defensive
2016-17,Arkansas,13,nan,13,nan,186,nan,Offense
