Year,Team,GP,G,FumblesRecovered,Int,Blkd,OffenseDefense
2017-18,Boise St.,0,13,5,5,nan,Defensive
2013-14,Baylor,13,13,10,19,2,Offense
2013-14,Baylor,0,13,10,6,2,Defensive
2014-15,Baylor,13,13,13,13,1,Offense
2014-15,Baylor,0,13,5,8,3,Defensive
2015-16,Baylor,13,13,12,14,3,Offense
2015-16,Baylor,0,13,13,13,nan,Defensive
2016-17,Baylor,13,13,10,12,nan,Offense
2016-17,Baylor,0,13,12,15,nan,Defensive
2017-18,Baylor,12,12,8,3,2,Offense
2017-18,Baylor,0,12,11,14,1,Defensive
2013-14,Baylor,13,13,10,19,2,Offense
2013-14,Baylor,0,13,10,6,2,Defensive
2014-15,Baylor,13,13,13,13,1,Offense
2014-15,Baylor,0,13,5,8,3,Defensive
2015-16,Baylor,13,13,12,14,3,Offense
2015-16,Baylor,0,13,13,13,nan,Defensive
2016-17,Baylor,13,13,10,12,nan,Offense
2016-17,Baylor,0,13,12,15,nan,Defensive
2017-18,Baylor,12,12,8,3,2,Offense
2017-18,Baylor,0,12,11,14,1,Defensive
2013-14,Baylor,13,13,10,19,2,Offense
2013-14,Baylor,0,13,10,6,2,Defensive
2014-15,Baylor,13,13,13,13,1,Offense
2014-15,Baylor,0,13,5,8,3,Defensive
2015-16,Baylor,13,13,12,14,3,Offense
2015-16,Baylor,0,13,13,13,nan,Defensive
2016-17,Baylor,13,13,10,12,nan,Offense
2016-17,Baylor,0,13,12,15,nan,Defensive
2017-18,Baylor,12,12,8,3,2,Offense
2017-18,Baylor,0,12,11,14,1,Defensive
2013-14,Ball St.,13,13,18,13,1,Offense
2013-14,Ball St.,0,13,11,8,1,Defensive
2014-15,Ball St.,12,12,14,10,1,Offense
2014-15,Ball St.,0,12,8,7,1,Defensive
2015-16,Ball St.,12,12,9,7,2,Offense
2015-16,Ball St.,0,12,6,9,1,Defensive
2016-17,Ball St.,12,12,7,7,1,Offense
2016-17,Ball St.,0,12,9,15,1,Defensive
2017-18,Ball St.,12,12,6,6,1,Offense
2017-18,Ball St.,0,12,7,14,6,Defensive
2013-14,Ball St.,13,13,18,13,1,Offense
2013-14,Ball St.,0,13,11,8,1,Defensive
2014-15,Ball St.,12,12,14,10,1,Offense
2014-15,Ball St.,0,12,8,7,1,Defensive
2015-16,Ball St.,12,12,9,7,2,Offense
2015-16,Ball St.,0,12,6,9,1,Defensive
2016-17,Ball St.,12,12,7,7,1,Offense
2016-17,Ball St.,0,12,9,15,1,Defensive
2017-18,Ball St.,12,12,6,6,1,Offense
2017-18,Ball St.,0,12,7,14,6,Defensive
2013-14,Ball St.,13,13,18,13,1,Offense
2013-14,Ball St.,0,13,11,8,1,Defensive
2014-15,Ball St.,12,12,14,10,1,Offense
2014-15,Ball St.,0,12,8,7,1,Defensive
2015-16,Ball St.,12,12,9,7,2,Offense
2015-16,Ball St.,0,12,6,9,1,Defensive
2016-17,Ball St.,12,12,7,7,1,Offense
2016-17,Ball St.,0,12,9,15,1,Defensive
2017-18,Ball St.,12,12,6,6,1,Offense
2017-18,Ball St.,0,12,7,14,6,Defensive
2013-14,BYU,13,13,10,13,4,Offense
2013-14,BYU,0,13,7,14,4,Defensive
2014-15,BYU,13,13,12,14,3,Offense
2014-15,BYU,0,13,15,12,nan,Defensive
2015-16,BYU,13,13,7,15,8,Offense
2015-16,BYU,0,13,8,12,2,Defensive
2016-17,BYU,13,13,10,21,4,Offense
2016-17,BYU,0,13,7,12,2,Defensive
2017-18,BYU,13,13,9,8,2,Offense
2017-18,BYU,0,13,8,19,nan,Defensive
2013-14,BYU,13,13,10,13,4,Offense
2013-14,BYU,0,13,7,14,4,Defensive
2014-15,BYU,13,13,12,14,3,Offense
2014-15,BYU,0,13,15,12,nan,Defensive
2015-16,BYU,13,13,7,15,8,Offense
2015-16,BYU,0,13,8,12,2,Defensive
2016-17,BYU,13,13,10,21,4,Offense
2016-17,BYU,0,13,7,12,2,Defensive
2017-18,BYU,13,13,9,8,2,Offense
2017-18,BYU,0,13,8,19,nan,Defensive
2013-14,BYU,13,13,10,13,4,Offense
2013-14,BYU,0,13,7,14,4,Defensive
2014-15,BYU,13,13,12,14,3,Offense
2014-15,BYU,0,13,15,12,nan,Defensive
2015-16,BYU,13,13,7,15,8,Offense
2015-16,BYU,0,13,8,12,2,Defensive
2016-17,BYU,13,13,10,21,4,Offense
2016-17,BYU,0,13,7,12,2,Defensive
2017-18,BYU,13,13,9,8,2,Offense
2017-18,BYU,0,13,8,19,nan,Defensive
2013-14,BYU,13,13,10,13,4,Offense
2013-14,BYU,0,13,7,14,4,Defensive
2014-15,BYU,13,13,12,14,3,Offense
2014-15,BYU,0,13,15,12,nan,Defensive
2015-16,BYU,13,13,7,15,8,Offense
2015-16,BYU,0,13,8,12,2,Defensive
2016-17,BYU,13,13,10,21,4,Offense
2016-17,BYU,0,13,7,12,2,Defensive
2017-18,BYU,13,13,9,8,2,Offense
2017-18,BYU,0,13,8,19,nan,Defensive
2011-12,Auburn,1,1,nan,2,nan,Offense
2011-12,Auburn,0,1,1,1,nan,Defensive
2013-14,Auburn,14,14,6,13,2,Offense
2013-14,Auburn,0,14,11,8,2,Defensive
2014-15,Auburn,13,13,5,22,1,Offense
2014-15,Auburn,0,13,13,7,1,Defensive
2015-16,Auburn,13,13,5,14,1,Offense
2015-16,Auburn,0,13,5,12,nan,Defensive
2016-17,Auburn,13,13,6,11,3,Offense
2016-17,Auburn,0,13,8,6,2,Defensive
2017-18,Auburn,13,13,12,6,1,Offense
2017-18,Auburn,0,13,13,4,3,Defensive
2011-12,Auburn,1,1,nan,2,nan,Offense
2011-12,Auburn,0,1,1,1,nan,Defensive
2013-14,Auburn,14,14,6,13,2,Offense
2013-14,Auburn,0,14,11,8,2,Defensive
2014-15,Auburn,13,13,5,22,1,Offense
2014-15,Auburn,0,13,13,7,1,Defensive
2015-16,Auburn,13,13,5,14,1,Offense
2015-16,Auburn,0,13,5,12,nan,Defensive
2016-17,Auburn,13,13,6,11,3,Offense
2016-17,Auburn,0,13,8,6,2,Defensive
2017-18,Auburn,13,13,12,6,1,Offense
2017-18,Auburn,0,13,13,4,3,Defensive
2011-12,Auburn,1,1,nan,2,nan,Offense
2011-12,Auburn,0,1,1,1,nan,Defensive
2013-14,Auburn,14,14,6,13,2,Offense
2013-14,Auburn,0,14,11,8,2,Defensive
2014-15,Auburn,13,13,5,22,1,Offense
2014-15,Auburn,0,13,13,7,1,Defensive
2015-16,Auburn,13,13,5,14,1,Offense
2015-16,Auburn,0,13,5,12,nan,Defensive
2016-17,Auburn,13,13,6,11,3,Offense
2016-17,Auburn,0,13,8,6,2,Defensive
2017-18,Auburn,13,13,12,6,1,Offense
2017-18,Auburn,0,13,13,4,3,Defensive
2013-14,Ball St.,13,13,18,13,1,Offense
2013-14,Ball St.,0,13,11,8,1,Defensive
2014-15,Ball St.,12,12,14,10,1,Offense
2014-15,Ball St.,0,12,8,7,1,Defensive
2015-16,Ball St.,12,12,9,7,2,Offense
2015-16,Ball St.,0,12,6,9,1,Defensive
2016-17,Ball St.,12,12,7,7,1,Offense
