Date,Opponent,Result,G,SoloTack,AsstTack,STFL,ATFL,TackleYds,Tackles,Team,OffenseDefense
11/27/2015,Kent St.,W 20 - 0,1/,44,32,3,2,10,76,Akron Zips,Defense
12/22/2015,"Utah St. @ Boise, Idaho",W 23 - 21,1/,48,18,9,2,52,66,Akron Zips,Offense
12/22/2015,"Utah St. @ Boise, Idaho",W 23 - 21,1/,50,16,7,4,20,66,Akron Zips,Defense
09/03/2016,"Southern California @ Arlington, Texas",W 52 - 6,1/,42,16,9,nan,32,58,Alabama Crimson Tide,Offense
09/03/2016,"Southern California @ Arlington, Texas",W 52 - 6,1/,44,16,6,4,28,60,Alabama Crimson Tide,Defense
09/10/2016,Western Ky.,W 38 - 10,1/,32,24,3,4,40,56,Alabama Crimson Tide,Offense
09/10/2016,Western Ky.,W 38 - 10,1/,47,32,2,nan,15,79,Alabama Crimson Tide,Defense
09/17/2016,@ Ole Miss,W 48 - 43,1/,34,42,4,2,28,76,Alabama Crimson Tide,Offense
09/17/2016,@ Ole Miss,W 48 - 43,1/,44,36,5,2,28,80,Alabama Crimson Tide,Defense
09/24/2016,Kent St.,W 48 - 0,1/,25,31,1,8,35,56,Alabama Crimson Tide,Offense
09/24/2016,Kent St.,W 48 - 0,1/,49,26,4,6,15,75,Alabama Crimson Tide,Defense
10/01/2016,Kentucky,W 34 - 6,1/,40,24,8,2,41,64,Alabama Crimson Tide,Offense
10/01/2016,Kentucky,W 34 - 6,1/,49,20,4,nan,15,69,Alabama Crimson Tide,Defense
10/08/2016,@ Arkansas,W 49 - 30,1/,40,34,8,4,62,74,Alabama Crimson Tide,Offense
10/08/2016,@ Arkansas,W 49 - 30,1/,29,30,1,4,7,59,Alabama Crimson Tide,Defense
10/15/2016,@ Tennessee,W 49 - 10,1/,44,22,9,2,56,66,Alabama Crimson Tide,Offense
