Year,Team,GP,G,SoloTack,AsstTack,STFL,ATFL,TackleYds,Tackles,OffenseDefense
2017-18,Army West Point,12,12,434,266,39,20,263,700,Offense
2017-18,Army West Point,0,12,444,516,26,22,74,960,Defensive
2013-14,Army West Point,12,12,470,310,54,8,204,780,Offense
2013-14,Army West Point,0,12,551,386,49,6,148,937,Defensive
2014-15,Army West Point,12,12,491,272,48,14,179,763,Offense
2014-15,Army West Point,0,12,539,340,67,16,237,879,Defensive
2015-16,Army West Point,12,12,443,286,50,18,214,729,Offense
2015-16,Army West Point,0,12,495,330,62,34,268,825,Defensive
2016-17,Army West Point,13,13,424,314,56,32,275,738,Offense
2016-17,Army West Point,0,13,592,462,51,12,213,1054,Defensive
2017-18,Army West Point,12,12,434,266,39,20,263,700,Offense
2017-18,Army West Point,0,12,444,516,26,22,74,960,Defensive
2013-14,Arkansas St.,13,13,452,488,51,40,297,940,Offense
2013-14,Arkansas St.,0,13,517,566,71,41,324,1083,Defensive
2014-15,Arkansas St.,13,13,639,225,72,28,318,864,Offense
2014-15,Arkansas St.,0,13,687,240,89,10,382,927,Defensive
2015-16,Arkansas St.,13,13,522,330,69,39,340,852,Offense
2015-16,Arkansas St.,0,13,627,314,72,30,358,941,Defensive
2016-17,Arkansas St.,13,13,490,528,90,70,441,1018,Offense
2016-17,Arkansas St.,0,13,476,505,72,56,369,981,Defensive
2017-18,Arkansas St.,11,11,405,370,69,45,386,775,Offense
2017-18,Arkansas St.,0,11,465,402,43,32,235,867,Defensive
2013-14,Arkansas St.,13,13,452,488,51,40,297,940,Offense
2013-14,Arkansas St.,0,13,517,566,71,41,324,1083,Defensive
2014-15,Arkansas St.,13,13,639,225,72,28,318,864,Offense
2014-15,Arkansas St.,0,13,687,240,89,10,382,927,Defensive
2015-16,Arkansas St.,13,13,522,330,69,39,340,852,Offense
2015-16,Arkansas St.,0,13,627,314,72,30,358,941,Defensive
2016-17,Arkansas St.,13,13,490,528,90,70,441,1018,Offense
2016-17,Arkansas St.,0,13,476,505,72,56,369,981,Defensive
2017-18,Arkansas St.,11,11,405,370,69,45,386,775,Offense
2017-18,Arkansas St.,0,11,465,402,43,32,235,867,Defensive
2013-14,Arkansas,12,12,415,453,52,30,294,868,Offense
