Date,Opponent,Result,G,KO,KOYds,KOTB,KORet,KickRetTDs,KORetYds,Team,OffenseDefense
10/18/2014,@ Troy,W 53 - 14,1/,,536,4,3,nan,81,Appalachian St. Mountaineers,Offense
10/18/2014,@ Troy,W 53 - 14,1/,,157,nan,5,1/,173,Appalachian St. Mountaineers,Defense
11/01/2014,Georgia St.,W 44 - 0,1/,,394,4,1,nan,3,Appalachian St. Mountaineers,Offense
11/01/2014,Georgia St.,W 44 - 0,1/,,31,nan,3,nan,33,Appalachian St. Mountaineers,Defense
11/08/2014,La.-Monroe,W 31 - 29,1/,,325,2,1,nan,20,Appalachian St. Mountaineers,Offense
11/08/2014,La.-Monroe,W 31 - 29,1/,,455,6,3,nan,64,Appalachian St. Mountaineers,Defense
11/15/2014,@ Arkansas St.,W 37 - 32,1/,,326,nan,4,nan,44,Appalachian St. Mountaineers,Offense
11/15/2014,@ Arkansas St.,W 37 - 32,1/,,239,nan,6,nan,92,Appalachian St. Mountaineers,Defense
11/22/2014,@ Louisiana,W 35 - 16,1/,,384,3,1,nan,18,Appalachian St. Mountaineers,Offense
11/22/2014,@ Louisiana,W 35 - 16,1/,,260,3,3,nan,60,Appalachian St. Mountaineers,Defense
11/29/2014,Idaho,W 45 - 28,1/,,476,1,4,nan,78,Appalachian St. Mountaineers,Offense
11/29/2014,Idaho,W 45 - 28,1/,,218,nan,7,nan,228,Appalachian St. Mountaineers,Defense
08/30/2014,"West Virginia @ Atlanta, Georgia",W 33 - 23,1/,,453,3,4,nan,99,Alabama Crimson Tide,Offense
08/30/2014,"West Virginia @ Atlanta, Georgia",W 33 - 23,1/,,388,2,4,1/,152,Alabama Crimson Tide,Defense
09/06/2014,Fla. Atlantic,W 41 - 0,1/,,516,2,1,nan,26,Alabama Crimson Tide,Offense
09/06/2014,Fla. Atlantic,W 41 - 0,1/,,65,nan,6,nan,118,Alabama Crimson Tide,Defense
09/13/2014,Southern Miss.,W 52 - 12,1/,,564,2,4,nan,111,Alabama Crimson Tide,Offense
09/13/2014,Southern Miss.,W 52 - 12,1/,,313,1,7,nan,135,Alabama Crimson Tide,Defense
09/20/2014,Florida,W 42 - 21,1/,,440,1,3,nan,70,Alabama Crimson Tide,Offense
09/20/2014,Florida,W 42 - 21,1/,,254,1,5,nan,85,Alabama Crimson Tide,Defense
10/04/2014,@ Ole Miss,L 17 - 23,1/,,221,nan,4,nan,92,Alabama Crimson Tide,Offense
10/04/2014,@ Ole Miss,L 17 - 23,1/,,323,1,4,nan,112,Alabama Crimson Tide,Defense
10/11/2014,@ Arkansas,W 14 - 13,1/,,184,1,3,nan,62,Alabama Crimson Tide,Offense
10/11/2014,@ Arkansas,W 14 - 13,1/,,167,nan,2,nan,23,Alabama Crimson Tide,Defense
10/18/2014,Texas A&M,W 59 - 0,1/,,614,2,nan,nan,nan,Alabama Crimson Tide,Offense
10/18/2014,Texas A&M,W 59 - 0,1/,,65,1,8/,nan,198,Alabama Crimson Tide,Defense
10/25/2014,@ Tennessee,W 34 - 20,1/,,381,3,4,nan,73,Alabama Crimson Tide,Offense
10/25/2014,@ Tennessee,W 34 - 20,1/,,237,nan,3,nan,63,Alabama Crimson Tide,Defense
11/08/2014,@ LSU,W 20 - 13 (1OT),1/,,232,1,3,nan,83,Alabama Crimson Tide,Offense
11/08/2014,@ LSU,W 20 - 13 (1OT),1/,,248,nan,2,nan,45,Alabama Crimson Tide,Defense
11/15/2014,Mississippi St.,W 25 - 20,1/,,316,1,6,nan,98,Alabama Crimson Tide,Offense
11/15/2014,Mississippi St.,W 25 - 20,1/,,293,nan,4,nan,69,Alabama Crimson Tide,Defense
11/22/2014,Western Caro.,W 48 - 14,1/,,572,4,3,nan,42,Alabama Crimson Tide,Offense
11/22/2014,Western Caro.,W 48 - 14,1/,,120,nan,4,nan,75,Alabama Crimson Tide,Defense
11/29/2014,Auburn,W 55 - 44,1/,,516,3,4,nan,63,Alabama Crimson Tide,Offense
11/29/2014,Auburn,W 55 - 44,1/,,490,4,5,nan,104,Alabama Crimson Tide,Defense
12/06/2014,"Missouri @ Atlanta, Ga.",W 42 - 13,1/,,410,2,3,nan,85,Alabama Crimson Tide,Offense
12/06/2014,"Missouri @ Atlanta, Ga.",W 42 - 13,1/,,257,1,4,nan,89,Alabama Crimson Tide,Defense
