Date,Opponent,Result,SackUA,G,SackA,SackYds,Sacks,Team,OffenseDefense
10/18/2014,Texas A&M,W 59 - 0,nan,1/,nan,27,6.0,Alabama Crimson Tide,Offense
10/18/2014,Texas A&M,W 59 - 0,nan,1/,nan,4,1.0,Alabama Crimson Tide,Defense
10/25/2014,@ Tennessee,W 34 - 20,nan,1/,nan,17,2.0,Alabama Crimson Tide,Offense
10/25/2014,@ Tennessee,W 34 - 20,nan,1/,nan,6,1.0,Alabama Crimson Tide,Defense
11/08/2014,@ LSU,W 20 - 13 (1OT),nan,1/,nan,13,2.0,Alabama Crimson Tide,Offense
11/08/2014,@ LSU,W 20 - 13 (1OT),nan,1/,nan,9,1.0,Alabama Crimson Tide,Defense
11/15/2014,Mississippi St.,W 25 - 20,nan,1/,nan,4,1.0,Alabama Crimson Tide,Offense
11/15/2014,Mississippi St.,W 25 - 20,nan,1/,nan,7,1.0,Alabama Crimson Tide,Defense
11/22/2014,Western Caro.,W 48 - 14,nan,1/,nan,29,2.0,Alabama Crimson Tide,Offense
11/22/2014,Western Caro.,W 48 - 14,nan,1/,nan,nan,nan,Alabama Crimson Tide,Defense
11/29/2014,Auburn,W 55 - 44,nan,1/,nan,6,2.0,Alabama Crimson Tide,Offense
11/29/2014,Auburn,W 55 - 44,nan,1/,nan,7,1.0,Alabama Crimson Tide,Defense
12/06/2014,"Missouri @ Atlanta, Ga.",W 42 - 13,nan,1/,nan,nan,nan,Alabama Crimson Tide,Offense
12/06/2014,"Missouri @ Atlanta, Ga.",W 42 - 13,nan,1/,nan,12,2.0,Alabama Crimson Tide,Defense
01/01/2015,Ohio St.,L 35 - 42,nan,1/,nan,21,3.0,Alabama Crimson Tide,Offense
01/01/2015,Ohio St.,L 35 - 42,nan,1/,nan,17,3.0,Alabama Crimson Tide,Defense
09/05/2015,"Wisconsin @ Arlington, Texas",W 35 - 17,nan,1/,nan,24,3.0,Alabama Crimson Tide,Offense
09/05/2015,"Wisconsin @ Arlington, Texas",W 35 - 17,nan,1/,nan,24,2.0,Alabama Crimson Tide,Defense
09/12/2015,Middle Tenn.,W 37 - 10,nan,1/,nan,nan,nan,Alabama Crimson Tide,Offense
09/12/2015,Middle Tenn.,W 37 - 10,nan,1/,nan,nan,nan,Alabama Crimson Tide,Defense
09/19/2015,Ole Miss,L 37 - 43,nan,1/,nan,12,2.0,Alabama Crimson Tide,Offense
09/19/2015,Ole Miss,L 37 - 43,nan,1/,nan,8,1.0,Alabama Crimson Tide,Defense
09/26/2015,La.-Monroe,W 34 - 0,nan,1/,nan,26,6.0,Alabama Crimson Tide,Offense
09/26/2015,La.-Monroe,W 34 - 0,nan,1/,nan,12,2.0,Alabama Crimson Tide,Defense
10/03/2015,@ Georgia,W 38 - 10,nan,1/,nan,11,2.0,Alabama Crimson Tide,Offense
10/03/2015,@ Georgia,W 38 - 10,nan,1/,nan,nan,nan,Alabama Crimson Tide,Defense
10/10/2015,Arkansas,W 27 - 14,nan,1/,nan,16,3.0,Alabama Crimson Tide,Offense
10/10/2015,Arkansas,W 27 - 14,nan,1/,nan,18,2.0,Alabama Crimson Tide,Defense
10/17/2015,@ Texas A&M,W 41 - 23,nan,1/,nan,34,6.0,Alabama Crimson Tide,Offense
10/17/2015,@ Texas A&M,W 41 - 23,nan,1/,nan,6,1.0,Alabama Crimson Tide,Defense
10/24/2015,Tennessee,W 19 - 14,nan,1/,nan,38,5.0,Alabama Crimson Tide,Offense
10/24/2015,Tennessee,W 19 - 14,nan,1/,nan,27,5.0,Alabama Crimson Tide,Defense
11/07/2015,LSU,W 30 - 16,nan,1/,nan,9,2.0,Alabama Crimson Tide,Offense
11/07/2015,LSU,W 30 - 16,nan,1/,nan,31,3.0,Alabama Crimson Tide,Defense
11/14/2015,@ Mississippi St.,W 31 - 6,nan,1/,nan,55/,9.0/,Alabama Crimson Tide,Offense
11/14/2015,@ Mississippi St.,W 31 - 6,nan,1/,nan,nan,nan,Alabama Crimson Tide,Defense
11/21/2015,Charleston So.,W 56 - 6,nan,1/,nan,nan,nan,Alabama Crimson Tide,Offense
11/21/2015,Charleston So.,W 56 - 6,nan,1/,nan,nan,nan,Alabama Crimson Tide,Defense
11/28/2015,@ Auburn,W 29 - 13,nan,1/,nan,32,3.0,Alabama Crimson Tide,Offense
11/28/2015,@ Auburn,W 29 - 13,nan,1/,nan,nan,nan,Alabama Crimson Tide,Defense
12/05/2015,"Florida @ Atltana, Ga.",W 29 - 15,nan,1/,nan,37,6.0,Alabama Crimson Tide,Offense
12/05/2015,"Florida @ Atltana, Ga.",W 29 - 15,nan,1/,nan,17,2.0,Alabama Crimson Tide,Defense
12/31/2015,"Michigan St. @ Arlington, Texas",W 38 - 0,nan,1/,nan,29,4.0,Alabama Crimson Tide,Offense
12/31/2015,"Michigan St. @ Arlington, Texas",W 38 - 0,nan,1/,nan,15,2.0,Alabama Crimson Tide,Defense
01/11/2016,"Clemson @ Glendale, Ariz.",W 45 - 40,nan,1/,nan,14,2.0,Alabama Crimson Tide,Offense
01/11/2016,"Clemson @ Glendale, Ariz.",W 45 - 40,nan,1/,nan,31,5.0,Alabama Crimson Tide,Defense
08/31/2013,"Virginia Tech @ Atlanta, Georgia",W 35 - 10,nan,1/,nan,4,1.0,Alabama Crimson Tide,Offense
08/31/2013,"Virginia Tech @ Atlanta, Georgia",W 35 - 10,nan,1/,nan,23,4.0,Alabama Crimson Tide,Defense
09/14/2013,@ Texas A&M,W 49 - 42,nan,1/,nan,5,1.0,Alabama Crimson Tide,Offense
09/14/2013,@ Texas A&M,W 49 - 42,nan,1/,nan,nan,nan,Alabama Crimson Tide,Defense
09/21/2013,Colorado St.,W 31 - 6,nan,1/,nan,5,1.0,Alabama Crimson Tide,Offense
09/21/2013,Colorado St.,W 31 - 6,nan,1/,nan,15,2.0,Alabama Crimson Tide,Defense
09/28/2013,Ole Miss,W 25 - 0,nan,1/,nan,16,2.0,Alabama Crimson Tide,Offense
09/28/2013,Ole Miss,W 25 - 0,nan,1/,nan,5,1.0,Alabama Crimson Tide,Defense
10/05/2013,Georgia St.,W 45 - 3,nan,1/,nan,8,1.0,Alabama Crimson Tide,Offense
10/05/2013,Georgia St.,W 45 - 3,nan,1/,nan,nan,nan,Alabama Crimson Tide,Defense
10/12/2013,@ Kentucky,W 48 - 7,nan,1/,nan,27,4.0,Alabama Crimson Tide,Offense
10/12/2013,@ Kentucky,W 48 - 7,nan,1/,nan,nan,nan,Alabama Crimson Tide,Defense
10/19/2013,Arkansas,W 52 - 0,nan,1/,nan,4,1.0,Alabama Crimson Tide,Offense
10/19/2013,Arkansas,W 52 - 0,nan,1/,nan,nan,nan,Alabama Crimson Tide,Defense
10/26/2013,Tennessee,W 45 - 10,nan,1/,nan,nan,nan,Alabama Crimson Tide,Offense
10/26/2013,Tennessee,W 45 - 10,nan,1/,nan,nan,nan,Alabama Crimson Tide,Defense
11/09/2013,LSU,W 38 - 17,nan,1/,nan,32,4.0,Alabama Crimson Tide,Offense
11/09/2013,LSU,W 38 - 17,nan,1/,nan,8,1.0,Alabama Crimson Tide,Defense
11/16/2013,@ Mississippi St.,W 20 - 7,nan,1/,nan,12,2.0,Alabama Crimson Tide,Offense
11/16/2013,@ Mississippi St.,W 20 - 7,nan,1/,nan,7,1.0,Alabama Crimson Tide,Defense
11/23/2013,Chattanooga,W 49 - 0,nan,1/,nan,2,1.0,Alabama Crimson Tide,Offense
11/23/2013,Chattanooga,W 49 - 0,nan,1/,nan,nan,nan,Alabama Crimson Tide,Defense
11/30/2013,@ Auburn,L 28 - 34,nan,1/,nan,25,3.0,Alabama Crimson Tide,Offense
11/30/2013,@ Auburn,L 28 - 34,nan,1/,nan,6,1.0,Alabama Crimson Tide,Defense
01/02/2014,"Oklahoma @ New Orleans, La.",L 31 - 45,nan,1/,nan,5,1.0,Alabama Crimson Tide,Offense
