Date,Opponent,Result,G,FumblesRecovered,Int,Blkd,Team,OffenseDefense
11/14/2015,@ Mississippi St.,W 31 - 6,1/,1,1,nan,Alabama Crimson Tide,Offense
11/14/2015,@ Mississippi St.,W 31 - 6,1/,nan,1,1,Alabama Crimson Tide,Defense
11/21/2015,Charleston So.,W 56 - 6,1/,1,1,nan,Alabama Crimson Tide,Offense
11/21/2015,Charleston So.,W 56 - 6,1/,nan,nan,nan,Alabama Crimson Tide,Defense
11/28/2015,@ Auburn,W 29 - 13,1/,1,nan,nan,Alabama Crimson Tide,Offense
11/28/2015,@ Auburn,W 29 - 13,1/,nan,nan,nan,Alabama Crimson Tide,Defense
12/05/2015,"Florida @ Atltana, Ga.",W 29 - 15,1/,nan,1,2/,Alabama Crimson Tide,Offense
12/05/2015,"Florida @ Atltana, Ga.",W 29 - 15,1/,1,nan,nan,Alabama Crimson Tide,Defense
12/31/2015,"Michigan St. @ Arlington, Texas",W 38 - 0,1/,nan,2,nan,Alabama Crimson Tide,Offense
12/31/2015,"Michigan St. @ Arlington, Texas",W 38 - 0,1/,nan,nan,nan,Alabama Crimson Tide,Defense
01/11/2016,"Clemson @ Glendale, Ariz.",W 45 - 40,1/,nan,1,1,Alabama Crimson Tide,Offense
01/11/2016,"Clemson @ Glendale, Ariz.",W 45 - 40,1/,nan,nan,nan,Alabama Crimson Tide,Defense
08/31/2013,"Virginia Tech @ Atlanta, Georgia",W 35 - 10,1/,nan,1,nan,Alabama Crimson Tide,Offense
08/31/2013,"Virginia Tech @ Atlanta, Georgia",W 35 - 10,1/,nan,1,nan,Alabama Crimson Tide,Defense
09/14/2013,@ Texas A&M,W 49 - 42,1/,nan,2,nan,Alabama Crimson Tide,Offense
09/14/2013,@ Texas A&M,W 49 - 42,1/,1,nan,nan,Alabama Crimson Tide,Defense
09/21/2013,Colorado St.,W 31 - 6,1/,1,nan,1,Alabama Crimson Tide,Offense
09/21/2013,Colorado St.,W 31 - 6,1/,nan,1,nan,Alabama Crimson Tide,Defense
09/28/2013,Ole Miss,W 25 - 0,1/,1,1,nan,Alabama Crimson Tide,Offense
09/28/2013,Ole Miss,W 25 - 0,1/,nan,1,nan,Alabama Crimson Tide,Defense
10/05/2013,Georgia St.,W 45 - 3,1/,1,nan,nan,Alabama Crimson Tide,Offense
10/05/2013,Georgia St.,W 45 - 3,1/,nan,nan,nan,Alabama Crimson Tide,Defense
10/12/2013,@ Kentucky,W 48 - 7,1/,nan,nan,nan,Alabama Crimson Tide,Offense
