Year,Team,GP,Punts,G,PuntYds,PuntTBs,LongPunt,OffenseDefense
2016-17,Arkansas,13,59,13,2626,3,nan,Offense
2016-17,Arkansas,0,61,13,2592,6,nan,Defensive
2017-18,Arkansas,12,59,12,2277,3,nan,Offense
2017-18,Arkansas,0,46,12,1842,2,nan,Defensive
2013-14,Arkansas,12,53,12,2358,2,nan,Offense
2013-14,Arkansas,0,48,12,2012,5,nan,Defensive
2014-15,Arkansas,13,59,13,2363,2,nan,Offense
2014-15,Arkansas,0,66,13,2826,1,nan,Defensive
2015-16,Arkansas,13,44,13,1772,2,nan,Offense
2015-16,Arkansas,0,52,13,2176,4,nan,Defensive
2016-17,Arkansas,13,59,13,2626,3,nan,Offense
2016-17,Arkansas,0,61,13,2592,6,nan,Defensive
2017-18,Arkansas,12,59,12,2277,3,nan,Offense
2017-18,Arkansas,0,46,12,1842,2,nan,Defensive
2013-14,Arizona,13,58,13,2299,4,nan,Offense
2013-14,Arizona,0,69,13,2836,1,nan,Defensive
2014-15,Arizona,14,80,14,3651,10,nan,Offense
2014-15,Arizona,0,85,14,3598,5,nan,Defensive
2015-16,Arizona,13,54,13,2389,6,nan,Offense
2015-16,Arizona,0,68,13,2862,4,nan,Defensive
2016-17,Arizona,12,61,12,2538,2,nan,Offense
2016-17,Arizona,0,48,12,2091,4,nan,Defensive
2017-18,Arizona,12,42,12,1417,1,nan,Offense
2017-18,Arizona,0,51,12,2095,1,nan,Defensive
2013-14,Arizona,13,58,13,2299,4,nan,Offense
2013-14,Arizona,0,69,13,2836,1,nan,Defensive
2014-15,Arizona,14,80,14,3651,10,nan,Offense
2014-15,Arizona,0,85,14,3598,5,nan,Defensive
2015-16,Arizona,13,54,13,2389,6,nan,Offense
2015-16,Arizona,0,68,13,2862,4,nan,Defensive
2016-17,Arizona,12,61,12,2538,2,nan,Offense
2016-17,Arizona,0,48,12,2091,4,nan,Defensive
2017-18,Arizona,12,42,12,1417,1,nan,Offense
2017-18,Arizona,0,51,12,2095,1,nan,Defensive
2013-14,Arizona,13,58,13,2299,4,nan,Offense
2013-14,Arizona,0,69,13,2836,1,nan,Defensive
2014-15,Arizona,14,80,14,3651,10,nan,Offense
2014-15,Arizona,0,85,14,3598,5,nan,Defensive
