Jersey,Player,Yr,Pos,GP,GS,FumblesRecovered,Int,FumblesLost,Interceptions,stat,year,team
2,"Myers, Kent",Jr,QB,12,12,nan,nan,2.0,8.0,Turnover Margin,2016-17,Utah St. Aggies
7,"Gray, Daniel",Sr,DB,12,10,nan,1.0,nan,nan,Turnover Margin,2016-17,Utah St. Aggies
99,"Uasike, Mohelika",Fr,DL,11,3,1.0,nan,nan,nan,Turnover Margin,2016-17,Utah St. Aggies
11,"Hobbs, Damion",Jr,QB,10,0,nan,nan,1.0,1.0,Turnover Margin,2016-17,Utah St. Aggies
13,"Davis, Jalen",Jr,DB,10,10,nan,1.0,nan,nan,Turnover Margin,2016-17,Utah St. Aggies
25,"Bright, Gerold",Fr,WR,9,0,1.0,nan,nan,nan,Turnover Margin,2016-17,Utah St. Aggies
5,"Armstrong, Brandon",Sr,RB,12,0,nan,nan,2.0,nan,Turnover Margin,2014-15,UTSA Roadrunners
9,"Mack, Marcellus",Sr,WR,12,12,1.0,nan,nan,nan,Turnover Margin,2014-15,UTSA Roadrunners
18,"Harrison, Kenny",Sr,WR,12,1,nan,nan,1.0,nan,Turnover Margin,2014-15,UTSA Roadrunners
25,"Sanchez, Mauricio",Jr,DB,12,7,nan,1.0,nan,nan,Turnover Margin,2014-15,UTSA Roadrunners
97,"Mabry, Ashaad",Sr,DL,12,12,1.0,nan,nan,nan,Turnover Margin,2014-15,UTSA Roadrunners
7,"Wade, Triston",Sr,DB,12,12,2.0,4.0,nan,nan,Turnover Margin,2014-15,UTSA Roadrunners
33,"Dahlquist, Chase",So,DB,12,6,1.0,nan,nan,nan,Turnover Margin,2014-15,UTSA Roadrunners
21,"Okotcha, Bennett",Jr,DB,12,11,nan,1.0,nan,nan,Turnover Margin,2014-15,UTSA Roadrunners
42,"Jeters, Jens",Jr,LB,12,12,2.0,nan,nan,nan,Turnover Margin,2014-15,UTSA Roadrunners
50,"Singletary, Robert",Sr,DL,12,11,1.0,nan,nan,nan,Turnover Margin,2014-15,UTSA Roadrunners
10,"King, Brian",Sr,DB,12,5,nan,1.0,nan,nan,Turnover Margin,2014-15,UTSA Roadrunners
88,"Grubb, Aaron",Jr,WR,12,3,nan,nan,2.0,nan,Turnover Margin,2014-15,UTSA Roadrunners
37,"Wheeler, Duke",Jr,DB,11,1,2.0,nan,nan,nan,Turnover Margin,2014-15,UTSA Roadrunners
4,"Adams III, Crosby",Sr,DB,11,1,nan,1.0,nan,nan,Turnover Margin,2014-15,UTSA Roadrunners
8,"Egwuagu, Michael",So,DB,9,3,nan,1.0,nan,nan,Turnover Margin,2014-15,UTSA Roadrunners
30,"Chavez, Justin",So,DB,9,0,nan,nan,1.0,nan,Turnover Margin,2014-15,UTSA Roadrunners
6,"Carter, Tucker",Sr,QB,8,7,nan,nan,nan,5.0,Turnover Margin,2014-15,UTSA Roadrunners
44,"Kurfehs, Steven",Sr,LB,12,12,1.0,nan,nan,nan,Turnover Margin,2013-14,UTSA Roadrunners
85,"Moeller, Jeremiah",Sr,TE,12,7,nan,nan,1.0,nan,Turnover Margin,2013-14,UTSA Roadrunners
7,"Wade, Triston",Jr,DB,12,11,nan,2.0,nan,nan,Turnover Margin,2013-14,UTSA Roadrunners
22,"Johnston, Nic",Jr,DL,12,11,1.0,1.0,nan,nan,Turnover Margin,2013-14,UTSA Roadrunners
4,"Adams III, Crosby",Jr,DB,12,9,2.0,1.0,1.0,nan,Turnover Margin,2013-14,UTSA Roadrunners
5,"Armstrong, Brandon",Jr,RB,12,2,nan,nan,1.0,nan,Turnover Margin,2013-14,UTSA Roadrunners
8,"Soza, Eric",Sr,QB,12,12,nan,nan,1.0,11.0,Turnover Margin,2013-14,UTSA Roadrunners
94,"Brooks, Codie",Fr,DL,11,5,1.0,nan,nan,nan,Turnover Margin,2013-14,UTSA Roadrunners
29,"Williams, Jarveon",Fr,RB,11,0,nan,nan,2.0,nan,Turnover Margin,2013-14,UTSA Roadrunners
36,"Okotcha, Evans",Sr,RB,11,2,nan,nan,2.0,nan,Turnover Margin,2013-14,UTSA Roadrunners
8A,"Egwuagu, Michael",Fr,DB,10,0,1.0,1.0,nan,nan,Turnover Margin,2013-14,UTSA Roadrunners
3,"Berry, Cody",Sr,DB,10,1,nan,2.0,nan,nan,Turnover Margin,2013-14,UTSA Roadrunners
12,"Brewer, Michael",Jr,QB,13,13,nan,nan,3.0,15.0,Turnover Margin,2014-15,Virginia Tech Hokies
19,"Clark, Chuck",So,DB,13,11,nan,1.0,nan,nan,Turnover Margin,2014-15,Virginia Tech Hokies
95,"Williams, Nigel",So,DL,13,10,1.0,nan,nan,nan,Turnover Margin,2014-15,Virginia Tech Hokies
15,"Caleb, Joel",So,WR,13,0,nan,nan,1.0,nan,Turnover Margin,2014-15,Virginia Tech Hokies
11,"Fuller, Kendall",So,DB,13,13,1.0,2.0,nan,nan,Turnover Margin,2014-15,Virginia Tech Hokies
2,"Riley, Donovan",Jr,DB,13,7,1.0,2.0,nan,nan,Turnover Margin,2014-15,Virginia Tech Hokies
40,"Clarke, Deon",Jr,LB,13,13,1.0,1.0,nan,nan,Turnover Margin,2014-15,Virginia Tech Hokies
4,"Coleman, J.C.",Jr,RB,13,3,nan,nan,2.0,nan,Turnover Margin,2014-15,Virginia Tech Hokies
90,"Nicolas, Dadi",Sr,DL,13,13,1.0,nan,nan,nan,Turnover Margin,2014-15,Virginia Tech Hokies
34,"Jarrett, Kyshoen",Sr,DB,13,12,nan,3.0,nan,nan,Turnover Margin,2014-15,Virginia Tech Hokies
41,"Di Nardo, Derek",Sr,DB,13,5,2.0,1.0,nan,nan,Turnover Margin,2014-15,Virginia Tech Hokies
8,"Bonner, Detrick",Sr,DB,13,13,nan,1.0,nan,nan,Turnover Margin,2014-15,Virginia Tech Hokies
54,"Motuapuaka, Andrew",Fr,LB,12,4,1.0,nan,nan,nan,Turnover Margin,2014-15,Virginia Tech Hokies
20,"Newsome, Deon",Fr,WR,12,0,1.0,nan,1.0,nan,Turnover Margin,2014-15,Virginia Tech Hokies
96,"Marshall, Corey",Sr,DL,12,9,nan,1.0,nan,nan,Turnover Margin,2014-15,Virginia Tech Hokies
80,"Knowles, Demitri",Jr,WR,12,0,nan,nan,1.0,nan,Turnover Margin,2014-15,Virginia Tech Hokies
42,"Williams, Marshawn",Fr,RB,9,8,nan,nan,1.0,nan,Turnover Margin,2014-15,Virginia Tech Hokies
35,"McKinnon, Dahman",So,LB,6,0,1.0,nan,nan,nan,Turnover Margin,2014-15,Virginia Tech Hokies
18,"Renfro, Isaiah",Fr,WR,13,0,nan,nan,1.0,nan,Turnover Margin,2015-16,Washington Huskies
23,"Miller, Jordan",Fr,DB,13,0,nan,1.0,nan,nan,Turnover Margin,2015-16,Washington Huskies
81,"Lenius, Brayden",So,WR,13,6,nan,nan,1.0,nan,Turnover Margin,2015-16,Washington Huskies
24A,"Jones, Sidney",So,DB,13,13,2.0,4.0,nan,nan,Turnover Margin,2015-16,Washington Huskies
92,"Johnson, Jaylen",Fr,DL,13,1,1.0,nan,nan,nan,Turnover Margin,2015-16,Washington Huskies
3,"Gardenhire, Darren",So,DB,13,9,1.0,2.0,nan,nan,Turnover Margin,2015-16,Washington Huskies
36,"Victor, Azeem",So,LB,13,11,1.0,1.0,nan,nan,Turnover Margin,2015-16,Washington Huskies
7,"Bierria, Keishawn",So,LB,13,12,1.0,nan,nan,nan,Turnover Margin,2015-16,Washington Huskies
28,"Wooching, Psalm",Jr,LB,13,0,1.0,nan,nan,nan,Turnover Margin,2015-16,Washington Huskies
90,"Tupou, Taniela",Sr,DL,13,13,1.0,nan,nan,nan,Turnover Margin,2015-16,Washington Huskies
82,"Perkins, Joshua",Sr,TE,13,8,nan,nan,1.0,nan,Turnover Margin,2015-16,Washington Huskies
41,"Feeney, Travis",Sr,LB,13,12,1.0,nan,nan,nan,Turnover Margin,2015-16,Washington Huskies
3A,"Browning, Jake",Fr,QB,12,12,nan,nan,2.0,10.0,Turnover Margin,2015-16,Washington Huskies
14,"McIntosh, Jojo",Fr,DB,12,0,nan,1.0,nan,nan,Turnover Margin,2015-16,Washington Huskies
16,"Hall, Marvin",Sr,WR,12,2,nan,nan,1.0,nan,Turnover Margin,2015-16,Washington Huskies
32,"Baker, Budda",So,DB,12,12,nan,2.0,nan,nan,Turnover Margin,2015-16,Washington Huskies
5A,"Lindquist, Jeff",Jr,QB,12,0,nan,nan,1.0,nan,Turnover Margin,2015-16,Washington Huskies
20,"King, Kevin",Jr,DB,11,8,1.0,3.0,nan,nan,Turnover Margin,2015-16,Washington Huskies
5,"Mathis, Joe",Jr,DL,10,7,1.0,nan,nan,nan,Turnover Margin,2015-16,Washington Huskies
12,"Washington, Dwayne",Jr,RB,8,6,nan,nan,3.0,nan,Turnover Margin,2015-16,Washington Huskies
11,"Carta-Samuels, K.J.",Fr,QB,8,1,nan,nan,1.0,1.0,Turnover Margin,2015-16,Washington Huskies
4,"Falk, Luke",Jr,QB,13,13,nan,nan,2.0,11.0,Turnover Margin,2016-17,Washington St. Cougars
25,"Morrow, Jamal",Jr,RB,13,3,nan,nan,1.0,nan,Turnover Margin,2016-17,Washington St. Cougars
47,"Pelluer, Peyton",Jr,LB,13,13,2.0,nan,nan,nan,Turnover Margin,2016-17,Washington St. Cougars
0D,"White, Charleston",Jr,DB,13,1,nan,2.0,nan,nan,Turnover Margin,2016-17,Washington St. Cougars
23,"Wicks, Gerard",Jr,RB,13,12,1.0,nan,nan,nan,Turnover Margin,2016-17,Washington St. Cougars
51,"Luvu, Frankie",Jr,LB,13,8,1.0,nan,nan,nan,Turnover Margin,2016-17,Washington St. Cougars
27,"Pippins, Marcellus",Jr,DB,13,12,nan,2.0,nan,nan,Turnover Margin,2016-17,Washington St. Cougars
83,"Fossum, Kaleb",So,WR,13,0,nan,nan,1.0,nan,Turnover Margin,2016-17,Washington St. Cougars
16,"Broughton, Treshon",Sr,DB,13,1,nan,1.0,nan,nan,Turnover Margin,2016-17,Washington St. Cougars
34,"Thompson, Jalen",Fr,DB,13,13,1.0,nan,nan,nan,Turnover Margin,2016-17,Washington St. Cougars
54,"DeRider, Nate",Jr,LB,12,0,nan,1.0,nan,nan,Turnover Margin,2016-17,Washington St. Cougars
18,"Luani, Shalom",Sr,DB,12,12,nan,4.0,nan,nan,Turnover Margin,2016-17,Washington St. Cougars
31,"Dotson, Isaac",Jr,LB,12,9,2.0,2.0,nan,nan,Turnover Margin,2016-17,Washington St. Cougars
2,"Taylor, Robert",Jr,DB,12,9,3.0,nan,nan,nan,Turnover Margin,2016-17,Washington St. Cougars
92,"Barber, Robert",Sr,DL,10,8,1.0,nan,nan,nan,Turnover Margin,2016-17,Washington St. Cougars
8,"Allison, Jeremiah",Sr,LB,13,13,nan,1.0,nan,nan,Turnover Margin,2015-16,Washington St. Cougars
30,"Taliulu, Taylor",Sr,DB,13,13,nan,1.0,nan,nan,Turnover Margin,2015-16,Washington St. Cougars
9,"Marks, Gabe",Jr,WR,13,13,nan,nan,2.0,nan,Turnover Margin,2015-16,Washington St. Cougars
97,"Vaeao, Destiny",Sr,DL,13,13,1.0,nan,nan,nan,Turnover Margin,2015-16,Washington St. Cougars
29,"Henry, Parker",Jr,DB,13,7,nan,1.0,nan,nan,Turnover Margin,2015-16,Washington St. Cougars
47,"Pelluer, Peyton",So,LB,13,13,1.0,1.0,nan,nan,Turnover Margin,2015-16,Washington St. Cougars
23,"Wicks, Gerard",So,RB,13,10,nan,nan,2.0,nan,Turnover Margin,2015-16,Washington St. Cougars
27,"Pippins, Marcellus",So,DB,13,10,3.0,3.0,nan,nan,Turnover Margin,2015-16,Washington St. Cougars
54,"DeRider, Nate",So,LB,13,0,2.0,nan,nan,nan,Turnover Margin,2015-16,Washington St. Cougars
50,"Mata'afa, Hercules",Fr,DL,13,0,1.0,nan,nan,nan,Turnover Margin,2015-16,Washington St. Cougars
1,"Priester, Kyrin",Fr,WR,13,0,nan,nan,1.0,nan,Turnover Margin,2015-16,Washington St. Cougars
18,"Luani, Shalom",Jr,DB,13,13,1.0,4.0,1.0,nan,Turnover Margin,2015-16,Washington St. Cougars
24,"Harrington, Keith",Fr,RB,13,3,nan,nan,3.0,nan,Turnover Margin,2015-16,Washington St. Cougars
9E,"Charme, Zach",Fr,P,13,0,nan,nan,1.0,nan,Turnover Margin,2015-16,Washington St. Cougars
0D,"White, Charleston",So,DB,12,5,nan,1.0,nan,nan,Turnover Margin,2015-16,Washington St. Cougars
4,"Falk, Luke",So,QB,12,12,nan,nan,nan,8.0,Turnover Margin,2015-16,Washington St. Cougars
22,"Molton, Darrien",Fr,DB,11,11,1.0,1.0,nan,nan,Turnover Margin,2015-16,Washington St. Cougars
21,"Cracraft, River",Jr,WR,10,9,nan,nan,1.0,nan,Turnover Margin,2015-16,Washington St. Cougars
23,"Brooks, Leon",Sr,RB,13,0,nan,nan,1.0,nan,Turnover Margin,2013-14,Washington St. Cougars
43,"Laufasa, Jeremiah",So,RB,13,1,nan,nan,1.0,nan,Turnover Margin,2013-14,Washington St. Cougars
22,"Locker, Casey",Sr,DB,13,2,nan,1.0,nan,nan,Turnover Margin,2013-14,Washington St. Cougars
2,"Washington, Nolan",Sr,DB,13,10,1.0,1.0,nan,nan,Turnover Margin,2013-14,Washington St. Cougars
12,"Halliday, Connor",Jr,QB,13,13,nan,nan,1.0,22.0,Turnover Margin,2013-14,Washington St. Cougars
0I,"Cooper, Xavier",So,DL,13,13,2.0,nan,nan,nan,Turnover Margin,2013-14,Washington St. Cougars
95,"Gauta, Ioane",Sr,DL,13,12,1.0,nan,nan,nan,Turnover Margin,2013-14,Washington St. Cougars
9,"Marks, Gabe",So,WR,13,9,nan,nan,2.0,nan,Turnover Margin,2013-14,Washington St. Cougars
10,"Sagote, Justin",Sr,LB,13,13,2.0,nan,nan,nan,Turnover Margin,2013-14,Washington St. Cougars
1,"Mayle, Vince",Sr,WR,13,0,nan,nan,1.0,nan,Turnover Margin,2013-14,Washington St. Cougars
40,"Palacio, Kache",So,LB,13,6,1.0,nan,nan,nan,Turnover Margin,2013-14,Washington St. Cougars
34,"Caldwell, Teondray",So,RB,13,5,nan,nan,3.0,nan,Turnover Margin,2013-14,Washington St. Cougars
6,"Horton, Damante",Sr,DB,13,13,nan,5.0,nan,nan,Turnover Margin,2013-14,Washington St. Cougars
98,"Pole, Kalafitoni",Jr,DL,13,11,2.0,nan,nan,nan,Turnover Margin,2013-14,Washington St. Cougars
20,"Bucannon, Deone",Sr,DB,13,13,2.0,6.0,nan,nan,Turnover Margin,2013-14,Washington St. Cougars
8,"Allison, Jeremiah",So,LB,13,0,1.0,nan,nan,nan,Turnover Margin,2013-14,Washington St. Cougars
25,"Brown, Daquawn",Fr,DB,12,3,nan,2.0,nan,nan,Turnover Margin,2013-14,Washington St. Cougars
18,"Williams, Kristoff",Jr,WR,12,1,nan,nan,1.0,nan,Turnover Margin,2013-14,Washington St. Cougars
4,"Carpenter, Anthony",Sr,DB,11,0,nan,1.0,nan,nan,Turnover Margin,2013-14,Washington St. Cougars
17,"Apodaca, Austin",Fr,QB,11,0,nan,nan,nan,2.0,Turnover Margin,2013-14,Washington St. Cougars
30,"Taliulu, Taylor",So,DB,11,11,1.0,nan,nan,nan,Turnover Margin,2013-14,Washington St. Cougars
32A,"Cooper, Deontae",Sr,RB,14,2,nan,nan,1.0,nan,Turnover Margin,2014-15,Washington Huskies
7,"Thompson, Shaq",Jr,LB,14,13,4.0,1.0,nan,nan,Turnover Margin,2014-15,Washington Huskies
32,"Baker, Budda",Fr,DB,14,14,nan,1.0,nan,nan,Turnover Margin,2014-15,Washington Huskies
93,"Hudson, Andrew",Sr,DL,14,14,1.0,nan,nan,nan,Turnover Margin,2014-15,Washington Huskies
8,"Kikana, Hau'Oli",Sr,LB,14,14,1.0,nan,nan,nan,Turnover Margin,2014-15,Washington Huskies
19,"Campbell, Diandre",Sr,WR,14,12,nan,nan,1.0,nan,Turnover Margin,2014-15,Washington Huskies
41,"Feeney, Travis",Jr,LB,14,9,1.0,2.0,nan,nan,Turnover Margin,2014-15,Washington Huskies
55,"Shelton, Danny",Sr,DL,14,14,5.0,nan,nan,nan,Turnover Margin,2014-15,Washington Huskies
10,"Timu, John",Sr,LB,14,14,1.0,2.0,1.0,nan,Turnover Margin,2014-15,Washington Huskies
42,"Littleton, Cory",Jr,LB,14,4,1.0,nan,nan,nan,Turnover Margin,2014-15,Washington Huskies
1,"Ross, John",So,WR,13,7,nan,1.0,nan,nan,Turnover Margin,2014-15,Washington Huskies
12,"Washington, Dwayne",So,RB,13,7,nan,nan,1.0,nan,Turnover Margin,2014-15,Washington Huskies
24A,"Jones, Sidney",Fr,DB,13,12,1.0,2.0,nan,nan,Turnover Margin,2014-15,Washington Huskies
10A,"Miles, Cyler",So,QB,12,12,nan,nan,6.0,4.0,Turnover Margin,2014-15,Washington Huskies
20,"King, Kevin",So,DB,12,11,nan,1.0,nan,nan,Turnover Margin,2014-15,Washington Huskies
21,"Peters, Marcus",Jr,DB,9,7,nan,3.0,nan,nan,Turnover Margin,2014-15,Washington Huskies
23,"Miller, Jordan",So,DB,14,0,1.0,1.0,nan,nan,Turnover Margin,2016-17,Washington Huskies
25,"Burr-Kirven, Ben",So,LB,14,0,nan,1.0,nan,nan,Turnover Margin,2016-17,Washington Huskies
3A,"Browning, Jake",So,QB,14,14,nan,nan,2.0,9.0,Turnover Margin,2016-17,Washington Huskies
8,"Pettis, Dante",Jr,WR,14,11,nan,nan,1.0,nan,Turnover Margin,2016-17,Washington Huskies
26,"Jones, Sidney",Jr,DB,14,14,nan,3.0,nan,nan,Turnover Margin,2016-17,Washington Huskies
32,"Baker, Budda",Jr,DB,14,14,nan,2.0,nan,nan,Turnover Margin,2016-17,Washington Huskies
1,"Ross, John",Jr,WR,14,12,nan,nan,2.0,nan,Turnover Margin,2016-17,Washington Huskies
20,"King, Kevin",Sr,DB,14,14,nan,2.0,nan,nan,Turnover Margin,2016-17,Washington Huskies
22,"Coleman, Lavon",Jr,RB,14,1,2.0,nan,nan,nan,Turnover Margin,2016-17,Washington Huskies
7,"Bierria, Keishawn",Jr,LB,14,14,5.0,nan,nan,nan,Turnover Margin,2016-17,Washington Huskies
28,"Wooching, Psalm",Sr,LB,14,13,1.0,nan,nan,nan,Turnover Margin,2016-17,Washington Huskies
21A,"Rapp, Taylor",Fr,DB,14,8,nan,4.0,nan,nan,Turnover Margin,2016-17,Washington Huskies
24,"Turner, Ezekiel",Jr,DB,13,1,nan,1.0,nan,nan,Turnover Margin,2016-17,Washington Huskies
9,"Beaver, Brandon",Sr,DB,13,1,nan,1.0,nan,nan,Turnover Margin,2016-17,Washington Huskies
4,"Joyner, Austin",Fr,DB,12,0,nan,1.0,nan,nan,Turnover Margin,2016-17,Washington Huskies
15A,"Beavers, DJ",Fr,LB,12,3,1.0,1.0,nan,nan,Turnover Margin,2016-17,Washington Huskies
38,"Schuh, Hayden",Sr,DB,12,0,nan,nan,1.0,nan,Turnover Margin,2016-17,Washington Huskies
29,"O'Brien, Connor",Jr,LB,12,7,nan,1.0,nan,nan,Turnover Margin,2016-17,Washington Huskies
17,"Bartlett, Tevis",So,LB,12,0,1.0,nan,nan,nan,Turnover Margin,2016-17,Washington Huskies
3,"Gardenhire, Darren",Jr,DB,11,2,1.0,1.0,nan,nan,Turnover Margin,2016-17,Washington Huskies
42,"Littleton, Cory",So,LB,13,13,1.0,nan,nan,nan,Turnover Margin,2013-14,Washington Huskies
32,"Watson, Tre",Sr,DB,13,3,1.0,1.0,nan,nan,Turnover Margin,2013-14,Washington Huskies
7,"Thompson, Shaq",So,LB,13,12,nan,1.0,nan,nan,Turnover Margin,2013-14,Washington Huskies
4,"Mickens, Jaydon",So,WR,13,11,nan,nan,1.0,nan,Turnover Margin,2013-14,Washington Huskies
25,"Sankey, Bishop",Jr,RB,13,13,nan,nan,2.0,nan,Turnover Margin,2013-14,Washington Huskies
21,"Peters, Marcus",So,DB,13,12,2.0,5.0,nan,nan,Turnover Margin,2013-14,Washington Huskies
41,"Feeney, Travis",So,LB,13,3,1.0,nan,nan,nan,Turnover Margin,2013-14,Washington Huskies
1,"Parker, Sean",Sr,DB,13,13,nan,4.0,nan,nan,Turnover Margin,2013-14,Washington Huskies
18,"Ducre, Gregory",Sr,DB,13,13,nan,2.0,nan,nan,Turnover Margin,2013-14,Washington Huskies
12,"Washington, Dwayne",Fr,RB,13,0,nan,nan,2.0,nan,Turnover Margin,2013-14,Washington Huskies
10,"Timu, John",Jr,LB,12,11,nan,2.0,nan,nan,Turnover Margin,2013-14,Washington Huskies
88,"Seferian-Jenkins, Austin",Jr,TE,12,12,nan,nan,1.0,nan,Turnover Margin,2013-14,Washington Huskies
17,"Price, Keith",Sr,QB,12,12,nan,nan,1.0,6.0,Turnover Margin,2013-14,Washington Huskies
20,"King, Kevin",Fr,DB,10,1,1.0,nan,nan,nan,Turnover Margin,2013-14,Washington Huskies
3,"Wallace, Cleveland",So,DB,9,0,nan,1.0,nan,nan,Turnover Margin,2013-14,Washington Huskies
2,"Williams, Kasen",Jr,WR,8,8,nan,nan,1.0,nan,Turnover Margin,2013-14,Washington Huskies
6,"Hines, Tabari",Fr,WR,12,10,nan,nan,1.0,1.0,Turnover Margin,2015-16,Wake Forest Demon Deacons
9,"Dancel, Zach",Sr,DB,12,12,1.0,nan,nan,nan,Turnover Margin,2015-16,Wake Forest Demon Deacons
51,"Calhoun, Chris",Fr,DL,12,4,nan,1.0,nan,nan,Turnover Margin,2015-16,Wake Forest Demon Deacons
24,"Bell, Tyler",Fr,RB,12,6,nan,nan,1.0,nan,Turnover Margin,2015-16,Wake Forest Demon Deacons
34,"Kemp, Demetrius",Fr,DB,12,0,nan,1.0,nan,nan,Turnover Margin,2015-16,Wake Forest Demon Deacons
85,"Serigne, Cam",So,TE,12,11,nan,nan,nan,1.0,Turnover Margin,2015-16,Wake Forest Demon Deacons
25,"Watson, Brad",Jr,DB,12,12,nan,2.0,nan,nan,Turnover Margin,2015-16,Wake Forest Demon Deacons
28,"Matthews, Teddy",Jr,LB,12,0,1.0,nan,nan,nan,Turnover Margin,2015-16,Wake Forest Demon Deacons
30,"Williams, Hunter",Sr,LB,12,12,nan,1.0,nan,nan,Turnover Margin,2015-16,Wake Forest Demon Deacons
48,"Chubb, Brandon",Sr,LB,12,12,1.0,nan,nan,nan,Turnover Margin,2015-16,Wake Forest Demon Deacons
10,"Wolford, John",So,QB,11,10,nan,nan,1.0,11.0,Turnover Margin,2015-16,Wake Forest Demon Deacons
2C,"Colburn, Matt",Fr,RB,10,3,nan,nan,1.0,nan,Turnover Margin,2015-16,Wake Forest Demon Deacons
2,"Glenn, Cameron",Fr,DB,10,0,nan,1.0,nan,nan,Turnover Margin,2015-16,Wake Forest Demon Deacons
2H,"Hinton, Kendall",Fr,QB,9,3,nan,nan,2.0,5.0,Turnover Margin,2015-16,Wake Forest Demon Deacons
14,"Gibson, Dominique",So,RB,12,1,nan,nan,1.0,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
22,"Janvion, Ryan",Fr,DB,12,12,1.0,1.0,nan,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
48,"Chubb, Brandon",So,LB,12,12,nan,1.0,nan,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
10,"Price, Tanner",Sr,QB,12,12,nan,nan,2.0,10.0,Turnover Margin,2013-14,Wake Forest Demon Deacons
9,"Johnson, Kevin",Jr,DB,12,12,nan,3.0,nan,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
39,"Jackson, Justin",Sr,LB,12,12,1.0,1.0,nan,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
25,"Harris, Josh",Sr,RB,12,10,nan,nan,3.0,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
41,"Olson, Mike",Sr,LB,12,12,nan,1.0,nan,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
30,"Williams, Hunter",So,LB,11,9,2.0,nan,nan,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
7,"Noel, Merrill",Jr,DB,11,11,1.0,3.0,nan,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
2E,"Brown, Thomas",Fr,DB,11,0,1.0,nan,nan,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
11,"Wooding Jr., Anthony",Jr,DB,10,4,1.0,nan,nan,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
58,"Banks, Josh",Fr,DL,10,1,1.0,nan,nan,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
37,"Jones, Kevis",Fr,LB,8,0,nan,1.0,nan,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
20,"Wilhite, Josh",Fr,RB,8,0,nan,nan,1.0,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
17,"Marshall, A.J.",Sr,DB,8,7,nan,1.0,nan,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
3,"Campanaro, Michael",Sr,WR,8,8,nan,nan,1.0,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
99,"Looney, James",Fr,DL,7,1,1.0,nan,nan,nan,Turnover Margin,2013-14,Wake Forest Demon Deacons
10,"Wolford, John",Fr,QB,12,12,nan,nan,3.0,14.0,Turnover Margin,2014-15,Wake Forest Demon Deacons
9,"Johnson, Kevin",Sr,DB,12,12,1.0,1.0,nan,nan,Turnover Margin,2014-15,Wake Forest Demon Deacons
7,"Noel, Merrill",Sr,DB,12,12,nan,3.0,nan,nan,Turnover Margin,2014-15,Wake Forest Demon Deacons
35,"Allen, Zachary",Sr,LB,12,12,1.0,nan,nan,nan,Turnover Margin,2014-15,Wake Forest Demon Deacons
48,"Chubb, Brandon",Jr,LB,12,12,1.0,nan,nan,nan,Turnover Margin,2014-15,Wake Forest Demon Deacons
30,"Williams, Hunter",Jr,LB,12,11,2.0,1.0,nan,nan,Turnover Margin,2014-15,Wake Forest Demon Deacons
22,"Janvion, Ryan",So,DB,12,12,2.0,nan,nan,nan,Turnover Margin,2014-15,Wake Forest Demon Deacons
21,"Robinson, Isaiah",Fr,RB,12,1,nan,nan,1.0,nan,Turnover Margin,2014-15,Wake Forest Demon Deacons
25,"Watson, Brad",So,DB,12,0,1.0,nan,nan,nan,Turnover Margin,2014-15,Wake Forest Demon Deacons
88,"Crump, Jared",So,WR,12,11,nan,nan,2.0,nan,Turnover Margin,2014-15,Wake Forest Demon Deacons
40,"Banks, Josh",So,DL,12,12,1.0,1.0,nan,nan,Turnover Margin,2014-15,Wake Forest Demon Deacons
21,"Bassey, Essang",Fr,DB,13,2,1,nan,nan,nan,Turnover Margin,2016-17,Wake Forest Demon Deacons
25,"Watson, Brad",Sr,DB,13,13,nan,2,nan,nan,Turnover Margin,2016-17,Wake Forest Demon Deacons
24,"Okonye, Josh",Jr,DB,13,2,1,nan,nan,nan,Turnover Margin,2016-17,Wake Forest Demon Deacons
14,"Dunn, Wendell",Jr,DL,13,13,1,nan,nan,nan,Turnover Margin,2016-17,Wake Forest Demon Deacons
50,"Dawson, Grant",Jr,LB,13,3,nan,1,nan,nan,Turnover Margin,2016-17,Wake Forest Demon Deacons
53,"Ejiofor, Duke",Jr,DL,13,13,2,1,nan,nan,Turnover Margin,2016-17,Wake Forest Demon Deacons
32,"Argenzio, Charles",Sr,TE,13,2,1,nan,nan,nan,Turnover Margin,2016-17,Wake Forest Demon Deacons
9,"Wade, Chuck",So,WR,13,5,1,nan,nan,nan,Turnover Margin,2016-17,Wake Forest Demon Deacons
3,"Bates, Jessie",Fr,DB,13,11,nan,5,1.0,nan,Turnover Margin,2016-17,Wake Forest Demon Deacons
