Jersey,Player,Pos,Yr,GP,GS,Year,Team
48,"Moss, Shemar",DL,Fr,0,0,2016-17,Kent St. Golden Flashes
12M,"Murray, Najee",DB,Sr,11,10,2016-17,Kent St. Golden Flashes
63,"Nielsen, Alex",OL,Sr,3,0,2016-17,Kent St. Golden Flashes
61J,"Palumbo, Joey",OL,Fr,4,0,2016-17,Kent St. Golden Flashes
19J,"Parker, Jamal",DB,Fr,12,7,2016-17,Kent St. Golden Flashes
31,"Peters, Akeam",DB,Fr,12,1,2016-17,Kent St. Golden Flashes
6,"Pickett, Carlos",DB,Fr,6,0,2016-17,Kent St. Golden Flashes
84,"Price, Kavious",WR,Fr,10,2,2016-17,Kent St. Golden Flashes
52P,"Puthoff, Nathan",OL,Jr,6,6,2016-17,Kent St. Golden Flashes
11,"Rankin, Justin",RB,Fr,11,11,2016-17,Kent St. Golden Flashes
38,"Ray, Jae'Vante",DB,So,0,0,2016-17,Kent St. Golden Flashes
10,"Reardon, Colin",WR,Sr,10,0,2016-17,Kent St. Golden Flashes
54,"Reda, Reno",OL,Sr,12,12,2016-17,Kent St. Golden Flashes
36,"Redmond, Darius",LB,Sr,8,0,2016-17,Kent St. Golden Flashes
7D,"Refuge, Elcee",LB,Sr,12,1,2016-17,Kent St. Golden Flashes
10R,"Robinson Jr., Quan",DB,So,10,0,2016-17,Kent St. Golden Flashes
71,"Scott, Wayne",OL,Sr,12,12,2016-17,Kent St. Golden Flashes
35,"Seibert, Ryan",LB,Jr,10,0,2016-17,Kent St. Golden Flashes
59,"Shinsky, Connor",OL,So,12,12,2016-17,Kent St. Golden Flashes
2S,"Simpson, Erik",DB,So,10,0,2016-17,Kent St. Golden Flashes
6K,"Singleton, Keon",RB,Fr,1,0,2016-17,Kent St. Golden Flashes
61,"Smith, David",OL,Fr,0,0,2016-17,Kent St. Golden Flashes
33,"Sommers, Matthew",DL,Jr,12,0,2016-17,Kent St. Golden Flashes
86,"Tyson, Zaquon",WR,So,9,0,2016-17,Kent St. Golden Flashes
76,"Van Hoef, Chase",OL,Fr,9,0,2016-17,Kent St. Golden Flashes
60,"Wagner, Gage",OL,Fr,0,0,2016-17,Kent St. Golden Flashes
26,"Washington, Myles",RB,So,11,0,2016-17,Kent St. Golden Flashes
51,"Waugh, Terence",DL,Sr,12,12,2016-17,Kent St. Golden Flashes
3,"White, Kris",WR,Jr,1,1,2016-17,Kent St. Golden Flashes
90W,"Williams, Grant",OL,Fr,3,0,2016-17,Kent St. Golden Flashes
83,"Williams, Brant",WR,Fr,0,0,2016-17,Kent St. Golden Flashes
73,"Witucki, Jake",OL,Sr,3,0,2016-17,Kent St. Golden Flashes
80W,"Woods, Johnny",WR,So,11,5,2016-17,Kent St. Golden Flashes
41,"Allen, Josh",LB,Fr,12,0,2015-16,Kentucky  Wildcats
64,"Asafo-Adjei, George",OL,Fr,11,3,2015-16,Kentucky  Wildcats
13,"Badet, Jeff",WR,So,12,10,2015-16,Kentucky  Wildcats
29,"Baity, Derrick",DB,Fr,12,4,2015-16,Kentucky  Wildcats
2,"Baker, Dorian",WR,So,12,12,2015-16,Kentucky  Wildcats
7,"Barker, Drew",QB,Fr,5,2,2015-16,Kentucky  Wildcats
39,"Barnett, Elijah",LB,Fr,0,0,2015-16,Kentucky  Wildcats
55,"Baumer, David",OL,Fr,1,0,2015-16,Kentucky  Wildcats
28,"Beckham, Kei",DB,Fr,0,0,2015-16,Kentucky  Wildcats
92,"Bell, Alvonte",DL,Fr,0,0,2015-16,Kentucky  Wildcats
53,"Best, Blake",OL,Fr,0,0,2015-16,Kentucky  Wildcats
7A,"Blaylock, Daron",DB,Sr,11,0,2015-16,Kentucky  Wildcats
1E,"Blaylock, Zack",DB,Jr,1,0,2015-16,Kentucky  Wildcats
43,"Blue, Logan",LB,Fr,0,0,2015-16,Kentucky  Wildcats
6,"Bone, Blake",WR,So,11,1,2015-16,Kentucky  Wildcats
31,"Bouvier, David",WR,So,0,0,2015-16,Kentucky  Wildcats
3C,"Brown, Eli",LB,Fr,0,0,2015-16,Kentucky  Wildcats
38,"Brownell, Alex",LB,Fr,0,0,2015-16,Kentucky  Wildcats
95,"Butler, Miles",K,So,5,0,2015-16,Kentucky  Wildcats
48,"Collins, Will Thomas",RB,Jr,12,2,2015-16,Kentucky  Wildcats
87,"Conrad, C.J.",TE,Fr,12,9,2015-16,Kentucky  Wildcats
2A,"Daniel, Kengera",DL,Fr,3,0,2015-16,Kentucky  Wildcats
98,"Dubose, Tymere",DL,So,4,0,2015-16,Kentucky  Wildcats
27,"Edwards, Mike",DB,Fr,12,5,2015-16,Kentucky  Wildcats
69,"Elam, Matt",DL,So,12,9,2015-16,Kentucky  Wildcats
49,"Fink, Tanner",TE,Jr,2,0,2015-16,Kentucky  Wildcats
40,"Firios, Nico",LB,So,3,0,2015-16,Kentucky  Wildcats
33,"Flannigan, Ryan",LB,Sr,9,7,2015-16,Kentucky  Wildcats
45,"Forrest, Josh",LB,Sr,12,12,2015-16,Kentucky  Wildcats
9A,"Foster, Landon",P,Sr,12,0,2015-16,Kentucky  Wildcats
62,"Greenberg, Dylan",OL,So,0,0,2015-16,Kentucky  Wildcats
8,"Greenwood, Jabari",WR,Fr,0,0,2015-16,Kentucky  Wildcats
1B,"Harmon, J.D.",DB,Jr,12,0,2015-16,Kentucky  Wildcats
6A,"Hatcher, Jason",DL,Jr,0,0,2015-16,Kentucky  Wildcats
68,"Haynes, Nick",OL,So,11,10,2015-16,Kentucky  Wildcats
22,"Henderson, Khalid",LB,Sr,11,5,2015-16,Kentucky  Wildcats
19,"Herrick, Joey",WR,Sr,9,0,2015-16,Kentucky  Wildcats
4,"Horton, Mikel",RB,So,12,2,2015-16,Kentucky  Wildcats
91,"Huguenin, Farrington",DL,Sr,12,12,2015-16,Kentucky  Wildcats
36,"Hyde, Jacob",DL,So,4,0,2015-16,Kentucky  Wildcats
26,"Jackson, Will",DB,Fr,0,0,2015-16,Kentucky  Wildcats
3B,"Jennings, Darien",DB,Fr,0,0,2015-16,Kentucky  Wildcats
46,"John, Connor",LB,Fr,0,0,2015-16,Kentucky  Wildcats
47,"Johnson, Jabari",LB,Sr,12,3,2015-16,Kentucky  Wildcats
9,"Johnson, Garrett",WR,So,12,11,2015-16,Kentucky  Wildcats
67,"Johnson, Cory",DL,Sr,12,9,2015-16,Kentucky  Wildcats
34,"Jones, Jordan",nan,nan,8,0,2015-16,Kentucky  Wildcats
3,"Kemp, Jojo",RB,Jr,12,1,2015-16,Kentucky  Wildcats
20,"Kendall, Ryan",nan,nan,2,0,2015-16,Kentucky  Wildcats
22,"King, Sihiem",nan,nan,12,0,2015-16,Kentucky  Wildcats
93,"Kirsche, Bryan",P,So,1,0,2015-16,Kentucky  Wildcats
6B,"LaRubbio, Jarrett",OL,So,0,0,2015-16,Kentucky  Wildcats
90,"Lewis, Melvin",DL,Sr,6,4,2015-16,Kentucky  Wildcats
86,"Long, Darryl",TE,Fr,7,0,2015-16,Kentucky  Wildcats
99,"MacGinnis, Austin",K,So,10,0,2015-16,Kentucky  Wildcats
32,"Mahone, William",RB,So,0,0,2015-16,Kentucky  Wildcats
59,"Mason, Kelly",OL,Sr,12,0,2015-16,Kentucky  Wildcats
1F,"Mattingly, Davis",QB,Fr,0,0,2015-16,Kentucky  Wildcats
24,"McClain, Blake",DB,Jr,12,7,2015-16,Kentucky  Wildcats
15,"McWilson, Marcus",DB,Jr,11,8,2015-16,Kentucky  Wildcats
73,"Meadows, Kyle",OL,So,11,9,2015-16,Kentucky  Wildcats
96,"Meant, Reggie",DL,So,10,4,2015-16,Kentucky  Wildcats
6C,"Meyers, Ramsey",OL,So,7,5,2015-16,Kentucky  Wildcats
9B,"Middleton, Adrian",DL,Fr,4,0,2015-16,Kentucky  Wildcats
94,"Miggins, Courtney",DL,Jr,11,0,2015-16,Kentucky  Wildcats
17,"Montgomery, Alexander",WR,Jr,8,0,2015-16,Kentucky  Wildcats
74,"Mosier, Cole",OL,So,11,1,2015-16,Kentucky  Wildcats
57,"Myers, Zach",OL,Jr,12,0,2015-16,Kentucky  Wildcats
12,"Phillips, Reese",QB,So,7,0,2015-16,Kentucky  Wildcats
16,"Quinn, Cody",DB,Sr,10,8,2015-16,Kentucky  Wildcats
5,"Randolph, Kendall",DB,So,9,0,2015-16,Kentucky  Wildcats
11,"Richardson, Tavin",WR,Fr,2,0,2015-16,Kentucky  Wildcats
61,"Salyer, Tristen",OL,Fr,0,0,2015-16,Kentucky  Wildcats
56,"Simpson, Sullivan",OL,Fr,0,0,2015-16,Kentucky  Wildcats
10,"Snodgrass, Thaddeus",WR,Fr,2,0,2015-16,Kentucky  Wildcats
65,"Stallings, Jervontius",OL,So,3,0,2015-16,Kentucky  Wildcats
1A,"Stamps, A.J.",DB,Sr,12,10,2015-16,Kentucky  Wildcats
71,"Stenberg, Logan",OL,Fr,0,0,2015-16,Kentucky  Wildcats
70,"Swindle, Jordan",OL,Sr,11,11,2015-16,Kentucky  Wildcats
60,"Taylor Jr., Calvin",OL,Fr,0,0,2015-16,Kentucky  Wildcats
3A,"Tiller, Fred",DB,Sr,7,0,2015-16,Kentucky  Wildcats
1,"Timmons, Ryan",WR,Jr,12,1,2015-16,Kentucky  Wildcats
72,"Toth, Jon",OL,Jr,12,12,2015-16,Kentucky  Wildcats
14,"Towles, Patrick",QB,Jr,11,10,2015-16,Kentucky  Wildcats
23,"Tucker, Jared",DB,Fr,0,0,2015-16,Kentucky  Wildcats
4A,"Walker, Marcus",WR,Fr,0,0,2015-16,Kentucky  Wildcats
80,"Walker, C.J.",WR,Fr,0,0,2015-16,Kentucky  Wildcats
88,"Walker, Charles",WR,So,12,1,2015-16,Kentucky  Wildcats
8A,"Walker, Kobie",LB,So,0,0,2015-16,Kentucky  Wildcats
35,"Ware, Denzil",DL,So,12,11,2015-16,Kentucky  Wildcats
75,"West, Zach",OL,Sr,11,2,2015-16,Kentucky  Wildcats
25,"West, Darius",nan,nan,10,0,2015-16,Kentucky  Wildcats
21,"Westry, Chris",DB,Fr,12,12,2015-16,Kentucky  Wildcats
82,"Williams, T.V.",WR,So,4,0,2015-16,Kentucky  Wildcats
18,"Williams, Stanley",RB,So,10,10,2015-16,Kentucky  Wildcats
78,"Williams, Zane",DL,Jr,0,0,2015-16,Kentucky  Wildcats
77,"Wolfe, Mason",OL,Fr,0,0,2015-16,Kentucky  Wildcats
44,"Aumiller, Grant",LB,Sr,0,0,2014-15,Kentucky  Wildcats
13,"Badet, Jeff",WR,So,1,0,2014-15,Kentucky  Wildcats
2,"Baker, Dorian",WR,Fr,10,3,2014-15,Kentucky  Wildcats
7,"Barker, Drew",QB,Fr,0,0,2014-15,Kentucky  Wildcats
5B,"Baumer, David",OL,Fr,0,0,2014-15,Kentucky  Wildcats
7A,"Blaylock, Daron",DB,Jr,10,0,2014-15,Kentucky  Wildcats
1F,"Blaylock, Zack",DB,So,1,0,2014-15,Kentucky  Wildcats
8,"Blue, Javess",WR,Sr,11,10,2014-15,Kentucky  Wildcats
43,"Blue, Logan",LB,Fr,0,0,2014-15,Kentucky  Wildcats
6,"Bone, Blake",WR,Fr,11,0,2014-15,Kentucky  Wildcats
85,"Borden, Steven",TE,Sr,10,5,2014-15,Kentucky  Wildcats
31,"Bouvier, David",WR,Fr,1,0,2014-15,Kentucky  Wildcats
1B,"Brause, Tyler",LB,Sr,10,0,2014-15,Kentucky  Wildcats
95,"Butler, Miles",K,Fr,0,0,2014-15,Kentucky  Wildcats
21,"Clemons, Josh",RB,Jr,9,0,2014-15,Kentucky  Wildcats
92,"Coleman, Christian",DL,Sr,4,0,2014-15,Kentucky  Wildcats
2C,"Cox, Rodney",DB,Jr,0,0,2014-15,Kentucky  Wildcats
81,"Cunningham, Rashad",WR,Jr,6,0,2014-15,Kentucky  Wildcats
28,"Dixon, Eric",DB,Sr,12,0,2014-15,Kentucky  Wildcats
50,"Douglas, Mike",DL,Sr,12,12,2014-15,Kentucky  Wildcats
98,"Dubose, Tymere",DL,Fr,0,0,2014-15,Kentucky  Wildcats
26,"Dunn, Tre",LB,Sr,0,0,2014-15,Kentucky  Wildcats
2A,"Dupree, Alvin",DL,Sr,12,12,2014-15,Kentucky  Wildcats
76,"Eatmon-Nared, Teven",OL,Sr,3,0,2014-15,Kentucky  Wildcats
69,"Elam, Matt",DL,Fr,12,2,2014-15,Kentucky  Wildcats
1G,"Faulkner, Glenn",DB,Jr,10,0,2014-15,Kentucky  Wildcats
30,"Fields, Rhomel",DB,Fr,0,0,2014-15,Kentucky  Wildcats
40,"Firios, Nico",LB,Fr,0,0,2014-15,Kentucky  Wildcats
33,"Flannigan, Ryan",LB,Jr,12,4,2014-15,Kentucky  Wildcats
83,"Fogle, Cameron",WR,So,0,0,2014-15,Kentucky  Wildcats
45,"Forrest, Josh",LB,Jr,12,12,2014-15,Kentucky  Wildcats
9A,"Foster, Landon",P,Jr,12,0,2014-15,Kentucky  Wildcats
64,"Godby, Max",OL,Sr,12,0,2014-15,Kentucky  Wildcats
62,"Greenberg, Dylan",OL,Fr,0,0,2014-15,Kentucky  Wildcats
71,"Gruenschlaeger, Jack",OL,Jr,0,0,2014-15,Kentucky  Wildcats
1C,"Harmon, J.D.",DB,So,12,0,2014-15,Kentucky  Wildcats
6A,"Hatcher, Jason",DL,So,0,0,2014-15,Kentucky  Wildcats
68,"Haynes, Nick",OL,Fr,10,1,2014-15,Kentucky  Wildcats
5,"Heard, Braylon",RB,Jr,11,10,2014-15,Kentucky  Wildcats
22,"Henderson, Khalid",LB,Jr,12,8,2014-15,Kentucky  Wildcats
1E,"Hendrix, Dorian",LB,Fr,0,0,2014-15,Kentucky  Wildcats
87,"Herrick, Joey",WR,Jr,12,6,2014-15,Kentucky  Wildcats
4,"Horton, Mikel",RB,Fr,12,0,2014-15,Kentucky  Wildcats
56,"Howard, Matt",OL,Fr,0,0,2014-15,Kentucky  Wildcats
91,"Huguenin, Farrington",DL,Jr,12,0,2014-15,Kentucky  Wildcats
66,"Hyde, Jacob",DL,Fr,1,0,2014-15,Kentucky  Wildcats
1H,"Hytchye, Jaleel",DB,So,1,0,2014-15,Kentucky  Wildcats
47,"Johnson, Jabari",LB,Jr,12,2,2014-15,Kentucky  Wildcats
67,"Johnson, Cory",DL,Jr,12,0,2014-15,Kentucky  Wildcats
19,"Johnson, Garrett",WR,Fr,12,2,2014-15,Kentucky  Wildcats
34,"Kazunas, Thaddeus",TE,Fr,0,0,2014-15,Kentucky  Wildcats
3,"Kemp, Jojo",RB,So,11,1,2014-15,Kentucky  Wildcats
93,"Kirsche, Bryan",P,Fr,0,0,2014-15,Kentucky  Wildcats
79,"Krok, Josh",OL,Fr,1,1,2014-15,Kentucky  Wildcats
6B,"LaRubbio, Jarrett",OL,Fr,0,0,2014-15,Kentucky  Wildcats
1D,"Leet, Jared",WR,Jr,11,0,2014-15,Kentucky  Wildcats
90,"Lewis, Melvin",DL,Jr,12,12,2014-15,Kentucky  Wildcats
86,"Long, Darryl",TE,Fr,0,0,2014-15,Kentucky  Wildcats
5A,"Lowery, Ashely",DB,Sr,12,7,2014-15,Kentucky  Wildcats
99,"MacGinnis, Austin",K,Fr,12,0,2014-15,Kentucky  Wildcats
32,"Mahone, William",RB,Fr,0,0,2014-15,Kentucky  Wildcats
59,"Mason, Kelly",OL,Jr,12,0,2014-15,Kentucky  Wildcats
24,"McClain, Blake",DB,So,11,7,2014-15,Kentucky  Wildcats
35,"McCray, Jerry",DB,So,0,0,2014-15,Kentucky  Wildcats
15,"McWilson, Marcus",DB,So,12,2,2014-15,Kentucky  Wildcats
73,"Meadows, Kyle",OL,Fr,7,1,2014-15,Kentucky  Wildcats
96,"Meant, Reggie",DL,Fr,11,0,2014-15,Kentucky  Wildcats
6C,"Meyers, Ramsey",OL,Fr,11,10,2014-15,Kentucky  Wildcats
5C,"Middleton, Adrian",DL,Fr,1,0,2014-15,Kentucky  Wildcats
77,"Miller, Darrian",OL,Sr,11,10,2014-15,Kentucky  Wildcats
17,"Montgomery, Alexander",WR,So,0,0,2014-15,Kentucky  Wildcats
74,"Mosier, Cole",OL,Fr,11,2,2014-15,Kentucky  Wildcats
57,"Myers, Zach",OL,So,2,0,2014-15,Kentucky  Wildcats
41,"Paschal, Travaughn",LB,Sr,12,0,2014-15,Kentucky  Wildcats
12,"Phillips, Reese",QB,Fr,3,0,2014-15,Kentucky  Wildcats
89,"Pilch, Conor",WR,Fr,0,0,2014-15,Kentucky  Wildcats
16,"Quinn, Cody",DB,Jr,12,12,2014-15,Kentucky  Wildcats
29,"Randolph, Kendall",DB,Fr,12,0,2014-15,Kentucky  Wildcats
7B,"Richardson, Nick",OL,Fr,0,0,2014-15,Kentucky  Wildcats
9,"Robinson, Demarco",WR,Sr,12,12,2014-15,Kentucky  Wildcats
80,"Shields, Ronnie",TE,Sr,10,2,2014-15,Kentucky  Wildcats
94,"Smith, Za'Darius",DL,Sr,12,12,2014-15,Kentucky  Wildcats
11,"Smith, Maxwell",QB,Jr,0,0,2014-15,Kentucky  Wildcats
10,"Snodgrass, Thaddeus",WR,Fr,1,0,2014-15,Kentucky  Wildcats
65,"Stallings, Jervontius",OL,Fr,0,0,2014-15,Kentucky  Wildcats
1A,"Stamps, A.J.",DB,Jr,12,12,2014-15,Kentucky  Wildcats
70,"Swindle, Jordan",OL,Jr,12,12,2014-15,Kentucky  Wildcats
84,"Thompson, Miles",WR,Fr,1,0,2014-15,Kentucky  Wildcats
3A,"Tiller, Fred",DB,Jr,12,12,2014-15,Kentucky  Wildcats
1,"Timmons, Ryan",WR,So,12,8,2014-15,Kentucky  Wildcats
72,"Toth, Jon",OL,So,12,12,2014-15,Kentucky  Wildcats
14,"Towles, Patrick",QB,So,12,12,2014-15,Kentucky  Wildcats
9B,"Tubman, Lloyd",DL,Fr,0,0,2014-15,Kentucky  Wildcats
23,"Tucker, Jared",DB,Fr,0,0,2014-15,Kentucky  Wildcats
3B,"Wakefield, Keron",DB,Fr,1,0,2014-15,Kentucky  Wildcats
88,"Walker, Charles",WR,Fr,12,0,2014-15,Kentucky  Wildcats
8A,"Walker, Kobie",LB,Fr,0,0,2014-15,Kentucky  Wildcats
55,"Ware, Denzil",DL,Fr,0,0,2014-15,Kentucky  Wildcats
39,"Warren, D.J.",RB,Sr,12,0,2014-15,Kentucky  Wildcats
75,"West, Zach",OL,Jr,9,9,2014-15,Kentucky  Wildcats
82,"Williams, T.V.",WR,Fr,5,0,2014-15,Kentucky  Wildcats
18,"Williams, Stanley",RB,Fr,10,1,2014-15,Kentucky  Wildcats
78,"Williams, Zane",DL,So,0,0,2014-15,Kentucky  Wildcats
2B,"Willis, Nate",DB,Sr,12,0,2014-15,Kentucky  Wildcats
46,"Witthuhn, Jeff",RB,So,7,0,2014-15,Kentucky  Wildcats
41,"Allen, Josh",LB,So,13,9,2016-17,Kentucky  Wildcats
64,"Asafo-Adjei, George",OL,So,12,0,2016-17,Kentucky  Wildcats
13,"Badet, Jeff",WR,Jr,13,13,2016-17,Kentucky  Wildcats
29,"Baity, Derrick",DB,So,13,13,2016-17,Kentucky  Wildcats
2,"Baker, Dorian",WR,Jr,10,8,2016-17,Kentucky  Wildcats
45,"Bannerman, Jaylin",LB,Fr,1,0,2016-17,Kentucky  Wildcats
7,"Barker, Drew",QB,So,3,3,2016-17,Kentucky  Wildcats
39,"Barnett, Elijah",LB,Fr,0,0,2016-17,Kentucky  Wildcats
55,"Baumer, David",OL,So,0,0,2016-17,Kentucky  Wildcats
28,"Beckham, Kei",DB,Fr,1,0,2016-17,Kentucky  Wildcats
92,"Bell, Alvonte",DL,Jr,12,4,2016-17,Kentucky  Wildcats
8,"Berezowitz, Bryan",WR,Fr,1,0,2016-17,Kentucky  Wildcats
23,"Berezowitz, Brayden",WR,Fr,0,0,2016-17,Kentucky  Wildcats
53,"Best, Blake",OL,So,9,0,2016-17,Kentucky  Wildcats
43,"Blue, Logan",LB,So,0,0,2016-17,Kentucky  Wildcats
6,"Bone, Blake",WR,Jr,11,0,2016-17,Kentucky  Wildcats
47,"Bonner, Jordan",LB,So,11,0,2016-17,Kentucky  Wildcats
31,"Bouvier, David",WR,So,2,0,2016-17,Kentucky  Wildcats
3R,"Brown, Isaiah",DB,Fr,1,0,2016-17,Kentucky  Wildcats
3B,"Brown, Eli",LB,Fr,12,0,2016-17,Kentucky  Wildcats
38,"Brownell, Alex",LB,Fr,0,0,2016-17,Kentucky  Wildcats
95,"Butler, Miles",K,So,0,0,2016-17,Kentucky  Wildcats
90,"Carter, T.J.",DL,Fr,11,1,2016-17,Kentucky  Wildcats
48,"Collins, Will Thomas",RB,Sr,3,0,2016-17,Kentucky  Wildcats
87,"Conrad, C.J.",TE,So,13,11,2016-17,Kentucky  Wildcats
9C,"Cross, Ja'Quize",DL,Fr,0,0,2016-17,Kentucky  Wildcats
56,"Daniel, Kash",DB,Fr,13,0,2016-17,Kentucky  Wildcats
2D,"Daniel, Kengera",DL,So,8,0,2016-17,Kentucky  Wildcats
98,"Dubose, Tymere",DL,So,10,0,2016-17,Kentucky  Wildcats
27,"Edwards, Mike",DB,So,13,13,2016-17,Kentucky  Wildcats
69,"Elam, Matt",DL,Jr,10,6,2016-17,Kentucky  Wildcats
49,"Fink, Tanner",TE,Sr,10,0,2016-17,Kentucky  Wildcats
40,"Firios, Nico",LB,So,13,0,2016-17,Kentucky  Wildcats
79,"Fortner, Luke",OL,Fr,0,0,2016-17,Kentucky  Wildcats
37,"Foy, Spencer",LB,So,0,0,2016-17,Kentucky  Wildcats
1G,"Gilliam, Tobias",DB,Fr,0,0,2016-17,Kentucky  Wildcats
62,"Greenberg, Dylan",OL,Jr,0,0,2016-17,Kentucky  Wildcats
82,"Greenwood, Jabari",WR,Fr,5,0,2016-17,Kentucky  Wildcats
3G,"Griffin, Jordan",DB,Fr,8,0,2016-17,Kentucky  Wildcats
11,"Harmon, J.D.",DB,Sr,13,0,2016-17,Kentucky  Wildcats
85,"Hart, Greg",TE,Jr,12,1,2016-17,Kentucky  Wildcats
68,"Haynes, Nick",OL,Jr,13,13,2016-17,Kentucky  Wildcats
12,"Hoak, Gunnar",QB,Fr,0,0,2016-17,Kentucky  Wildcats
81,"Holtzclaw, Dakota",WR,Fr,1,0,2016-17,Kentucky  Wildcats
4,"Horton, Mikel",RB,Jr,3,0,2016-17,Kentucky  Wildcats
89,"Hughes, Zy'Aire",WR,Fr,0,0,2016-17,Kentucky  Wildcats
36,"Hyde, Jacob",DL,Jr,11,0,2016-17,Kentucky  Wildcats
52,"Jackson, Drake",OL,Fr,0,0,2016-17,Kentucky  Wildcats
2A,"Jackson, Jack",DB,Fr,0,0,2016-17,Kentucky  Wildcats
15,"Johnson, Stephen",QB,Jr,12,9,2016-17,Kentucky  Wildcats
9,"Johnson, Garrett",WR,Jr,13,9,2016-17,Kentucky  Wildcats
34,"Jones, Jordan",LB,So,13,13,2016-17,Kentucky  Wildcats
3,"Kemp, Jojo",RB,Sr,10,2,2016-17,Kentucky  Wildcats
20,"Kendall, Ryan",WR,So,1,0,2016-17,Kentucky  Wildcats
22,"King, Sihiem",RB,So,13,0,2016-17,Kentucky  Wildcats
93,"Kirsche, Bryan",P,So,0,0,2016-17,Kentucky  Wildcats
44,"Laster, De'Niro",LB,Jr,5,0,2016-17,Kentucky  Wildcats
75,"Leavitt, Tate",OL,Jr,0,0,2016-17,Kentucky  Wildcats
59,"Looney, Kordell",DL,Fr,0,0,2016-17,Kentucky  Wildcats
51,"Love, Courtney",LB,Jr,13,13,2016-17,Kentucky  Wildcats
99,"MacGinnis, Austin",K,Jr,13,1,2016-17,Kentucky  Wildcats
32,"Mahone, William",RB,Jr,3,0,2016-17,Kentucky  Wildcats
16,"Mattingly, Davis",QB,Fr,4,0,2016-17,Kentucky  Wildcats
24,"McClain, Blake",DB,Sr,13,11,2016-17,Kentucky  Wildcats
86,"McKinniss, Grant",P,Fr,13,0,2016-17,Kentucky  Wildcats
1M,"McWilson, Marcus",DB,Sr,13,3,2016-17,Kentucky  Wildcats
73,"Meadows, Kyle",OL,Jr,13,13,2016-17,Kentucky  Wildcats
6M,"Meyers, Ramsey",OL,Jr,12,3,2016-17,Kentucky  Wildcats
9M,"Middleton, Adrian",DL,So,13,11,2016-17,Kentucky  Wildcats
94,"Miggins, Courtney",DL,Sr,13,13,2016-17,Kentucky  Wildcats
17,"Montgomery, Alexander",WR,Jr,0,0,2016-17,Kentucky  Wildcats
74,"Mosier, Cole",OL,Jr,10,10,2016-17,Kentucky  Wildcats
84,"Moushey, Charles",WR,Jr,6,0,2016-17,Kentucky  Wildcats
57,"Myers, Zach",OL,Sr,12,0,2016-17,Kentucky  Wildcats
91,"Pack, Tyler",K,Fr,0,0,2016-17,Kentucky  Wildcats
54,"Piatt, Colton",OL,Fr,0,0,2016-17,Kentucky  Wildcats
77,"Pringle, Naquez",DL,Jr,12,5,2016-17,Kentucky  Wildcats
63,"Purdom, Wells",OL,Fr,0,0,2016-17,Kentucky  Wildcats
5,"Randolph, Kendall",DB,Jr,11,0,2016-17,Kentucky  Wildcats
80,"Richardson, Tavin",WR,Fr,13,4,2016-17,Kentucky  Wildcats
83,"Rigg, Justin",TE,Fr,2,0,2016-17,Kentucky  Wildcats
9R,"Robinson, Davonte",DB,Fr,0,0,2016-17,Kentucky  Wildcats
30,"Robinson, Marvin",WR,Fr,0,0,2016-17,Kentucky  Wildcats
10,"Rose, Asim",RB,Fr,0,0,2016-17,Kentucky  Wildcats
19,"Ross, Kayaune",WR,So,6,0,2016-17,Kentucky  Wildcats
61,"Salyer, Tristen",OL,Fr,0,0,2016-17,Kentucky  Wildcats
3S,"Sauder, Jake",TE,Fr,0,0,2016-17,Kentucky  Wildcats
46,"Schlegel, Drew",LB,Fr,0,0,2016-17,Kentucky  Wildcats
2S,"Smith, Casius",DB,Fr,0,0,2016-17,Kentucky  Wildcats
42,"Smith, Kynan",WR,Fr,3,0,2016-17,Kentucky  Wildcats
26,"Snell, Benny",RB,Fr,13,1,2016-17,Kentucky  Wildcats
65,"Stallings, Jervontius",OL,So,12,8,2016-17,Kentucky  Wildcats
71,"Stenberg, Logan",OL,Fr,12,0,2016-17,Kentucky  Wildcats
60,"Taylor Jr., Calvin",OL,Fr,3,0,2016-17,Kentucky  Wildcats
1,"Timmons, Ryan",WR,Sr,13,4,2016-17,Kentucky  Wildcats
72,"Toth, Jon",OL,Sr,13,13,2016-17,Kentucky  Wildcats
33,"Walder, Roland",LB,Fr,0,0,2016-17,Kentucky  Wildcats
88,"Walker, Charles",WR,Jr,13,0,2016-17,Kentucky  Wildcats
8W,"Walker, Kobie",LB,So,3,2,2016-17,Kentucky  Wildcats
1W,"Walker, Marcus",WR,Fr,8,0,2016-17,Kentucky  Wildcats
35,"Ware, Denzil",DL,So,13,13,2016-17,Kentucky  Wildcats
3W,"Watson, Jamar",LB,Fr,0,0,2016-17,Kentucky  Wildcats
25,"West, Darius",DB,So,2,0,2016-17,Kentucky  Wildcats
21,"Westry, Chris",DB,So,13,13,2016-17,Kentucky  Wildcats
78,"Williams, Zane",DL,Sr,1,0,2016-17,Kentucky  Wildcats
18,"Williams, Stanley",RB,Jr,13,11,2016-17,Kentucky  Wildcats
7W,"Wolfe, Mason",OL,Fr,1,0,2016-17,Kentucky  Wildcats
14,"Wright, Luke",QB,So,2,1,2016-17,Kentucky  Wildcats
4Y,"Yeomans, Tristan",OL,So,12,0,2016-17,Kentucky  Wildcats
67,"Young, Landon",OL,Fr,11,3,2016-17,Kentucky  Wildcats
53,"Adolph, Matthew",OL,Jr,1,0,2013-14,Kentucky  Wildcats
86,"Aumiller, Jordan",TE,Sr,12,11,2013-14,Kentucky  Wildcats
