Date,Opponent,Result,G,TDs,KickPAT,PATAtt,RushPAT,Ru2PTAtt,ReceivingPAT,Pass2PtConv,Pass2PTAtt,KickReturnPAT,FumbRetPAT,FG,Safeties,Points,Team,OffenseDefense
11/26/2016,@ New Mexico St.,W 37 - 7,1/,1,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,Appalachian St. Mountaineers,Defense
12/17/2016,"Toledo @ Montgomery, AL",W 31 - 28,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,1,nan,31,Appalachian St. Mountaineers,Offense
12/17/2016,"Toledo @ Montgomery, AL",W 31 - 28,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,28,Appalachian St. Mountaineers,Defense
08/30/2014,@ Michigan,L 14 - 52,1/,2,2,2,nan,nan,nan,,nan,nan,nan,nan,nan,14,Appalachian St. Mountaineers,Offense
08/30/2014,@ Michigan,L 14 - 52,1/,7,7,7,nan,nan,nan,,nan,nan,nan,1,nan,52,Appalachian St. Mountaineers,Defense
09/06/2014,Campbell,W 66 - 0,1/,9,9,9,nan,nan,nan,,nan,nan,nan,1,nan,66,Appalachian St. Mountaineers,Offense
09/06/2014,Campbell,W 66 - 0,1/,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
09/20/2014,@ Southern Miss.,L 20 - 21,1/,3,2,3,nan,nan,nan,,nan,nan,nan,nan,nan,20,Appalachian St. Mountaineers,Offense
09/20/2014,@ Southern Miss.,L 20 - 21,1/,3,3,3,nan,nan,nan,,nan,nan,nan,nan,nan,21,Appalachian St. Mountaineers,Defense
09/25/2014,@ Ga. Southern,L 14 - 34,1/,2,2,2,nan,nan,nan,,nan,nan,nan,nan,nan,14,Appalachian St. Mountaineers,Offense
09/25/2014,@ Ga. Southern,L 14 - 34,1/,4,4,4,nan,nan,nan,,nan,nan,nan,2,nan,34,Appalachian St. Mountaineers,Defense
10/04/2014,South Ala.,L 21 - 47,1/,3,3,3,nan,nan,nan,,nan,nan,nan,nan,nan,21,Appalachian St. Mountaineers,Offense
10/04/2014,South Ala.,L 21 - 47,1/,6,5,6,nan,nan,nan,,nan,nan,nan,2,nan,47,Appalachian St. Mountaineers,Defense
10/11/2014,Liberty,L 48 - 55 (1OT),1/,6,4,5,nan,nan,1/,,1,nan,nan,2,nan,48,Appalachian St. Mountaineers,Offense
10/11/2014,Liberty,L 48 - 55 (1OT),1/,7,7,7,nan,nan,nan,,nan,nan,nan,2,nan,55,Appalachian St. Mountaineers,Defense
10/18/2014,@ Troy,W 53 - 14,1/,7,6,7,nan,nan,nan,,nan,nan,nan,1,1/,53,Appalachian St. Mountaineers,Offense
10/18/2014,@ Troy,W 53 - 14,1/,2,2,2,nan,nan,nan,,nan,nan,nan,nan,nan,14,Appalachian St. Mountaineers,Defense
11/01/2014,Georgia St.,W 44 - 0,1/,6,5,6,nan,nan,nan,,nan,nan,nan,1,nan,44,Appalachian St. Mountaineers,Offense
11/01/2014,Georgia St.,W 44 - 0,1/,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/08/2014,La.-Monroe,W 31 - 29,1/,4,4,4,nan,nan,nan,,nan,nan,nan,1,nan,31,Appalachian St. Mountaineers,Offense
11/08/2014,La.-Monroe,W 31 - 29,1/,3,2,2,nan,nan,nan,,1,nan,nan,3,nan,29,Appalachian St. Mountaineers,Defense
11/15/2014,@ Arkansas St.,W 37 - 32,1/,5,4,5,nan,nan,nan,,nan,nan,nan,1,nan,37,Appalachian St. Mountaineers,Offense
11/15/2014,@ Arkansas St.,W 37 - 32,1/,5,2,4,nan,nan,nan,,1,nan,nan,nan,nan,32,Appalachian St. Mountaineers,Defense
11/22/2014,@ Louisiana,W 35 - 16,1/,5,5,5,nan,nan,nan,,nan,nan,nan,nan,nan,35,Appalachian St. Mountaineers,Offense
11/22/2014,@ Louisiana,W 35 - 16,1/,1,1,1,nan,nan,nan,,nan,nan,nan,3,nan,16,Appalachian St. Mountaineers,Defense
11/29/2014,Idaho,W 45 - 28,1/,6,6,6,nan,nan,nan,,nan,nan,nan,1,nan,45,Appalachian St. Mountaineers,Offense
11/29/2014,Idaho,W 45 - 28,1/,4,1,2,nan,1/,nan,,1,nan,nan,1,nan,28,Appalachian St. Mountaineers,Defense
