Year,Team,GP,G,RushNetYards,ReceivingYards,IntRYds,PuntRetYds,FRetYds,KORetYds,APY,All-PurposeYardsG,OffenseDefense
2015-16,Arkansas,0,13,1514,3577,50,125,nan,1210,6484,nan,Defensive
2016-17,Arkansas,13,13,2135,3434,229,143,nan,688,6630,nan,Offense
2016-17,Arkansas,0,13,2671,2875,244,101,23,1115,7029,nan,Defensive
2017-18,Arkansas,12,12,2016,2465,143,51,40,957,5672,nan,Offense
2017-18,Arkansas,0,12,2353,2906,94,40,104,735,6232,nan,Defensive
2013-14,Arkansas,12,12,2504,1782,62,67,1,740,5147,nan,Offense
2013-14,Arkansas,0,12,2141,2820,179,250,nan,291,5675,nan,Defensive
2014-15,Arkansas,13,13,2834,2444,241,206,21,617,6363,nan,Offense
2014-15,Arkansas,0,13,1490,2714,91,49,57,1192,5589,nan,Defensive
2015-16,Arkansas,13,13,2565,3486,80,186,19,782,7121,nan,Offense
2015-16,Arkansas,0,13,1514,3577,50,125,nan,1210,6484,nan,Defensive
2016-17,Arkansas,13,13,2135,3434,229,143,nan,688,6630,nan,Offense
2016-17,Arkansas,0,13,2671,2875,244,101,23,1115,7029,nan,Defensive
2017-18,Arkansas,12,12,2016,2465,143,51,40,957,5672,nan,Offense
2017-18,Arkansas,0,12,2353,2906,94,40,104,735,6232,nan,Defensive
2013-14,Arizona,13,13,3444,2516,303,166,42,676,7147,nan,Offense
2013-14,Arizona,0,13,2182,3032,119,50,2,801,6186,nan,Defensive
2014-15,Arizona,14,14,2546,3945,138,174,80,817,7700,nan,Offense
2014-15,Arizona,0,14,2377,3937,99,268,20,758,7499,nan,Defensive
2015-16,Arizona,13,13,2890,3544,98,144,22,729,7453,nan,Offense
2015-16,Arizona,0,13,2581,3488,162,79,42,1106,7458,nan,Defensive
2016-17,Arizona,12,12,2820,2137,32,56,nan,494,5539,nan,Offense
2016-17,Arizona,0,12,2330,3302,100,241,83,671,6727,nan,Defensive
2017-18,Arizona,12,12,3893,2041,320,198,9,648,7109,nan,Offense
2017-18,Arizona,0,12,2247,3323,83,205,-6,598,6450,nan,Defensive
2013-14,Arizona,13,13,3444,2516,303,166,42,676,7147,nan,Offense
