Year,Team,GP,G,PBU,Int,IntRetTDs,IntRYds,PDef,OffenseDefense
2016-17,Arizona,0,12,27,12,nan,100,39.00,Defensive
2017-18,Arizona,12,12,40,18,2,320,58.00,Offense
2017-18,Arizona,0,12,24,12,1,83,36.00,Defensive
2013-14,Arizona St.,14,14,41,21,5,345,62,Offense
2013-14,Arizona St.,0,14,43,12,1,107,55,Defensive
2014-15,Arizona St.,13,13,36,14,3,276,50,Offense
2014-15,Arizona St.,0,13,50,9,3,243,59,Defensive
2015-16,Arizona St.,13,13,44,15,2,189,59,Offense
2015-16,Arizona St.,0,13,54,9,1,57,63,Defensive
2016-17,Arizona St.,12,12,41,9,1,203,50,Offense
2016-17,Arizona St.,0,12,42,14,1,133,56,Defensive
2017-18,Arizona St.,12,12,30,11,2,95,41,Offense
2017-18,Arizona St.,0,12,33,6,2,63,39,Defensive
2013-14,Arizona St.,14,14,41,21,5,345,62.00,Offense
2013-14,Arizona St.,0,14,43,12,1,107,55.00,Defensive
2014-15,Arizona St.,13,13,36,14,3,276,50.00,Offense
2014-15,Arizona St.,0,13,50,9,3,243,59.00,Defensive
2015-16,Arizona St.,13,13,44,15,2,189,59.00,Offense
2015-16,Arizona St.,0,13,54,9,1,57,63.00,Defensive
2016-17,Arizona St.,12,12,41,9,1,203,50.00,Offense
2016-17,Arizona St.,0,12,42,14,1,133,56.00,Defensive
2017-18,Arizona St.,12,12,30,11,2,95,41.00,Offense
2017-18,Arizona St.,0,12,33,6,2,63,39.00,Defensive
2013-14,Boise St.,13,13,47,16,1,134,63.00,Offense
2013-14,Boise St.,0,13,47,11,2,135,58.00,Defensive
2014-15,Boise St.,14,14,55,22,5,284,77.00,Offense
2014-15,Boise St.,0,14,34,15,2,189,49.00,Defensive
2015-16,Boise St.,13,13,51,22,2,211,73.00,Offense
2015-16,Boise St.,0,13,50,12,2,254,62.00,Defensive
2016-17,Boise St.,13,13,53,7,1,114,60.00,Offense
