Stat,Player,Value,Team,Year
Int,Deion Stanley,3,Ga. Southern Eagles,2014
Pass Eff,BJ Johnson,511.60,Ga. Southern Eagles,2014
Points,Jerick McKinnon,72,Ga. Southern Eagles,2014
Punt Avg,Ryan Nowicki,350.3,Ga. Southern Eagles,2014
Punt Ret Yds,Brandan Thomas,133,Ga. Southern Eagles,2014
Rec,BJ Johnson,12,Ga. Southern Eagles,2014
ReceivingYards,BJ Johnson,216,Ga. Southern Eagles,2014
Rush Net Yards,Jerick McKinnon,1050,Ga. Southern Eagles,2014
Sacks,Jonathan Battle,3.0,Ga. Southern Eagles,2014
Tackles,Edwin Jackson,92,Ga. Southern Eagles,2014
Tot Off,Kevin Ellison,1642,Ga. Southern Eagles,2014
APY,Todd Gurley,1430,Georgia  Bulldogs,2014
FGM,Marshall Morgan,22,Georgia  Bulldogs,2014
Int,Shaq Wiggins,2,Georgia  Bulldogs,2014
Pass Eff,Rantavious Wooten,452.80,Georgia  Bulldogs,2014
Points,Marshall Morgan,113,Georgia  Bulldogs,2014
Punt Avg,Collin Barber,434.9,Georgia  Bulldogs,2014
Punt Ret Yds,Reggie Davis,46,Georgia  Bulldogs,2014
Rec,Chris Conley,45,Georgia  Bulldogs,2014
ReceivingYards,Chris Conley,651,Georgia  Bulldogs,2014
Rush Net Yards,Todd Gurley,989,Georgia  Bulldogs,2014
Sacks,Leonard Floyd,6.5,Georgia  Bulldogs,2014
Tackles,Ramik Wilson,133,Georgia  Bulldogs,2014
Tot Off,Aaron Murray,3261,Georgia  Bulldogs,2014
APY,Albert Wilson,2283,Georgia St. Panthers,2014
FGM,Wil Lutz,8,Georgia St. Panthers,2014
Int,Brent McClendon,2,Georgia St. Panthers,2014
Pass Eff,Kelton Hill,361.40,Georgia St. Panthers,2014
Points,Albert Wilson,54,Georgia St. Panthers,2014
Punt Avg,Matt Hubbard,512.6,Georgia St. Panthers,2014
Punt Ret Yds,Albert Wilson,125,Georgia St. Panthers,2014
Rec,Albert Wilson,71,Georgia St. Panthers,2014
ReceivingYards,Albert Wilson,1177,Georgia St. Panthers,2014
Rush Net Yards,Travis Evans,405,Georgia St. Panthers,2014
Sacks,Jarrell Robinson,2.0,Georgia St. Panthers,2014
Tackles,Joseph Peterson,103,Georgia St. Panthers,2014
Tot Off,Ronnie Bell,2686,Georgia St. Panthers,2014
APY,Chris Gant,1388,Hawaii  Rainbow Warriors,2014
FGM,Tyler Hadden,7,Hawaii  Rainbow Warriors,2014
Int,Trayvon Henderson,3,Hawaii  Rainbow Warriors,2014
Pass Eff,Joey Iosefa,438.40,Hawaii  Rainbow Warriors,2014
Points,Chris Gant,64,Hawaii  Rainbow Warriors,2014
Punt Avg,Scott Harding,357.5,Hawaii  Rainbow Warriors,2014
Punt Ret Yds,Scott Harding,175,Hawaii  Rainbow Warriors,2014
Rec,Chris Gant,59,Hawaii  Rainbow Warriors,2014
ReceivingYards,Chris Gant,973,Hawaii  Rainbow Warriors,2014
Rush Net Yards,Joey Iosefa,590,Hawaii  Rainbow Warriors,2014
Sacks,Beau Yap,5.5,Hawaii  Rainbow Warriors,2014
Tackles,Brenden Daley,90,Hawaii  Rainbow Warriors,2014
Tot Off,Sean Schroeder,2909,Hawaii  Rainbow Warriors,2014
APY,Deontay Greenberry,1208,Houston  Cougars,2014
FGM,Richie Leone,11,Houston  Cougars,2014
Int,Adrian McDonald,6,Houston  Cougars,2014
Pass Eff,Greg Ward Jr.,166.69,Houston  Cougars,2014
Points,Deontay Greenberry,66,Houston  Cougars,2014
Punt Avg,Richie Leone,553.8,Houston  Cougars,2014
Punt Ret Yds,Damian Payne,64,Houston  Cougars,2014
Rec,Deontay Greenberry,82,Houston  Cougars,2014
ReceivingYards,Deontay Greenberry,1202,Houston  Cougars,2014
Rush Net Yards,Ryan Jackson,661,Houston  Cougars,2014
Sacks,Derrick Mathews,7.0,Houston  Cougars,2014
Tackles,Efrem Oliphant,134,Houston  Cougars,2014
Tot Off,John O'Korn,3221,Houston  Cougars,2014
APY,Dezmon Epps,1416,Idaho  Vandals,2014
FGM,Austin Rehkow,10,Idaho  Vandals,2014
Int,Trey Williams,3,Idaho  Vandals,2014
Pass Eff,Chad Chalich,123.00,Idaho  Vandals,2014
Points,Austin Rehkow,56,Idaho  Vandals,2014
Punt Avg,Austin Rehkow,578.0,Idaho  Vandals,2014
Punt Ret Yds,Dezmon Epps,138,Idaho  Vandals,2014
Rec,Dezmon Epps,79,Idaho  Vandals,2014
ReceivingYards,Dezmon Epps,980,Idaho  Vandals,2014
Rush Net Yards,James Baker,593,Idaho  Vandals,2014
Sacks,Quayshawne Buckley,6.5,Idaho  Vandals,2014
Tackles,Marc Millan,90,Idaho  Vandals,2014
Tot Off,Chad Chalich,1428,Idaho  Vandals,2014
APY,Josh Ferguson,1351,Illinois  Fighting Illini,2014
FGM,Taylor Zalewski,12,Illinois  Fighting Illini,2014
Int,V'Angelo Bentley,1,Illinois  Fighting Illini,2014
Pass Eff,Miles Osei,197.00,Illinois  Fighting Illini,2014
Points,Taylor Zalewski,74,Illinois  Fighting Illini,2014
Punt Avg,Justin DuVernois,445.6,Illinois  Fighting Illini,2014
Punt Ret Yds,V'Angelo Bentley,189,Illinois  Fighting Illini,2014
Rec,Steve Hull,59,Illinois  Fighting Illini,2014
ReceivingYards,Steve Hull,993,Illinois  Fighting Illini,2014
Rush Net Yards,Josh Ferguson,779,Illinois  Fighting Illini,2014
Sacks,Jonathan Brown,5.0,Illinois  Fighting Illini,2014
Tackles,Jonathan Brown,119,Illinois  Fighting Illini,2014
Tot Off,Nathan Scheelhaase,3543,Illinois  Fighting Illini,2014
APY,Tevin Coleman,1275,Indiana  Hoosiers,2014
FGM,Mitch Ewald,9,Indiana  Hoosiers,2014
Int,Greg Heban,3,Indiana  Hoosiers,2014
Pass Eff,Tre Roberson,158.88,Indiana  Hoosiers,2014
Points,Mitch Ewald,83,Indiana  Hoosiers,2014
Punt Avg,Erich Toth,461.1,Indiana  Hoosiers,2014
Punt Ret Yds,Shane Wynn,98,Indiana  Hoosiers,2014
Rec,Cody Latimer,72,Indiana  Hoosiers,2014
ReceivingYards,Cody Latimer,1096,Indiana  Hoosiers,2014
Rush Net Yards,Tevin Coleman,958,Indiana  Hoosiers,2014
