Stat,Player,Value,Team,Year
Sacks,John Laihinen,4.5,Indiana  Hoosiers,2014
Tackles,David Cooper,85,Indiana  Hoosiers,2014
Tot Off,Nate Sudfeld,2489,Indiana  Hoosiers,2014
APY,Mark Weisman,1016,Iowa  Hawkeyes,2014
FGM,Mike Meyer,16,Iowa  Hawkeyes,2014
Int,James Morris,4,Iowa  Hawkeyes,2014
Pass Eff,Jake Rudock,126.47,Iowa  Hawkeyes,2014
Points,Mike Meyer,89,Iowa  Hawkeyes,2014
Punt Avg,Connor Kornbrath,514.8,Iowa  Hawkeyes,2014
Punt Ret Yds,Kevonte Martin-Manley,314,Iowa  Hawkeyes,2014
Rec,Kevonte Martin-Manley,40,Iowa  Hawkeyes,2014
ReceivingYards,Kevonte Martin-Manley,388,Iowa  Hawkeyes,2014
Rush Net Yards,Mark Weisman,975,Iowa  Hawkeyes,2014
Sacks,James Morris,8.0,Iowa  Hawkeyes,2014
Tackles,Anthony Hitchens,112,Iowa  Hawkeyes,2014
Tot Off,Jake Rudock,2601,Iowa  Hawkeyes,2014
APY,Aaron Wimberly,980,Iowa St. Cyclones,2014
FGM,Cole Netten,13,Iowa St. Cyclones,2014
Int,Jacques Washington,2,Iowa St. Cyclones,2014
Pass Eff,Kirby Van Der Kamp,310.00,Iowa St. Cyclones,2014
Points,Cole Netten,72,Iowa St. Cyclones,2014
Punt Avg,Kirby Van Der Kamp,497.2,Iowa St. Cyclones,2014
Punt Ret Yds,Jarvis West,147,Iowa St. Cyclones,2014
Rec,Quenton Bundrage,48,Iowa St. Cyclones,2014
ReceivingYards,Quenton Bundrage,676,Iowa St. Cyclones,2014
Rush Net Yards,Aaron Wimberly,567,Iowa St. Cyclones,2014
Sacks,Jeremiah George,3.5,Iowa St. Cyclones,2014
Tackles,Jeremiah George,133,Iowa St. Cyclones,2014
Tot Off,Sam B. Richardson,1753,Iowa St. Cyclones,2014
APY,James Sims,1276,Kansas  Jayhawks,2014
FGM,Ron Doherty,6,Kansas  Jayhawks,2014
Int,Isaiah Johnson,5,Kansas  Jayhawks,2014
Pass Eff,Micheal Cummings,249.90,Kansas  Jayhawks,2014
Points,James Sims,42,Kansas  Jayhawks,2014
Punt Avg,Trevor Pardula,521.6,Kansas  Jayhawks,2014
Punt Ret Yds,Connor Embree,182,Kansas  Jayhawks,2014
Rec,James Sims,25,Kansas  Jayhawks,2014
ReceivingYards,Tony Pierson,333,Kansas  Jayhawks,2014
Rush Net Yards,James Sims,1110,Kansas  Jayhawks,2014
Sacks,Michael Reynolds,6.5,Kansas  Jayhawks,2014
Tackles,Ben Heeney,88,Kansas  Jayhawks,2014
Tot Off,Jake Heaps,1252,Kansas  Jayhawks,2014
APY,Tyler Lockett,1859,Kansas St. Wildcats,2014
FGM,Jack Cantele,11,Kansas St. Wildcats,2014
Int,Dante Barnett,4,Kansas St. Wildcats,2014
Pass Eff,Jake Waters,156.84,Kansas St. Wildcats,2014
Points,Jack Cantele,73,Kansas St. Wildcats,2014
Punt Avg,Mark Krause,544.4,Kansas St. Wildcats,2014
Punt Ret Yds,Tramaine Thompson,183,Kansas St. Wildcats,2014
Rec,Tyler Lockett,81,Kansas St. Wildcats,2014
ReceivingYards,Tyler Lockett,1262,Kansas St. Wildcats,2014
Rush Net Yards,John Hubert,1048,Kansas St. Wildcats,2014
Sacks,Ryan Mueller,11.5,Kansas St. Wildcats,2014
Tackles,Blake Slaughter,110,Kansas St. Wildcats,2014
Tot Off,Jake Waters,2781,Kansas St. Wildcats,2014
APY,Dri Archer,982,Kent St. Golden Flashes,2014
FGM,Anthony Melchiori,9,Kent St. Golden Flashes,2014
Int,Malcom Pannell,3,Kent St. Golden Flashes,2014
Pass Eff,Colin Reardon,117.35,Kent St. Golden Flashes,2014
Points,Dri Archer,66,Kent St. Golden Flashes,2014
Punt Avg,Anthony Melchiori,265.1,Kent St. Golden Flashes,2014
Punt Ret Yds,Ernest Calhoun,62,Kent St. Golden Flashes,2014
Rec,Chris Humphrey,51,Kent St. Golden Flashes,2014
ReceivingYards,Chris Humphrey,613,Kent St. Golden Flashes,2014
Rush Net Yards,Trayion Durham,766,Kent St. Golden Flashes,2014
Sacks,Roosevelt Nix,3.5,Kent St. Golden Flashes,2014
Tackles,Luke Wollet,78,Kent St. Golden Flashes,2014
Tot Off,Colin Reardon,2293,Kent St. Golden Flashes,2014
APY,Javess Blue,1135,Kentucky  Wildcats,2014
FGM,Joe Mansour,12,Kentucky  Wildcats,2014
Int,Ashely Lowery,1,Kentucky  Wildcats,2014
Pass Eff,Demarco Robinson,184.00,Kentucky  Wildcats,2014
Points,Joe Mansour,70,Kentucky  Wildcats,2014
Punt Avg,Landon Foster,494.4,Kentucky  Wildcats,2014
Punt Ret Yds,Demarco Robinson,114,Kentucky  Wildcats,2014
Rec,Javess Blue,43,Kentucky  Wildcats,2014
ReceivingYards,Javess Blue,586,Kentucky  Wildcats,2014
Rush Net Yards,Jojo Kemp,482,Kentucky  Wildcats,2014
Sacks,Alvin Dupree,7.0,Kentucky  Wildcats,2014
Tackles,Avery Williamson,102,Kentucky  Wildcats,2014
Tot Off,Jalen Whitlow,1490,Kentucky  Wildcats,2014
APY,"Odell Beckham, Jr.",2315,LSU Fighting Tigers,2014
FGM,Colby Delahoussaye,13,LSU Fighting Tigers,2014
Int,Craig Loston,3,LSU Fighting Tigers,2014
Pass Eff,Zach Mettenberger,171.45,LSU Fighting Tigers,2014
Points,Jeremy Hill,96,LSU Fighting Tigers,2014
Punt Avg,Jamie Keehn,521.1,LSU Fighting Tigers,2014
Punt Ret Yds,"Odell Beckham, Jr.",160,LSU Fighting Tigers,2014
Rec,Jarvis Landry,77,LSU Fighting Tigers,2014
ReceivingYards,Jarvis Landry,1193,LSU Fighting Tigers,2014
Rush Net Yards,Jeremy Hill,1401,LSU Fighting Tigers,2014
Sacks,Jermauria Rasco,4.0,LSU Fighting Tigers,2014
Tackles,Lamin Barrow,91,LSU Fighting Tigers,2014
Tot Off,Zach Mettenberger,2949,LSU Fighting Tigers,2014
APY,Rashon Ceaser,1090,La.-Monroe Warhawks,2014
FGM,Justin Manton,5,La.-Monroe Warhawks,2014
Int,Isaiah Newsome,4,La.-Monroe Warhawks,2014
Pass Eff,Ajalen Holley,318.40,La.-Monroe Warhawks,2014
Points,Justin Manton,49,La.-Monroe Warhawks,2014
Punt Avg,Justin Manton,545.3,La.-Monroe Warhawks,2014
Punt Ret Yds,Rashon Ceaser,126,La.-Monroe Warhawks,2014
Rec,Rashon Ceaser,65,La.-Monroe Warhawks,2014
ReceivingYards,Rashon Ceaser,964,La.-Monroe Warhawks,2014
Rush Net Yards,Jyruss Edwards,447,La.-Monroe Warhawks,2014
Sacks,Cameron Blakes,4.0,La.-Monroe Warhawks,2014
Tackles,Cameron Blakes,77,La.-Monroe Warhawks,2014
Tot Off,Kolton Browning,2408,La.-Monroe Warhawks,2014
APY,Elijah McGuire,1293,Louisiana Ragin' Cajuns,2014
FGM,Stephen Brauchle,8,Louisiana Ragin' Cajuns,2014
Int,Sean Thomas,3,Louisiana Ragin' Cajuns,2014
Pass Eff,Terrence Broadway,153.34,Louisiana Ragin' Cajuns,2014
Points,Alonzo Harris,84,Louisiana Ragin' Cajuns,2014
Punt Avg,Daniel Cadona,542.2,Louisiana Ragin' Cajuns,2014
Punt Ret Yds,Darryl Surgent,157,Louisiana Ragin' Cajuns,2014
Rec,Jamal Robinson,54,Louisiana Ragin' Cajuns,2014
ReceivingYards,Jamal Robinson,862,Louisiana Ragin' Cajuns,2014
Rush Net Yards,Alonzo Harris,942,Louisiana Ragin' Cajuns,2014
Sacks,Justin Hamilton,4.0,Louisiana Ragin' Cajuns,2014
Tackles,Justin Anderson,131,Louisiana Ragin' Cajuns,2014
Tot Off,Terrence Broadway,2861,Louisiana Ragin' Cajuns,2014
APY,Kenneth Dixon,1002,Louisiana Tech Bulldogs,2014
FGM,Kyle Fischer,17,Louisiana Tech Bulldogs,2014
Int,Adairius Barnes,4,Louisiana Tech Bulldogs,2014
Pass Eff,DJ Banks,301.60,Louisiana Tech Bulldogs,2014
Points,Kyle Fischer,72,Louisiana Tech Bulldogs,2014
Punt Avg,Logan McPherson,450.8,Louisiana Tech Bulldogs,2014
Punt Ret Yds,Trent Taylor,53,Louisiana Tech Bulldogs,2014
Rec,DJ Banks,36,Louisiana Tech Bulldogs,2014
ReceivingYards,Sterling Griffin,357,Louisiana Tech Bulldogs,2014
Rush Net Yards,Kenneth Dixon,917,Louisiana Tech Bulldogs,2014
Sacks,IK Enemkpali,5.5,Louisiana Tech Bulldogs,2014
Tackles,Daniel Cobb,82,Louisiana Tech Bulldogs,2014
Tot Off,Ryan Higgins,1734,Louisiana Tech Bulldogs,2014
APY,Brandon Ross,949,"Maryland  Terrapins, Terps",2014
FGM,Brad Craddock,21,"Maryland  Terrapins, Terps",2014
Int,Dexter McDougle,3,"Maryland  Terrapins, Terps",2014
Pass Eff,C.J. Brown,135.90,"Maryland  Terrapins, Terps",2014
Points,Brad Craddock,100,"Maryland  Terrapins, Terps",2014
Punt Avg,Nathan Renfro,533.0,"Maryland  Terrapins, Terps",2014
Punt Ret Yds,William Likely,205,"Maryland  Terrapins, Terps",2014
Rec,Levern Jacobs,47,"Maryland  Terrapins, Terps",2014
ReceivingYards,Levern Jacobs,640,"Maryland  Terrapins, Terps",2014
Rush Net Yards,Brandon Ross,776,"Maryland  Terrapins, Terps",2014
Sacks,Andre Monroe,9.5,"Maryland  Terrapins, Terps",2014
Tackles,Sean Davis,102,"Maryland  Terrapins, Terps",2014
Tot Off,C.J. Brown,2818,"Maryland  Terrapins, Terps",2014
APY,Trey Dudley-Giles,816,Massachusetts  Minutemen,2014
FGM,Brendon Levengood,9,Massachusetts  Minutemen,2014
Int,Khary Bailey-Smith,2,Massachusetts  Minutemen,2014
Pass Eff,A.J. Doyle,99.07,Massachusetts  Minutemen,2014
Points,Brendon Levengood,31,Massachusetts  Minutemen,2014
Punt Avg,Colter Johnson,451.2,Massachusetts  Minutemen,2014
Punt Ret Yds,Trey Dudley-Giles,147,Massachusetts  Minutemen,2014
Rec,Tajae Sharpe,61,Massachusetts  Minutemen,2014
ReceivingYards,Tajae Sharpe,680,Massachusetts  Minutemen,2014
Rush Net Yards,Jamal Wilson,368,Massachusetts  Minutemen,2014
Sacks,Justin Anderson,4.0,Massachusetts  Minutemen,2014
Tackles,Stanley Andre,111,Massachusetts  Minutemen,2014
Tot Off,A.J. Doyle,1425,Massachusetts  Minutemen,2014
APY,Joe Craig,1099,Memphis  Tigers,2014
FGM,Jake Elliott,16,Memphis  Tigers,2014
Int,Bobby McCain,6,Memphis  Tigers,2014
Pass Eff,Paxton Lynch,110.43,Memphis  Tigers,2014
Points,Jake Elliott,72,Memphis  Tigers,2014
Punt Avg,Tom Hornsey,548.2,Memphis  Tigers,2014
Punt Ret Yds,Keiwone Malone,159,Memphis  Tigers,2014
Rec,Joe Craig,37,Memphis  Tigers,2014
ReceivingYards,Joe Craig,338,Memphis  Tigers,2014
Rush Net Yards,Brandon Hayes,860,Memphis  Tigers,2014
Sacks,Martin Ifedi,11.5,Memphis  Tigers,2014
Tackles,Charles Harris,74,Memphis  Tigers,2014
Tot Off,Paxton Lynch,2183,Memphis  Tigers,2014
APY,Stacy Coley,1461,Miami (FL) Hurricanes,2014
FGM,Matt Goudis,13,Miami (FL) Hurricanes,2014
Int,Tracy Howard,4,Miami (FL) Hurricanes,2014
Pass Eff,Ryan Williams,190.30,Miami (FL) Hurricanes,2014
Points,Matt Goudis,96,Miami (FL) Hurricanes,2014
Punt Avg,Pat O'Donnell,563.3,Miami (FL) Hurricanes,2014
Punt Ret Yds,Stacy Coley,220,Miami (FL) Hurricanes,2014
Rec,Allen Hurns,62,Miami (FL) Hurricanes,2014
ReceivingYards,Allen Hurns,1162,Miami (FL) Hurricanes,2014
Rush Net Yards,Duke Johnson,920,Miami (FL) Hurricanes,2014
Sacks,Tyriq McCord,4.0,Miami (FL) Hurricanes,2014
Tackles,Denzel Perryman,108,Miami (FL) Hurricanes,2014
Tot Off,Stephen Morris,2940,Miami (FL) Hurricanes,2014
APY,Dawan Scott,798,Miami (OH) RedHawks,2014
FGM,Kaleb Patterson,7,Miami (OH) RedHawks,2014
Int,Heath Harding,3,Miami (OH) RedHawks,2014
Pass Eff,Austin Boucher,99.52,Miami (OH) RedHawks,2014
Points,Kaleb Patterson,33,Miami (OH) RedHawks,2014
Punt Avg,Zac Murphy,551.8,Miami (OH) RedHawks,2014
Punt Ret Yds,Fred McRae,110,Miami (OH) RedHawks,2014
Rec,Dawan Scott,28,Miami (OH) RedHawks,2014
ReceivingYards,Dawan Scott,425,Miami (OH) RedHawks,2014
Rush Net Yards,Austin Gearing,478,Miami (OH) RedHawks,2014
Sacks,Bryson Albright,5.0,Miami (OH) RedHawks,2014
Tackles,Kent Kern,98,Miami (OH) RedHawks,2014
Tot Off,Austin Boucher,1112,Miami (OH) RedHawks,2014
APY,Jeremy Gallon,1409,Michigan  Wolverines,2014
FGM,Brendan Gibbons,15,Michigan  Wolverines,2014
Int,Blake Countess,6,Michigan  Wolverines,2014
Pass Eff,Devin Gardner,146.07,Michigan  Wolverines,2014
Points,Brendan Gibbons,89,Michigan  Wolverines,2014
Punt Avg,Matt Wile,488.1,Michigan  Wolverines,2014
Punt Ret Yds,Drew Dileo,44,Michigan  Wolverines,2014
Rec,Jeremy Gallon,89,Michigan  Wolverines,2014
ReceivingYards,Jeremy Gallon,1373,Michigan  Wolverines,2014
Rush Net Yards,Fitzgerald Toussaint,648,Michigan  Wolverines,2014
Sacks,Cameron Gordon,5.0,Michigan  Wolverines,2014
Tackles,Raymon Taylor,86,Michigan  Wolverines,2014
Tot Off,Devin Gardner,3443,Michigan  Wolverines,2014
APY,Jeremy Langford,1579,Michigan St. Spartans,2014
FGM,Michael Geiger,15,Michigan St. Spartans,2014
Int,Kurtis Drummond,4,Michigan St. Spartans,2014
Pass Eff,Tony Lippett,236.00,Michigan St. Spartans,2014
Points,Jeremy Langford,114,Michigan St. Spartans,2014
Punt Avg,Mike Sadler,612.7,Michigan St. Spartans,2014
Punt Ret Yds,Macgarrett Kings,206,Michigan St. Spartans,2014
Rec,Tony Lippett,44,Michigan St. Spartans,2014
ReceivingYards,Bennie Fowler,622,Michigan St. Spartans,2014
Rush Net Yards,Jeremy Langford,1422,Michigan St. Spartans,2014
Sacks,Shilique Calhoun,7.5,Michigan St. Spartans,2014
Tackles,Denicos Allen,98,Michigan St. Spartans,2014
Tot Off,Connor Cook,2831,Michigan St. Spartans,2014
APY,Reggie Whatley,1082,Middle Tenn. Blue Raiders,2014
FGM,Cody Clark,12,Middle Tenn. Blue Raiders,2014
Int,Kevin Byard,5,Middle Tenn. Blue Raiders,2014
Pass Eff,Marcus Henry,184.00,Middle Tenn. Blue Raiders,2014
Points,Cody Clark,82,Middle Tenn. Blue Raiders,2014
Punt Avg,Josh Davis,502.1,Middle Tenn. Blue Raiders,2014
Punt Ret Yds,Kyle Griswould,103,Middle Tenn. Blue Raiders,2014
Rec,Tavarres Jefferson,46,Middle Tenn. Blue Raiders,2014
ReceivingYards,Tavarres Jefferson,611,Middle Tenn. Blue Raiders,2014
Rush Net Yards,Jordan Parker,745,Middle Tenn. Blue Raiders,2014
Sacks,Leighton Gasque,5.0,Middle Tenn. Blue Raiders,2014
Tackles,T.T. Barber,119,Middle Tenn. Blue Raiders,2014
Tot Off,Logan Kilgore,2527,Middle Tenn. Blue Raiders,2014
APY,David Cobb,1376,Minnesota  Golden Gophers,2014
FGM,Chris Hawthorne,14,Minnesota  Golden Gophers,2014
Int,Aaron Hill,2,Minnesota  Golden Gophers,2014
Pass Eff,Mitch Leidner,131.92,Minnesota  Golden Gophers,2014
Points,Chris Hawthorne,78,Minnesota  Golden Gophers,2014
Punt Avg,Peter Mortell,557.2,Minnesota  Golden Gophers,2014
Punt Ret Yds,Marcus Jones,115,Minnesota  Golden Gophers,2014
Rec,Derrick Engel,25,Minnesota  Golden Gophers,2014
ReceivingYards,Maxx Williams,417,Minnesota  Golden Gophers,2014
Rush Net Yards,David Cobb,1202,Minnesota  Golden Gophers,2014
Sacks,Theiren Cockran,7.5,Minnesota  Golden Gophers,2014
Tackles,Cedric Thompson,79,Minnesota  Golden Gophers,2014
Tot Off,Phillip Nelson,1670,Minnesota  Golden Gophers,2014
APY,Jameon Lewis,1537,Mississippi St. Bulldogs,2014
FGM,Devon Bell,6,Mississippi St. Bulldogs,2014
Int,Nickoe Whitley,5,Mississippi St. Bulldogs,2014
Pass Eff,Jameon Lewis,665.20,Mississippi St. Bulldogs,2014
Points,Dak Prescott,92,Mississippi St. Bulldogs,2014
Punt Avg,Devon Bell,322.9,Mississippi St. Bulldogs,2014
Punt Ret Yds,Jameon Lewis,51,Mississippi St. Bulldogs,2014
Rec,Jameon Lewis,64,Mississippi St. Bulldogs,2014
ReceivingYards,Jameon Lewis,923,Mississippi St. Bulldogs,2014
Rush Net Yards,Dak Prescott,829,Mississippi St. Bulldogs,2014
Sacks,Benardrick McKinney,3.5,Mississippi St. Bulldogs,2014
Tackles,Benardrick McKinney,70,Mississippi St. Bulldogs,2014
Tot Off,Dak Prescott,2769,Mississippi St. Bulldogs,2014
APY,Marcus Murphy,1425,Missouri  Tigers,2014
FGM,Andrew Baggett,18,Missouri  Tigers,2014
Int,E.J. Gaines,5,Missouri  Tigers,2014
Pass Eff,Bud Sasser,766.00,Missouri  Tigers,2014
Points,Andrew Baggett,120,Missouri  Tigers,2014
Punt Avg,Christian Brinser,585.8,Missouri  Tigers,2014
Punt Ret Yds,Marcus Murphy,146,Missouri  Tigers,2014
Rec,Dorial Green-Beckham,59,Missouri  Tigers,2014
ReceivingYards,L'Damian Washington,893,Missouri  Tigers,2014
Rush Net Yards,Henry Josey,1166,Missouri  Tigers,2014
Sacks,Michael Sam,11.5,Missouri  Tigers,2014
Tackles,Andrew Wilson,113,Missouri  Tigers,2014
Tot Off,James Franklin,2939,Missouri  Tigers,2014
APY,Rashard Smith,1201,NC State Wolfpack,2014
FGM,Niklas Sade,19,NC State Wolfpack,2014
Int,Dontae Johnson,3,NC State Wolfpack,2014
Pass Eff,Rashard Smith,841.60,NC State Wolfpack,2014
Points,Niklas Sade,88,NC State Wolfpack,2014
Punt Avg,Wil Baumann,500.5,NC State Wolfpack,2014
Punt Ret Yds,Rashard Smith,240,NC State Wolfpack,2014
Rec,Rashard Smith,49,NC State Wolfpack,2014
ReceivingYards,Rashard Smith,530,NC State Wolfpack,2014
Rush Net Yards,Shadrach Thornton,768,NC State Wolfpack,2014
Sacks,Art Norman,4.5,NC State Wolfpack,2014
Tackles,Robert Caldwell,105,NC State Wolfpack,2014
Tot Off,Pete Thomas,1830,NC State Wolfpack,2014
APY,Keenan Reynolds,1346,Navy Midshipmen,2014
FGM,Nick Sloan,11,Navy Midshipmen,2014
Int,Parrish Gaines,3,Navy Midshipmen,2014
Pass Eff,Keenan Reynolds,139.99,Navy Midshipmen,2014
Points,Keenan Reynolds,188,Navy Midshipmen,2014
Punt Avg,Pablo Beltran,497.5,Navy Midshipmen,2014
Punt Ret Yds,Shawn Lynch,74,Navy Midshipmen,2014
Rec,Casey Bolena,13,Navy Midshipmen,2014
ReceivingYards,Debrandon Sanders,223,Navy Midshipmen,2014
Rush Net Yards,Keenan Reynolds,1346,Navy Midshipmen,2014
Sacks,Jordan Drake,3.0,Navy Midshipmen,2014
Tackles,Cody Peterson,142,Navy Midshipmen,2014
Tot Off,Keenan Reynolds,2403,Navy Midshipmen,2014
APY,Ameer Abdullah,1999,"Nebraska  Cornhuskers, Huskers",2014
FGM,Pat Smith,12,"Nebraska  Cornhuskers, Huskers",2014
Int,Stanley Jean-Baptiste,4,"Nebraska  Cornhuskers, Huskers",2014
Pass Eff,Ryker Fyfe,142.00,"Nebraska  Cornhuskers, Huskers",2014
Points,Pat Smith,79,"Nebraska  Cornhuskers, Huskers",2014
Punt Avg,Sam Foltz,547.1,"Nebraska  Cornhuskers, Huskers",2014
Punt Ret Yds,Jordan Westerkamp,51,"Nebraska  Cornhuskers, Huskers",2014
Rec,Kenny Bell,52,"Nebraska  Cornhuskers, Huskers",2014
ReceivingYards,Quincy Enunwa,753,"Nebraska  Cornhuskers, Huskers",2014
Rush Net Yards,Ameer Abdullah,1690,"Nebraska  Cornhuskers, Huskers",2014
Sacks,Randy Gregory,10.5,"Nebraska  Cornhuskers, Huskers",2014
Tackles,Corey Cooper,91,"Nebraska  Cornhuskers, Huskers",2014
Tot Off,Ameer Abdullah,1690,"Nebraska  Cornhuskers, Huskers",2014
APY,Brandon Wimberly,976,Nevada  Wolf Pack,2014
FGM,Brent Zuzo,14,Nevada  Wolf Pack,2014
Int,Markus Smith,3,Nevada  Wolf Pack,2014
Pass Eff,Cody Fajardo,140.79,Nevada  Wolf Pack,2014
Points,Brent Zuzo,75,Nevada  Wolf Pack,2014
Punt Avg,Chase Tenpenny,542.6,Nevada  Wolf Pack,2014
Punt Ret Yds,Joseph Huber,103,Nevada  Wolf Pack,2014
Rec,Brandon Wimberly,97,Nevada  Wolf Pack,2014
ReceivingYards,Brandon Wimberly,989,Nevada  Wolf Pack,2014
Rush Net Yards,Kendall Brock,812,Nevada  Wolf Pack,2014
Sacks,Brock Hekking,9.0,Nevada  Wolf Pack,2014
Tackles,Jonathan McNeal,103,Nevada  Wolf Pack,2014
Tot Off,Cody Fajardo,3289,Nevada  Wolf Pack,2014
APY,Carlos Wiggins,1703,New Mexico  Lobos,2014
FGM,Justus Adams,8,New Mexico  Lobos,2014
Int,Dallas Bollema,1,New Mexico  Lobos,2014
Pass Eff,Cole Gautsche,133.05,New Mexico  Lobos,2014
Points,Justus Adams,73,New Mexico  Lobos,2014
Punt Avg,Ben Skaer,457.9,New Mexico  Lobos,2014
Punt Ret Yds,Dameon Gamblin,34,New Mexico  Lobos,2014
Rec,Marquis Bundy,19,New Mexico  Lobos,2014
ReceivingYards,Jeric Magnant,294,New Mexico  Lobos,2014
Rush Net Yards,Kasey Carrier,1122,New Mexico  Lobos,2014
Sacks,Brett Bowers,6.0,New Mexico  Lobos,2014
Tackles,Dakota Cox,99,New Mexico  Lobos,2014
Tot Off,Cole Gautsche,1416,New Mexico  Lobos,2014
APY,Adam Shapiro,975,New Mexico St. Aggies,2014
FGM,Maxwell Johnson,10,New Mexico St. Aggies,2014
Int,Davis Cazares,2,New Mexico St. Aggies,2014
Pass Eff,Adam Shapiro,480.40,New Mexico St. Aggies,2014
Points,Maxwell Johnson,59,New Mexico St. Aggies,2014
Punt Avg,Cayle Chapman-Brown,520.9,New Mexico St. Aggies,2014
Punt Ret Yds,Joseph Matthews,69,New Mexico St. Aggies,2014
Rec,Austin Franklin,52,New Mexico St. Aggies,2014
ReceivingYards,Austin Franklin,670,New Mexico St. Aggies,2014
Rush Net Yards,Germi Morrison,471,New Mexico St. Aggies,2014
Sacks,Trashaun Nixon,3.0,New Mexico St. Aggies,2014
Tackles,Davis Cazares,109,New Mexico St. Aggies,2014
Tot Off,Andrew McDonald,2758,New Mexico St. Aggies,2014
APY,T.J. Logan,1168,North Carolina  Tar Heels,2014
FGM,Thomas Moore,14,North Carolina  Tar Heels,2014
Int,Tre Boston,5,North Carolina  Tar Heels,2014
Pass Eff,Ryan Switzer,925.60,North Carolina  Tar Heels,2014
Points,Thomas Moore,90,North Carolina  Tar Heels,2014
Punt Avg,Thomas Hibbard,558.2,North Carolina  Tar Heels,2014
Punt Ret Yds,Ryan Switzer,502,North Carolina  Tar Heels,2014
Rec,Eric Ebron,62,North Carolina  Tar Heels,2014
ReceivingYards,Eric Ebron,973,North Carolina  Tar Heels,2014
Rush Net Yards,Marquise Williams,536,North Carolina  Tar Heels,2014
Sacks,Kareem Martin,11.5,North Carolina  Tar Heels,2014
Tackles,Tre Boston,94,North Carolina  Tar Heels,2014
Tot Off,Marquise Williams,2234,North Carolina  Tar Heels,2014
APY,Brelan Chancellor,1964,North Texas Mean Green,2014
FGM,Zach Paul,10,North Texas Mean Green,2014
Int,Marcus Trice,5,North Texas Mean Green,2014
Pass Eff,Dajon Williams,160.33,North Texas Mean Green,2014
Points,Zach Paul,78,North Texas Mean Green,2014
Punt Avg,Blake Macek,489.4,North Texas Mean Green,2014
Punt Ret Yds,Brelan Chancellor,386,North Texas Mean Green,2014
Rec,Darnell Smith,70,North Texas Mean Green,2014
ReceivingYards,Brelan Chancellor,792,North Texas Mean Green,2014
Rush Net Yards,Brandin Byrd,1075,North Texas Mean Green,2014
Sacks,Aaron Bellazin,9.0,North Texas Mean Green,2014
Tackles,Zachary Orr,122,North Texas Mean Green,2014
Tot Off,Derek Thompson,3053,North Texas Mean Green,2014
APY,Treyvon Green,807,Northwestern Wildcats,2014
FGM,Jeff Budzien,23,Northwestern Wildcats,2014
Int,Ibraheim Campbell,4,Northwestern Wildcats,2014
Pass Eff,Kain Colter,148.34,Northwestern Wildcats,2014
Points,Jeff Budzien,104,Northwestern Wildcats,2014
Punt Avg,Brandon Williams,419.3,Northwestern Wildcats,2014
Punt Ret Yds,Tony Jones,64,Northwestern Wildcats,2014
Rec,Tony Jones,55,Northwestern Wildcats,2014
ReceivingYards,Christian Jones,668,Northwestern Wildcats,2014
Rush Net Yards,Treyvon Green,736,Northwestern Wildcats,2014
Sacks,Tyler Scott,6.0,Northwestern Wildcats,2014
Tackles,Damien Proby,112,Northwestern Wildcats,2014
Tot Off,Trevor Siemian,2182,Northwestern Wildcats,2014
APY,George Atkinson III,1386,Notre Dame Fighting Irish,2014
FGM,Kyle Brindza,20,Notre Dame Fighting Irish,2014
Int,Austin Collinsworth,3,Notre Dame Fighting Irish,2014
Pass Eff,Tommy Rees,135.43,Notre Dame Fighting Irish,2014
Points,Kyle Brindza,98,Notre Dame Fighting Irish,2014
Punt Avg,Kyle Brindza,491.9,Notre Dame Fighting Irish,2014
Punt Ret Yds,TJ Jones,106,Notre Dame Fighting Irish,2014
Rec,TJ Jones,70,Notre Dame Fighting Irish,2014
ReceivingYards,TJ Jones,1108,Notre Dame Fighting Irish,2014
