Year,Team,GP,G,FF,FRet,FRetTD,FRetYds,OffenseDefense
2015-16,Arkansas,13,13,8,2,nan,19,Offense
2015-16,Arkansas,0,13,11,nan,nan,nan,Defensive
2016-17,Arkansas,13,13,14,nan,nan,nan,Offense
2016-17,Arkansas,0,13,8,1,1,23,Defensive
2017-18,Arkansas,12,12,12,2,3,40,Offense
2017-18,Arkansas,0,12,15,2,2,104,Defensive
2013-14,Arkansas,12,12,8,1,nan,1,Offense
2013-14,Arkansas,0,12,13,1,nan,nan,Defensive
2014-15,Arkansas,13,13,14,2,2,21,Offense
2014-15,Arkansas,0,13,12,3,1,57,Defensive
2015-16,Arkansas,13,13,8,2,nan,19,Offense
2015-16,Arkansas,0,13,11,nan,nan,nan,Defensive
2016-17,Arkansas,13,13,14,nan,nan,nan,Offense
2016-17,Arkansas,0,13,8,1,1,23,Defensive
2017-18,Arkansas,12,12,12,2,3,40,Offense
2017-18,Arkansas,0,12,15,2,2,104,Defensive
2013-14,Arizona,13,13,9,2,nan,42,Offense
2013-14,Arizona,0,13,10,1,nan,2,Defensive
2014-15,Arizona,14,14,18,4,3,80,Offense
2014-15,Arizona,0,14,7,3,1,20,Defensive
2015-16,Arizona,13,13,9,1,1,22,Offense
2015-16,Arizona,0,13,12,3,nan,42,Defensive
2016-17,Arizona,12,12,8,nan,nan,nan,Offense
2016-17,Arizona,0,12,13,3,1,83,Defensive
2017-18,Arizona,12,12,7,1,nan,9,Offense
2017-18,Arizona,0,12,6,1,nan,-6,Defensive
2013-14,Arizona,13,13,9,2,nan,42,Offense
2013-14,Arizona,0,13,10,1,nan,2,Defensive
2014-15,Arizona,14,14,18,4,3,80,Offense
2014-15,Arizona,0,14,7,3,1,20,Defensive
2015-16,Arizona,13,13,9,1,1,22,Offense
2015-16,Arizona,0,13,12,3,nan,42,Defensive
2016-17,Arizona,12,12,8,nan,nan,nan,Offense
2016-17,Arizona,0,12,13,3,1,83,Defensive
2017-18,Arizona,12,12,7,1,nan,9,Offense
2017-18,Arizona,0,12,6,1,nan,-6,Defensive
2013-14,Arizona,13,13,9,2,nan,42,Offense
2013-14,Arizona,0,13,10,1,nan,2,Defensive
2014-15,Arizona,14,14,18,4,3,80,Offense
2014-15,Arizona,0,14,7,3,1,20,Defensive
2015-16,Arizona,13,13,9,1,1,22,Offense
2015-16,Arizona,0,13,12,3,nan,42,Defensive
2016-17,Arizona,12,12,8,nan,nan,nan,Offense
2016-17,Arizona,0,12,13,3,1,83,Defensive
2017-18,Arizona,12,12,7,1,nan,9,Offense
2017-18,Arizona,0,12,6,1,nan,-6,Defensive
2013-14,Arizona,13,13,9,2,nan,42,Offense
2013-14,Arizona,0,13,10,1,nan,2,Defensive
2014-15,Arizona,14,14,18,4,3,80,Offense
2014-15,Arizona,0,14,7,3,1,20,Defensive
2015-16,Arizona,13,13,9,1,1,22,Offense
2015-16,Arizona,0,13,12,3,nan,42,Defensive
2016-17,Arizona,12,12,8,nan,nan,nan,Offense
2016-17,Arizona,0,12,13,3,1,83,Defensive
2017-18,Arizona,12,12,7,1,nan,9,Offense
2017-18,Arizona,0,12,6,1,nan,-6,Defensive
2013-14,Arizona St.,14,14,14,nan,nan,nan,Offense
2013-14,Arizona St.,0,14,8,2,1,11,Defensive
2014-15,Arizona St.,13,13,13,7,2,133,Offense
2014-15,Arizona St.,0,13,10,1,1,25,Defensive
2015-16,Arizona St.,13,13,9,2,nan,19,Offense
2015-16,Arizona St.,0,13,17,3,1,103,Defensive
2016-17,Arizona St.,12,12,10,2,1,87,Offense
2016-17,Arizona St.,0,12,5,nan,nan,nan,Defensive
2017-18,Arizona St.,12,12,5,nan,nan,5,Offense
2017-18,Arizona St.,0,12,6,nan,nan,nan,Defensive
2013-14,Arizona St.,14,14,14,nan,nan,nan,Offense
2013-14,Arizona St.,0,14,8,2,1,11,Defensive
2014-15,Arizona St.,13,13,13,7,2,133,Offense
2014-15,Arizona St.,0,13,10,1,1,25,Defensive
2015-16,Arizona St.,13,13,9,2,nan,19,Offense
2015-16,Arizona St.,0,13,17,3,1,103,Defensive
2016-17,Arizona St.,12,12,10,2,1,87,Offense
2016-17,Arizona St.,0,12,5,nan,nan,nan,Defensive
2017-18,Arizona St.,12,12,5,nan,nan,5,Offense
2017-18,Arizona St.,0,12,6,nan,nan,nan,Defensive
2013-14,Boise St.,13,13,11,1,nan,5,Offense
2013-14,Boise St.,0,13,12,4,2,91,Defensive
2014-15,Boise St.,14,14,12,1,1,31,Offense
2014-15,Boise St.,0,14,13,2,1,54,Defensive
2015-16,Boise St.,13,13,16,2,nan,17,Offense
2015-16,Boise St.,0,13,12,1,1,1,Defensive
2016-17,Boise St.,13,13,3,1,1,19,Offense
2016-17,Boise St.,0,13,16,1,nan,15,Defensive
2017-18,Boise St.,13,13,13,4,3,124,Offense
2017-18,Boise St.,0,13,6,1,1,7,Defensive
2013-14,Boise St.,13,13,11,1,nan,5,Offense
2013-14,Boise St.,0,13,12,4,2,91,Defensive
2014-15,Boise St.,14,14,12,1,1,31,Offense
2014-15,Boise St.,0,14,13,2,1,54,Defensive
2015-16,Boise St.,13,13,16,2,nan,17,Offense
2015-16,Boise St.,0,13,12,1,1,1,Defensive
2016-17,Boise St.,13,13,3,1,1,19,Offense
2016-17,Boise St.,0,13,16,1,nan,15,Defensive
2017-18,Boise St.,13,13,13,4,3,124,Offense
2017-18,Boise St.,0,13,6,1,1,7,Defensive
2013-14,Baylor,13,13,19,1,1,91,Offense
2013-14,Baylor,0,13,12,1,2,78,Defensive
2014-15,Baylor,13,13,16,4,1,24,Offense
2014-15,Baylor,0,13,10,nan,nan,-3,Defensive
2015-16,Baylor,13,13,18,1,1,30,Offense
2015-16,Baylor,0,13,15,1,1,56,Defensive
2016-17,Baylor,13,13,13,1,nan,15,Offense
2016-17,Baylor,0,13,19,1,nan,15,Defensive
2017-18,Baylor,12,12,9,nan,nan,nan,Offense
2017-18,Baylor,0,12,12,3,1,48,Defensive
2013-14,Baylor,13,13,19,1,1,91,Offense
2013-14,Baylor,0,13,12,1,2,78,Defensive
2014-15,Baylor,13,13,16,4,1,24,Offense
2014-15,Baylor,0,13,10,nan,nan,-3,Defensive
2015-16,Baylor,13,13,18,1,1,30,Offense
2015-16,Baylor,0,13,15,1,1,56,Defensive
2016-17,Baylor,13,13,13,1,nan,15,Offense
2016-17,Baylor,0,13,19,1,nan,15,Defensive
2017-18,Baylor,12,12,9,nan,nan,nan,Offense
2017-18,Baylor,0,12,12,3,1,48,Defensive
2013-14,Baylor,13,13,19,1,1,91,Offense
2013-14,Baylor,0,13,12,1,2,78,Defensive
2014-15,Baylor,13,13,16,4,1,24,Offense
2014-15,Baylor,0,13,10,nan,nan,-3,Defensive
2015-16,Baylor,13,13,18,1,1,30,Offense
2015-16,Baylor,0,13,15,1,1,56,Defensive
2016-17,Baylor,13,13,13,1,nan,15,Offense
2016-17,Baylor,0,13,19,1,nan,15,Defensive
2017-18,Baylor,12,12,9,nan,nan,nan,Offense
2017-18,Baylor,0,12,12,3,1,48,Defensive
2013-14,Ball St.,13,13,14,3,1,19,Offense
2013-14,Ball St.,0,13,13,2,2,49,Defensive
2014-15,Ball St.,12,12,15,4,2,75,Offense
2014-15,Ball St.,0,12,8,1,nan,9,Defensive
2015-16,Ball St.,12,12,13,nan,nan,nan,Offense
2015-16,Ball St.,0,12,8,1,nan,1,Defensive
2016-17,Ball St.,12,12,11,1,nan,4,Offense
2016-17,Ball St.,0,12,9,2,nan,14,Defensive
2017-18,Ball St.,12,12,11,nan,nan,nan,Offense
2017-18,Ball St.,0,12,10,4,2,88,Defensive
2013-14,Ball St.,13,13,14,3,1,19,Offense
2013-14,Ball St.,0,13,13,2,2,49,Defensive
2014-15,Ball St.,12,12,15,4,2,75,Offense
2014-15,Ball St.,0,12,8,1,nan,9,Defensive
2015-16,Ball St.,12,12,13,nan,nan,nan,Offense
2015-16,Ball St.,0,12,8,1,nan,1,Defensive
2016-17,Ball St.,12,12,11,1,nan,4,Offense
2016-17,Ball St.,0,12,9,2,nan,14,Defensive
2017-18,Ball St.,12,12,11,nan,nan,nan,Offense
2017-18,Ball St.,0,12,10,4,2,88,Defensive
2013-14,BYU,13,13,11,1,nan,12,Offense
2013-14,BYU,0,13,7,nan,nan,nan,Defensive
2014-15,BYU,13,13,13,nan,nan,nan,Offense
2014-15,BYU,0,13,13,5,nan,73,Defensive
2015-16,BYU,13,13,5,2,1,44,Offense
2015-16,BYU,0,13,11,nan,nan,nan,Defensive
2016-17,BYU,13,13,14,1,1,52,Offense
2016-17,BYU,0,13,12,1,nan,5,Defensive
2017-18,BYU,13,13,11,1,nan,8,Offense
2017-18,BYU,0,13,13,2,1,42,Defensive
2013-14,BYU,13,13,11,1,nan,12,Offense
2013-14,BYU,0,13,7,nan,nan,nan,Defensive
2014-15,BYU,13,13,13,nan,nan,nan,Offense
2014-15,BYU,0,13,13,5,nan,73,Defensive
2015-16,BYU,13,13,5,2,1,44,Offense
2015-16,BYU,0,13,11,nan,nan,nan,Defensive
2016-17,BYU,13,13,14,1,1,52,Offense
2016-17,BYU,0,13,12,1,nan,5,Defensive
2017-18,BYU,13,13,11,1,nan,8,Offense
2017-18,BYU,0,13,13,2,1,42,Defensive
2013-14,BYU,13,13,11,1,nan,12,Offense
2013-14,BYU,0,13,7,nan,nan,nan,Defensive
2014-15,BYU,13,13,13,nan,nan,nan,Offense
2014-15,BYU,0,13,13,5,nan,73,Defensive
2015-16,BYU,13,13,5,2,1,44,Offense
2015-16,BYU,0,13,11,nan,nan,nan,Defensive
2016-17,BYU,13,13,14,1,1,52,Offense
2016-17,BYU,0,13,12,1,nan,5,Defensive
2017-18,BYU,13,13,11,1,nan,8,Offense
2017-18,BYU,0,13,13,2,1,42,Defensive
2013-14,BYU,13,13,11,1,nan,12,Offense
2013-14,BYU,0,13,7,nan,nan,nan,Defensive
2014-15,BYU,13,13,13,nan,nan,nan,Offense
2014-15,BYU,0,13,13,5,nan,73,Defensive
2015-16,BYU,13,13,5,2,1,44,Offense
2015-16,BYU,0,13,11,nan,nan,nan,Defensive
2016-17,BYU,13,13,14,1,1,52,Offense
2016-17,BYU,0,13,12,1,nan,5,Defensive
2017-18,BYU,13,13,11,1,nan,8,Offense
2017-18,BYU,0,13,13,2,1,42,Defensive
2011-12,Auburn,1,1,1,nan,nan,nan,Offense
2011-12,Auburn,0,1,2,nan,nan,nan,Defensive
2013-14,Auburn,14,14,11,1,1,11,Offense
2013-14,Auburn,0,14,15,3,1,35,Defensive
2014-15,Auburn,13,13,12,nan,nan,nan,Offense
2014-15,Auburn,0,13,13,nan,1,nan,Defensive
2015-16,Auburn,13,13,11,1,1,82,Offense
2015-16,Auburn,0,13,12,nan,nan,nan,Defensive
2016-17,Auburn,13,13,8,1,1,13,Offense
2016-17,Auburn,0,13,10,nan,nan,nan,Defensive
2017-18,Auburn,13,13,14,3,nan,58,Offense
2017-18,Auburn,0,13,14,2,1,31,Defensive
2011-12,Auburn,1,1,1,nan,nan,nan,Offense
2011-12,Auburn,0,1,2,nan,nan,nan,Defensive
2013-14,Auburn,14,14,11,1,1,11,Offense
2013-14,Auburn,0,14,15,3,1,35,Defensive
2014-15,Auburn,13,13,12,nan,nan,nan,Offense
2014-15,Auburn,0,13,13,nan,1,nan,Defensive
2015-16,Auburn,13,13,11,1,1,82,Offense
2015-16,Auburn,0,13,12,nan,nan,nan,Defensive
