Year,Team,GP,G,KO,KOYds,KOTB,KORet,KickRetTDs,KORetYds,OffenseDefense
2013-14,Arizona,0,13,67,4252,32,41,nan,801,Defensive
2014-15,Arizona,14,14,90,5596,48,38,1,817,Offense
2014-15,Arizona,0,14,77,4784,38,40,nan,758,Defensive
2015-16,Arizona,13,13,89,5396,33,32,nan,729,Offense
2015-16,Arizona,0,13,84,5295,47,51,nan,1106,Defensive
2016-17,Arizona,12,12,58,3404,20,29,nan,494,Offense
2016-17,Arizona,0,12,82,5065,49,35,nan,671,Defensive
2017-18,Arizona,12,12,89,5561,58,26,nan,648,Offense
2017-18,Arizona,0,12,72,4514,45,27,nan,598,Defensive
2013-14,Arizona,13,13,83,5046,37,33,nan,676,Offense
2013-14,Arizona,0,13,67,4252,32,41,nan,801,Defensive
2014-15,Arizona,14,14,90,5596,48,38,1,817,Offense
2014-15,Arizona,0,14,77,4784,38,40,nan,758,Defensive
2015-16,Arizona,13,13,89,5396,33,32,nan,729,Offense
2015-16,Arizona,0,13,84,5295,47,51,nan,1106,Defensive
2016-17,Arizona,12,12,58,3404,20,29,nan,494,Offense
2016-17,Arizona,0,12,82,5065,49,35,nan,671,Defensive
2017-18,Arizona,12,12,89,5561,58,26,nan,648,Offense
2017-18,Arizona,0,12,72,4514,45,27,nan,598,Defensive
2013-14,Arizona St.,14,14,,6588,39,45,nan,970,Offense
2013-14,Arizona St.,0,14,,4616,27,64,1,1365,Defensive
2014-15,Arizona St.,13,13,,5633,33,23,nan,555,Offense
2014-15,Arizona St.,0,13,,4408,45,55,1,1280,Defensive
2015-16,Arizona St.,13,13,,5650,66,54,1,1237,Offense
2015-16,Arizona St.,0,13,,4996,27,18,1,483,Defensive
2016-17,Arizona St.,12,12,,5087,60,56,1,1213,Offense
2016-17,Arizona St.,0,12,,5687,34,19,2,493,Defensive
2017-18,Arizona St.,12,12,,4626,50,32,nan,619,Offense
2017-18,Arizona St.,0,12,,4605,40,21,1,472,Defensive
2013-14,Arizona St.,14,14,106,6588,39,45,nan,970,Offense
2013-14,Arizona St.,0,14,74,4616,27,64,1,1365,Defensive
2014-15,Arizona St.,13,13,91,5633,33,23,nan,555,Offense
2014-15,Arizona St.,0,13,69,4408,45,55,1,1280,Defensive
2015-16,Arizona St.,13,13,88,5650,66,54,1,1237,Offense
2015-16,Arizona St.,0,13,83,4996,27,18,1,483,Defensive
2016-17,Arizona St.,12,12,79,5087,60,56,1,1213,Offense
2016-17,Arizona St.,0,12,91,5687,34,19,2,493,Defensive
2017-18,Arizona St.,12,12,73,4626,50,32,nan,619,Offense
2017-18,Arizona St.,0,12,74,4605,40,21,1,472,Defensive
2013-14,Boise St.,13,13,90,5486,37,48,1,1137,Offense
2013-14,Boise St.,0,13,64,3927,14,49,nan,984,Defensive
2014-15,Boise St.,14,14,103,6510,65,60,nan,1126,Offense
2014-15,Boise St.,0,14,73,4411,10,36,1,741,Defensive
2015-16,Boise St.,13,13,95,5955,56,29,nan,609,Offense
2015-16,Boise St.,0,13,56,3466,22,36,1,805,Defensive
2016-17,Boise St.,13,13,79,4993,40,31,nan,635,Offense
2016-17,Boise St.,0,13,58,3637,23,36,1,802,Defensive
2017-18,Boise St.,13,13,77,4887,48,36,nan,894,Offense
2017-18,Boise St.,0,13,53,3315,16,28,nan,613,Defensive
2013-14,Boise St.,13,13,,5486,37,48,1,1137,Offense
2013-14,Boise St.,0,13,,3927,14,49,nan,984,Defensive
2014-15,Boise St.,14,14,,6510,65,60,nan,1126,Offense
2014-15,Boise St.,0,14,,4411,10,36,1,741,Defensive
2015-16,Boise St.,13,13,,5955,56,29,nan,609,Offense
2015-16,Boise St.,0,13,,3466,22,36,1,805,Defensive
2016-17,Boise St.,13,13,,4993,40,31,nan,635,Offense
2016-17,Boise St.,0,13,,3637,23,36,1,802,Defensive
2017-18,Boise St.,13,13,,4887,48,36,nan,894,Offense
2017-18,Boise St.,0,13,,3315,16,28,nan,613,Defensive
2013-14,Baylor,13,13,,6981,43,48,1,1056,Offense
2013-14,Baylor,0,13,,3492,11,70,nan,1401,Defensive
2014-15,Baylor,13,13,,6264,23,40,nan,801,Offense
2014-15,Baylor,0,13,,3594,18,81,1,1504,Defensive
2015-16,Baylor,13,13,,6362,39,30,nan,675,Offense
2015-16,Baylor,0,13,,3958,32,61,1,1406,Defensive
2016-17,Baylor,13,13,,5062,22,35,nan,670,Offense
2016-17,Baylor,0,13,,4596,33,55,nan,1056,Defensive
2017-18,Baylor,12,12,,3512,13,37,nan,662,Offense
2017-18,Baylor,0,12,,5399,47,42,1,1032,Defensive
2013-14,Baylor,13,13,118,6981,43,48,1,1056,Offense
2013-14,Baylor,0,13,60,3492,11,70,nan,1401,Defensive
2014-15,Baylor,13,13,110,6264,23,40,nan,801,Offense
2014-15,Baylor,0,13,60,3594,18,81,1,1504,Defensive
2015-16,Baylor,13,13,106,6362,39,30,nan,675,Offense
2015-16,Baylor,0,13,65,3958,32,61,1,1406,Defensive
2016-17,Baylor,13,13,81,5062,22,35,nan,670,Offense
2016-17,Baylor,0,13,75,4596,33,55,nan,1056,Defensive
2017-18,Baylor,12,12,59,3512,13,37,nan,662,Offense
2017-18,Baylor,0,12,87,5399,47,42,1,1032,Defensive
2013-14,Baylor,13,13,118,6981,43,48,1,1056,Offense
2013-14,Baylor,0,13,60,3492,11,70,nan,1401,Defensive
2014-15,Baylor,13,13,110,6264,23,40,nan,801,Offense
2014-15,Baylor,0,13,60,3594,18,81,1,1504,Defensive
2015-16,Baylor,13,13,106,6362,39,30,nan,675,Offense
2015-16,Baylor,0,13,65,3958,32,61,1,1406,Defensive
2016-17,Baylor,13,13,81,5062,22,35,nan,670,Offense
2016-17,Baylor,0,13,75,4596,33,55,nan,1056,Defensive
2017-18,Baylor,12,12,59,3512,13,37,nan,662,Offense
2017-18,Baylor,0,12,87,5399,47,42,1,1032,Defensive
2013-14,Ball St.,13,13,,5421,19,44,nan,905,Offense
2013-14,Ball St.,0,13,,3837,20,69,nan,1281,Defensive
2014-15,Ball St.,12,12,,4514,29,44,nan,1022,Offense
2014-15,Ball St.,0,12,,3727,18,41,1,946,Defensive
2015-16,Ball St.,12,12,,3402,14,50,1,1275,Offense
2015-16,Ball St.,0,12,,4740,26,39,nan,703,Defensive
2016-17,Ball St.,12,12,,3833,8,42,nan,878,Offense
2016-17,Ball St.,0,12,,3982,23,53,nan,1042,Defensive
2017-18,Ball St.,12,12,,2790,8,48,1,1042,Offense
2017-18,Ball St.,0,12,,5472,40,36,nan,718,Defensive
2013-14,Ball St.,13,13,,5421,19,44,nan,905,Offense
