Year,Team,GP,FumblesRecovered,Int,FumblesLost,Interceptions,OffenseDefense
2014-15,Boise St.,0,9,15,9,22,Defensive
2015-16,Boise St.,13,9,22,10,12,Offense
2015-16,Boise St.,0,10,12,9,22,Defensive
2016-17,Boise St.,13,2,7,10,8,Offense
2016-17,Boise St.,0,10,8,2,7,Defensive
2017-18,Boise St.,13,9,13,5,5,Offense
2017-18,Boise St.,0,5,5,9,13,Defensive
2013-14,Boise St.,13,11,16,13,11,Offense
2013-14,Boise St.,0,13,11,11,16,Defensive
2014-15,Boise St.,14,9,22,9,15,Offense
2014-15,Boise St.,0,9,15,9,22,Defensive
2015-16,Boise St.,13,9,22,10,12,Offense
2015-16,Boise St.,0,10,12,9,22,Defensive
2016-17,Boise St.,13,2,7,10,8,Offense
2016-17,Boise St.,0,10,8,2,7,Defensive
2017-18,Boise St.,13,9,13,5,5,Offense
2017-18,Boise St.,0,5,5,9,13,Defensive
2013-14,Baylor,13,10,19,10,6,Offense
2013-14,Baylor,0,10,6,10,19,Defensive
2014-15,Baylor,13,13,13,5,8,Offense
2014-15,Baylor,0,5,8,13,13,Defensive
2015-16,Baylor,13,12,14,13,13,Offense
2015-16,Baylor,0,13,13,12,14,Defensive
2016-17,Baylor,13,10,12,12,15,Offense
2016-17,Baylor,0,12,15,10,12,Defensive
2017-18,Baylor,12,8,3,11,14,Offense
2017-18,Baylor,0,11,14,8,3,Defensive
2013-14,Baylor,13,10,19,10,6,Offense
2013-14,Baylor,0,10,6,10,19,Defensive
2014-15,Baylor,13,13,13,5,8,Offense
2014-15,Baylor,0,5,8,13,13,Defensive
2015-16,Baylor,13,12,14,13,13,Offense
2015-16,Baylor,0,13,13,12,14,Defensive
2016-17,Baylor,13,10,12,12,15,Offense
2016-17,Baylor,0,12,15,10,12,Defensive
2017-18,Baylor,12,8,3,11,14,Offense
2017-18,Baylor,0,11,14,8,3,Defensive
2013-14,Baylor,13,10,19,10,6,Offense
2013-14,Baylor,0,10,6,10,19,Defensive
2014-15,Baylor,13,13,13,5,8,Offense
2014-15,Baylor,0,5,8,13,13,Defensive
2015-16,Baylor,13,12,14,13,13,Offense
2015-16,Baylor,0,13,13,12,14,Defensive
2016-17,Baylor,13,10,12,12,15,Offense
2016-17,Baylor,0,12,15,10,12,Defensive
2017-18,Baylor,12,8,3,11,14,Offense
2017-18,Baylor,0,11,14,8,3,Defensive
2013-14,Ball St.,13,18,13,11,8,Offense
2013-14,Ball St.,0,11,8,18,13,Defensive
2014-15,Ball St.,12,14,10,8,7,Offense
2014-15,Ball St.,0,8,7,14,10,Defensive
2015-16,Ball St.,12,9,7,6,9,Offense
2015-16,Ball St.,0,6,9,9,7,Defensive
2016-17,Ball St.,12,7,7,9,15,Offense
2016-17,Ball St.,0,9,15,7,7,Defensive
2017-18,Ball St.,12,6,6,7,14,Offense
2017-18,Ball St.,0,7,14,6,6,Defensive
2013-14,Ball St.,13,18,13,11,8,Offense
2013-14,Ball St.,0,11,8,18,13,Defensive
2014-15,Ball St.,12,14,10,8,7,Offense
2014-15,Ball St.,0,8,7,14,10,Defensive
2015-16,Ball St.,12,9,7,6,9,Offense
2015-16,Ball St.,0,6,9,9,7,Defensive
2016-17,Ball St.,12,7,7,9,15,Offense
2016-17,Ball St.,0,9,15,7,7,Defensive
2017-18,Ball St.,12,6,6,7,14,Offense
2017-18,Ball St.,0,7,14,6,6,Defensive
2013-14,Ball St.,13,18,13,11,8,Offense
2013-14,Ball St.,0,11,8,18,13,Defensive
2014-15,Ball St.,12,14,10,8,7,Offense
2014-15,Ball St.,0,8,7,14,10,Defensive
2015-16,Ball St.,12,9,7,6,9,Offense
2015-16,Ball St.,0,6,9,9,7,Defensive
2016-17,Ball St.,12,7,7,9,15,Offense
2016-17,Ball St.,0,9,15,7,7,Defensive
2017-18,Ball St.,12,6,6,7,14,Offense
2017-18,Ball St.,0,7,14,6,6,Defensive
2013-14,BYU,13,10,13,7,14,Offense
2013-14,BYU,0,7,14,10,13,Defensive
2014-15,BYU,13,12,14,15,12,Offense
2014-15,BYU,0,15,12,12,14,Defensive
2015-16,BYU,13,7,15,8,12,Offense
2015-16,BYU,0,8,12,7,15,Defensive
2016-17,BYU,13,10,21,7,12,Offense
2016-17,BYU,0,7,12,10,21,Defensive
2017-18,BYU,13,9,8,8,19,Offense
2017-18,BYU,0,8,19,9,8,Defensive
2013-14,BYU,13,10,13,7,14,Offense
2013-14,BYU,0,7,14,10,13,Defensive
2014-15,BYU,13,12,14,15,12,Offense
2014-15,BYU,0,15,12,12,14,Defensive
2015-16,BYU,13,7,15,8,12,Offense
2015-16,BYU,0,8,12,7,15,Defensive
2016-17,BYU,13,10,21,7,12,Offense
2016-17,BYU,0,7,12,10,21,Defensive
