team,link,txt,key,match
Iowa Hawkeyes,http://stats.ncaa.org/team/312/roster/11520,Roster,roster,True
Iowa Hawkeyes,http://stats.ncaa.org/team/312/stats/11520,Team Statistics,stats,True
Iowa St. Cyclones,http://stats.ncaa.org/teams/history/MFB/311,Team History,history,True
Iowa St. Cyclones,http://stats.ncaa.org/people/35865?sport_code=MFB,Paul Rhoads,people,True
Iowa St. Cyclones,http://stats.ncaa.org/team/311/roster/11520,Roster,roster,True
Iowa St. Cyclones,http://stats.ncaa.org/team/311/stats/11520,Team Statistics,stats,True
Kansas Jayhawks,http://stats.ncaa.org/teams/history/MFB/328,Team History,history,True
Kansas Jayhawks,http://stats.ncaa.org/people/25046?sport_code=MFB,Charlie Weis,people,True
Kansas Jayhawks,http://stats.ncaa.org/team/328/roster/11520,Roster,roster,True
Kansas Jayhawks,http://stats.ncaa.org/team/328/stats/11520,Team Statistics,stats,True
Kansas St. Wildcats,http://stats.ncaa.org/teams/history/MFB/327,Team History,history,True
Kansas St. Wildcats,http://stats.ncaa.org/people/253?sport_code=MFB,Bill Snyder,people,True
Kansas St. Wildcats,http://stats.ncaa.org/team/327/roster/11520,Roster,roster,True
Kansas St. Wildcats,http://stats.ncaa.org/team/327/stats/11520,Team Statistics,stats,True
Kent St. Golden Flashes,http://stats.ncaa.org/teams/history/MFB/331,Team History,history,True
Kent St. Golden Flashes,http://stats.ncaa.org/people/41500?sport_code=MFB,Paul Haynes,people,True
Kent St. Golden Flashes,http://stats.ncaa.org/team/331/roster/11520,Roster,roster,True
Kent St. Golden Flashes,http://stats.ncaa.org/team/331/stats/11520,Team Statistics,stats,True
Kentucky Wildcats,http://stats.ncaa.org/teams/history/MFB/334,Team History,history,True
Kentucky Wildcats,http://stats.ncaa.org/people/41710?sport_code=MFB,Mark Stoops,people,True
Kentucky Wildcats,http://stats.ncaa.org/team/334/roster/11520,Roster,roster,True
Kentucky Wildcats,http://stats.ncaa.org/team/334/stats/11520,Team Statistics,stats,True
LSU Fighting Tigers,http://stats.ncaa.org/teams/history/MFB/365,Team History,history,True
LSU Fighting Tigers,http://stats.ncaa.org/people/2361?sport_code=MFB,Les Miles,people,True
LSU Fighting Tigers,http://stats.ncaa.org/team/365/roster/11520,Roster,roster,True
LSU Fighting Tigers,http://stats.ncaa.org/team/365/stats/11520,Team Statistics,stats,True
La.-Monroe Warhawks,http://stats.ncaa.org/teams/history/MFB/498,Team History,history,True
La.-Monroe Warhawks,http://stats.ncaa.org/people/3710?sport_code=MFB,Todd Berry,people,True
La.-Monroe Warhawks,http://stats.ncaa.org/team/498/roster/11520,Roster,roster,True
La.-Monroe Warhawks,http://stats.ncaa.org/team/498/stats/11520,Team Statistics,stats,True
Louisiana Ragin' Cajuns,http://stats.ncaa.org/teams/history/MFB/671,Team History,history,True
Louisiana Ragin' Cajuns,http://stats.ncaa.org/people/20684?sport_code=MFB,Mark Hudspeth,people,True
Louisiana Ragin' Cajuns,http://stats.ncaa.org/team/671/roster/11520,Roster,roster,True
Louisiana Ragin' Cajuns,http://stats.ncaa.org/team/671/stats/11520,Team Statistics,stats,True
Louisiana Tech Bulldogs,http://stats.ncaa.org/teams/history/MFB/366,Team History,history,True
Louisiana Tech Bulldogs,http://stats.ncaa.org/people/25072?sport_code=MFB,Skip Holtz,people,True
Louisiana Tech Bulldogs,http://stats.ncaa.org/team/366/roster/11520,Roster,roster,True
Louisiana Tech Bulldogs,http://stats.ncaa.org/team/366/stats/11520,Team Statistics,stats,True
"Maryland Terrapins, Terps",http://stats.ncaa.org/teams/history/MFB/392,Team History,history,True
"Maryland Terrapins, Terps",http://stats.ncaa.org/people/3032?sport_code=MFB,Randy Edsall,people,True
"Maryland Terrapins, Terps",http://stats.ncaa.org/team/392/roster/11520,Roster,roster,True
"Maryland Terrapins, Terps",http://stats.ncaa.org/team/392/stats/11520,Team Statistics,stats,True
Massachusetts Minutemen,http://stats.ncaa.org/teams/history/MFB/400,Team History,history,True
Massachusetts Minutemen,http://stats.ncaa.org/people/40966?sport_code=MFB,Charley Molnar,people,True
Massachusetts Minutemen,http://stats.ncaa.org/team/400/roster/11520,Roster,roster,True
Massachusetts Minutemen,http://stats.ncaa.org/team/400/stats/11520,Team Statistics,stats,True
Memphis Tigers,http://stats.ncaa.org/teams/history/MFB/404,Team History,history,True
Memphis Tigers,http://stats.ncaa.org/people/40881?sport_code=MFB,Justin Fuente,people,True
Memphis Tigers,http://stats.ncaa.org/team/404/roster/11520,Roster,roster,True
Memphis Tigers,http://stats.ncaa.org/team/404/stats/11520,Team Statistics,stats,True
Miami (FL) Hurricanes,http://stats.ncaa.org/teams/history/MFB/415,Team History,history,True
Miami (FL) Hurricanes,http://stats.ncaa.org/people/28007?sport_code=MFB,Al Golden,people,True
Miami (FL) Hurricanes,http://stats.ncaa.org/team/415/roster/11520,Roster,roster,True
Miami (FL) Hurricanes,http://stats.ncaa.org/team/415/stats/11520,Team Statistics,stats,True
Miami (OH) RedHawks,http://stats.ncaa.org/teams/history/MFB/414,Team History,history,True
Miami (OH) RedHawks,http://stats.ncaa.org/people/38536?sport_code=MFB,Don Treadwell,people,True
Miami (OH) RedHawks,http://stats.ncaa.org/people/42321?sport_code=MFB,Mike Bath,people,True
Miami (OH) RedHawks,http://stats.ncaa.org/team/414/roster/11520,Roster,roster,True
Miami (OH) RedHawks,http://stats.ncaa.org/team/414/stats/11520,Team Statistics,stats,True
Michigan Wolverines,http://stats.ncaa.org/teams/history/MFB/418,Team History,history,True
Michigan Wolverines,http://stats.ncaa.org/people/21342?sport_code=MFB,Brady Hoke,people,True
Michigan Wolverines,http://stats.ncaa.org/team/418/roster/11520,Roster,roster,True
Michigan Wolverines,http://stats.ncaa.org/team/418/stats/11520,Team Statistics,stats,True
Michigan St. Spartans,http://stats.ncaa.org/teams/history/MFB/416,Team History,history,True
Michigan St. Spartans,http://stats.ncaa.org/people/24978?sport_code=MFB,Mark Dantonio,people,True
Michigan St. Spartans,http://stats.ncaa.org/team/416/roster/11520,Roster,roster,True
Michigan St. Spartans,http://stats.ncaa.org/team/416/stats/11520,Team Statistics,stats,True
Middle Tenn. Blue Raiders,http://stats.ncaa.org/teams/history/MFB/419,Team History,history,True
Middle Tenn. Blue Raiders,http://stats.ncaa.org/people/28004?sport_code=MFB,Rick Stockstill,people,True
Middle Tenn. Blue Raiders,http://stats.ncaa.org/team/419/roster/11520,Roster,roster,True
Middle Tenn. Blue Raiders,http://stats.ncaa.org/team/419/stats/11520,Team Statistics,stats,True
Minnesota Golden Gophers,http://stats.ncaa.org/teams/history/MFB/428,Team History,history,True
Minnesota Golden Gophers,http://stats.ncaa.org/people/1673?sport_code=MFB,Jerry Kill,people,True
Minnesota Golden Gophers,http://stats.ncaa.org/team/428/roster/11520,Roster,roster,True
Minnesota Golden Gophers,http://stats.ncaa.org/team/428/stats/11520,Team Statistics,stats,True
Mississippi St. Bulldogs,http://stats.ncaa.org/teams/history/MFB/430,Team History,history,True
Mississippi St. Bulldogs,http://stats.ncaa.org/people/35867?sport_code=MFB,Dan Mullen,people,True
Mississippi St. Bulldogs,http://stats.ncaa.org/team/430/roster/11520,Roster,roster,True
Mississippi St. Bulldogs,http://stats.ncaa.org/team/430/stats/11520,Team Statistics,stats,True
Missouri Tigers,http://stats.ncaa.org/teams/history/MFB/434,Team History,history,True
Missouri Tigers,http://stats.ncaa.org/people/1271?sport_code=MFB,Gary Pinkel,people,True
Missouri Tigers,http://stats.ncaa.org/team/434/roster/11520,Roster,roster,True
Missouri Tigers,http://stats.ncaa.org/team/434/stats/11520,Team Statistics,stats,True
NC State Wolfpack,http://stats.ncaa.org/teams/history/MFB/490,Team History,history,True
NC State Wolfpack,http://stats.ncaa.org/people/38542?sport_code=MFB,Dave Doeren,people,True
NC State Wolfpack,http://stats.ncaa.org/team/490/roster/11520,Roster,roster,True
NC State Wolfpack,http://stats.ncaa.org/team/490/stats/11520,Team Statistics,stats,True
Navy Midshipmen,http://stats.ncaa.org/teams/history/MFB/726,Team History,history,True
Navy Midshipmen,http://stats.ncaa.org/people/33422?sport_code=MFB,Ken Niumatalolo,people,True
Navy Midshipmen,http://stats.ncaa.org/team/726/roster/11520,Roster,roster,True
Navy Midshipmen,http://stats.ncaa.org/team/726/stats/11520,Team Statistics,stats,True
"Nebraska Cornhuskers, Huskers",http://stats.ncaa.org/teams/history/MFB/463,Team History,history,True
"Nebraska Cornhuskers, Huskers",http://stats.ncaa.org/people/25400?sport_code=MFB,Bo Pelini,people,True
"Nebraska Cornhuskers, Huskers",http://stats.ncaa.org/team/463/roster/11520,Roster,roster,True
"Nebraska Cornhuskers, Huskers",http://stats.ncaa.org/team/463/stats/11520,Team Statistics,stats,True
Nevada Wolf Pack,http://stats.ncaa.org/teams/history/MFB/466,Team History,history,True
Nevada Wolf Pack,http://stats.ncaa.org/people/41711?sport_code=MFB,Brian Polian,people,True
